onset	duration	response_time	correct	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	trial_type	worker_id	junk
3.506	0.576	-0.015356589147286855	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	636	False
6.110728	0.576	-0.04535658914728685	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	636	False
8.715	0.576	0.04864341085271315	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
11.318864	0.576	0.002643410852713146	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
13.921592	0.576	-0.017356589147286855	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
16.525456	0.576	0.06564341085271315	1.0	double	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
19.129	0.576	-0.09435658914728685	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
21.732864000000003	0.576	-0.05035658914728686	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
24.336864000000002	0.576	-0.08935658914728685	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
26.940864	0.576	-0.10735658914728685	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
29.544864	0.576	0.10164341085271314	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	636	False
32.147728	0.576	0.09864341085271315	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	636	False
34.751864000000005	0.576	-0.05235658914728685	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
37.355591999999994	0.576	0.08764341085271314	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	636	False
39.959	0.576	0.08164341085271315	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	636	False
42.562864000000005	0.576	0.012643410852713146	1.0	double	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
45.166	0.576	0.03464341085271314	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	636	False
47.770864	0.576	0.06764341085271315	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
50.374048	0.576	-0.11135658914728686	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
52.978728000000004	0.576	-0.13435658914728685	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
55.581864	0.576	-0.031356589147286854	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
58.185	0.576	-0.08235658914728686	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
60.788864000000004	0.576	0.09764341085271315	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	636	False
63.394	0.576	-0.12135658914728685	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	636	False
65.996864	0.576	0.17664341085271315	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
68.600728	0.576	0.37864341085271314	0.0	double	attention_network_task	down	right	incongruent	89	poldrack-single-stim	636	True
71.204728	0.576	-0.08035658914728686	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
73.808864	0.576	-0.07335658914728685	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	636	False
76.412	0.576	-0.018356589147286856	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
79.01586400000001	0.576	0.09964341085271315	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
81.62	0.576	-0.07135658914728685	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	636	False
84.224728	0.576	0.030643410852713146	1.0	double	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
86.828	0.576	0.019643410852713147	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	636	False
89.431	0.576	-0.06635658914728686	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	636	False
92.034864	0.576	-0.05035658914728686	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
94.63772800000001	0.576	0.18664341085271313	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	636	False
97.241592	0.576	-0.08035658914728686	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	636	False
99.846	0.576	-0.10835658914728685	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	636	False
102.448864	0.576	-0.11935658914728685	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	636	False
105.052864	0.576	-0.17035658914728685	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	636	False
107.657	0.576	-0.12435658914728685	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	636	False
110.260592	0.576	0.10964341085271315	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	636	False
112.864456	0.576	0.05664341085271315	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	636	False
115.468864	0.576	-0.03735658914728685	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	636	False
118.072864	0.576	-0.20435658914728685	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	636	False
120.677	0.576	0.17764341085271315	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	636	False
123.28	0.576	0.08664341085271314	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	636	False
125.882864	0.576	0.08564341085271314	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	636	False
128.487	0.576	-0.033356589147286855	1.0	double	attention_network_task	down	left	congruent	89	poldrack-single-stim	636	False
