onset	duration	response_time	EV	action	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	total_cards	trial_type	worker_id	junk	feedback
3.004	1.137	0.47563157894736846	-0.6829434321659202	draw_card	columbia_card_task_fmri	12.0	0.8333333333333334	89.0	-70.0	0.16666666666666666	6.0	1.0	1.0	-1.2876900224030052		poldrack-single-stim	636	False	True
4.117	1.137	-0.13836842105263156	-3.4162767654992527	draw_card	columbia_card_task_fmri	12.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	0.9516335830745994	2.0	poldrack-single-stim	636	False	False
7.071	1.137	-0.03436842105263156	0.1503899011674137	draw_card	columbia_card_task_fmri	14.0	0.8333333333333334	89.0	-75.0	0.16666666666666666	6.0	1.0	1.0	1.3198115377096007		poldrack-single-stim	636	False	True
7.673	1.137	0.25463157894736843	-2.8162767654992527	end_round	columbia_card_task_fmri	14.0	0.8	71.0	-75.0	0.2	6.0	2.0	1.0	3.7504740594243375	1.0	poldrack-single-stim	636	False	True
11.02	1.137	0.29363157894736847	1.81705656783408	draw_card	columbia_card_task_fmri	15.0	0.8333333333333334	89.0	-70.0	0.16666666666666666	6.0	1.0	1.0	-0.17021443311547202		poldrack-single-stim	636	False	True
11.954	1.137	-0.2573684210526316	-1.0162767654992542	draw_card	columbia_card_task_fmri	15.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	2.1511132736465757		poldrack-single-stim	636	False	True
12.333	1.137	-0.19836842105263156	-5.2662767654992555	end_round	columbia_card_task_fmri	15.0	0.75	71.0	-70.0	0.25	6.0	3.0	1.0	4.956108595526292	2.0	poldrack-single-stim	636	False	True
15.295	1.137	-0.04636842105263156	2.6503899011674137	draw_card	columbia_card_task_fmri	17.0	0.8333333333333334	89.0	-75.0	0.16666666666666666	6.0	1.0	1.0	2.4373701382916444		poldrack-single-stim	636	False	True
15.885	1.137	-0.12136842105263156	-0.4162767654992528	draw_card	columbia_card_task_fmri	17.0	0.8	89.0	-75.0	0.2	6.0	2.0	1.0	4.950031105364612		poldrack-single-stim	636	False	True
16.4	1.137	0.27563157894736845	-5.0162767654992555	draw_card	columbia_card_task_fmri	17.0	0.75	89.0	-75.0	0.25	6.0	3.0	1.0	7.986197759360241		poldrack-single-stim	636	False	True
17.313	1.137	0.7206315789473684	-12.68294343216592	end_round	columbia_card_task_fmri	17.0	0.6666666666666667	71.0	-75.0	0.3333333333333333	6.0	4.0	1.0	11.517256341185936	3.0	poldrack-single-stim	636	False	True
21.127	1.137	1.8816315789473683	3.9837232345007463	draw_card	columbia_card_task_fmri	24.0	0.75	89.0	-60.0	0.25	8.0	1.0	2.0	4.523252309799677		poldrack-single-stim	636	False	True
23.645	1.137	-0.010368421052631561	0.9837232345007458	draw_card	columbia_card_task_fmri	24.0	0.7142857142857143	89.0	-60.0	0.2857142857142857	8.0	2.0	2.0	6.096965698480832	2.0	poldrack-single-stim	636	False	False
26.93	1.137	0.05163157894736844	3.9837232345007463	draw_card	columbia_card_task_fmri	29.0	0.75	89.0	-75.0	0.25	8.0	1.0	2.0	13.18094930905102		poldrack-single-stim	636	False	True
27.62	1.137	0.27863157894736845	0.2694375202150341	draw_card	columbia_card_task_fmri	29.0	0.7142857142857143	89.0	-75.0	0.2857142857142857	8.0	2.0	2.0	15.129593679489947		poldrack-single-stim	636	False	True
28.535	1.137	0.5926315789473684	-4.682943432165919	draw_card	columbia_card_task_fmri	29.0	0.6666666666666667	89.0	-75.0	0.3333333333333333	8.0	3.0	2.0	17.172823724933036		poldrack-single-stim	636	False	True
29.764	1.137	0.09863157894736845	-11.616276765499256	end_round	columbia_card_task_fmri	29.0	0.6	71.0	-75.0	0.4	8.0	4.0	2.0	19.09576775709637	3.0	poldrack-single-stim	636	False	True
32.887	1.137	0.02663157894736844	-0.23849898772147385	draw_card	columbia_card_task_fmri	17.0	0.7777777777777778	89.0	-65.0	0.2222222222222222	9.0	1.0	2.0	2.241731643758346		poldrack-single-stim	636	False	True
33.551	1.137	0.05063157894736844	-2.5162767654992537	draw_card	columbia_card_task_fmri	17.0	0.75	89.0	-65.0	0.25	9.0	2.0	2.0	3.657551176977304	2.0	poldrack-single-stim	636	False	False
36.762	1.137	-0.08736842105263157	4.083723234500745	draw_card	columbia_card_task_fmri	14.0	0.9	89.0	-95.0	0.1	10.0	1.0	1.0	0.8516786647976637		poldrack-single-stim	636	False	True
37.311	1.137	-0.12436842105263156	2.8726121233896333	draw_card	columbia_card_task_fmri	14.0	0.8888888888888888	89.0	-95.0	0.1111111111111111	10.0	2.0	1.0	2.4064024159137425		poldrack-single-stim	636	False	True
37.823	1.137	-0.04136842105263156	1.3587232345007458	draw_card	columbia_card_task_fmri	14.0	0.875	89.0	-95.0	0.125	10.0	3.0	1.0	4.198666720727619	3.0	poldrack-single-stim	636	False	False
41.012	1.137	-0.04236842105263156	-0.01627676549925416	draw_card	columbia_card_task_fmri	15.0	0.8	89.0	-65.0	0.2	10.0	1.0	2.0	0.15200212065895968		poldrack-single-stim	636	False	True
41.607	1.137	-0.15436842105263157	-1.794054543277031	draw_card	columbia_card_task_fmri	15.0	0.7777777777777778	89.0	-65.0	0.2222222222222222	10.0	2.0	2.0	1.4106068276037045		poldrack-single-stim	636	False	True
42.09	1.137	-0.03736842105263156	-4.0162767654992555	draw_card	columbia_card_task_fmri	15.0	0.75	89.0	-65.0	0.25	10.0	3.0	2.0	2.7918662481390197		poldrack-single-stim	636	False	True
42.69	1.137	0.17863157894736845	-6.873419622642108	end_round	columbia_card_task_fmri	15.0	0.7142857142857143	71.0	-65.0	0.2857142857142857	10.0	4.0	2.0	4.290587091070609	3.0	poldrack-single-stim	636	False	True
45.893	1.137	0.15063157894736845	1.5837232345007473	draw_card	columbia_card_task_fmri	17.0	0.8	89.0	-65.0	0.2	10.0	1.0	2.0	0.9516335830745994		poldrack-single-stim	636	False	True
46.681	1.137	0.5886315789473684	-0.23849898772147385	draw_card	columbia_card_task_fmri	17.0	0.7777777777777778	89.0	-65.0	0.2222222222222222	10.0	2.0	2.0	2.241731643758346	2.0	poldrack-single-stim	636	False	False
50.499	1.137	0.6186315789473684	0.1503899011674137	draw_card	columbia_card_task_fmri	13.0	0.8333333333333334	89.0	-70.0	0.16666666666666666	12.0	1.0	2.0	-0.915202641057192	1.0	poldrack-single-stim	636	False	False
54.076	1.137	-0.036368421052631564	0.1503899011674137	draw_card	columbia_card_task_fmri	15.0	0.8333333333333334	89.0	-80.0	0.16666666666666666	12.0	1.0	2.0	3.5549587454383875		poldrack-single-stim	636	False	True
54.677	1.137	0.06563157894736844	-1.289004038226529	draw_card	columbia_card_task_fmri	15.0	0.8181818181818181	89.0	-80.0	0.18181818181818185	12.0	2.0	2.0	4.791075887021481		poldrack-single-stim	636	False	True
55.379	1.137	-0.27336842105263154	-3.0162767654992537	end_round	columbia_card_task_fmri	15.0	0.8	71.0	-80.0	0.2	12.0	3.0	2.0	6.149616112829887	2.0	poldrack-single-stim	636	False	True
57.995	1.137	0.05463157894736844	-0.8162767654992531	draw_card	columbia_card_task_fmri	14.0	0.8	89.0	-65.0	0.2	15.0	1.0	3.0	-0.24780661799824696		poldrack-single-stim	636	False	True
58.687	1.137	-0.07936842105263156	-1.9448481940706808	draw_card	columbia_card_task_fmri	14.0	0.7857142857142857	89.0	-65.0	0.21428571428571427	15.0	2.0	3.0	0.5675546918390246		poldrack-single-stim	636	False	True
59.245	1.137	-0.022368421052631562	-3.2470459962684863	draw_card	columbia_card_task_fmri	14.0	0.7692307692307692	89.0	-65.0	0.2307692307692308	15.0	3.0	3.0	1.4360974118576555		poldrack-single-stim	636	False	True
59.859	1.137	0.4226315789473684	-4.7662767654992555	draw_card	columbia_card_task_fmri	14.0	0.75	89.0	-65.0	0.25	15.0	4.0	3.0	2.3590302444929807		poldrack-single-stim	636	False	True
60.92	1.137	-0.04536842105263156	-6.5617313109538	end_round	columbia_card_task_fmri	14.0	0.7272727272727273	71.0	-65.0	0.2727272727272727	15.0	5.0	3.0	3.3342147715489823	4.0	poldrack-single-stim	636	False	True
63.968	1.137	0.47663157894736846	-0.8912767654992542	draw_card	columbia_card_task_fmri	1.0	0.9375	89.0	-45.0	0.0625	16.0	1.0	1.0	-20.684917878468333		poldrack-single-stim	636	False	True
65.082	1.137	0.005631578947368439	-1.0829434321659206	draw_card	columbia_card_task_fmri	1.0	0.9333333333333332	89.0	-45.0	0.06666666666666668	16.0	2.0	1.0	-20.346607793133753		poldrack-single-stim	636	False	True
65.725	1.137	0.18563157894736843	-1.3019910512135398	draw_card	columbia_card_task_fmri	1.0	0.9285714285714286	89.0	-45.0	0.07142857142857142	16.0	3.0	1.0	-19.975530933083785		poldrack-single-stim	636	False	True
66.547	1.137	0.08263157894736844	-1.5547383039607925	draw_card	columbia_card_task_fmri	1.0	0.9230769230769232	89.0	-45.0	0.07692307692307693	16.0	4.0	1.0	-19.566113859606247		poldrack-single-stim	636	False	True
