onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stopped	trial_type	worker_id	junk	condition
3.005	0.55	0.10748818897637795	300.0	1.0	stop_signal	89.0	True	False	stop_failure	636	False	stop_failure
5.256	0.55	0.08648818897637796	250.0	1.0	stop_signal	89.0	True	False	go	636	False	go
7.916	0.55	0.24548818897637795	250.0	1.0	stop_signal	89.0	True	False	go	636	False	go
10.575	0.55	-0.11351181102362204	250.0	1.0	stop_signal	89.0	True	False	go	636	False	go
12.827	0.55	-0.057511811023622045	250.0	1.0	stop_signal	71.0	True	False	go	636	False	go
15.078	0.55	-0.10651181102362205	250.0	1.0	stop_signal	89.0	True	False	go	636	False	go
17.465	0.55	-0.09051181102362205	250.0	1.0	stop_signal	89.0	True	False	stop_failure	636	False	stop_failure
20.261	0.55	-0.686511811023622	200.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
22.648	0.55	-0.686511811023622	250.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
24.899	0.55	-0.686511811023622	300.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
27.15	0.55	-0.686511811023622	350.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
29.401	0.55	0.14948818897637794	400.0	1.0	stop_signal	71.0	True	False	go	636	False	go
32.06	0.55	0.30248818897637797	400.0	1.0	stop_signal	71.0	True	False	go	636	False	go
34.72	0.55	-0.11751181102362204	400.0	1.0	stop_signal	71.0	True	False	go	636	False	go
36.971	0.55	-0.017511811023622044	400.0	1.0	stop_signal	89.0	True	False	go	636	False	go
39.494	0.55	-0.008511811023622045	400.0	1.0	stop_signal	71.0	True	False	go	636	False	go
41.746	0.55	-0.686511811023622	400.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
44.269	0.55	0.26348818897637794	450.0	0.0	stop_signal	71.0	True	False	go	636	True	go
46.793	0.55	-0.686511811023622	450.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
49.316	0.55	-0.686511811023622	500.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
51.704	0.55	-0.686511811023622	550.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
54.227	0.55	0.671488188976378	600.0	1.0	stop_signal	71.0	True	False	go	636	False	go
56.75	0.55	-0.12751181102362205	600.0	1.0	stop_signal	71.0	True	False	go	636	False	go
59.138	0.55	0.19248818897637796	600.0	1.0	stop_signal	89.0	True	False	go	636	False	go
61.389	0.55	0.008488188976377955	600.0	1.0	stop_signal	89.0	True	False	go	636	False	go
63.912	0.55	-0.17151181102362204	600.0	1.0	stop_signal	89.0	True	False	go	636	False	go
66.708	0.55	-0.686511811023622	600.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
69.231	0.55	-0.686511811023622	650.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
71.619	0.55	0.944488188976378	700.0	1.0	stop_signal	89.0	True	False	go	636	False	go
73.87	0.55	0.050488188976377954	700.0	1.0	stop_signal	89.0	True	False	stop_failure	636	False	stop_failure
76.121	0.55	-0.686511811023622	650.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
78.373	0.55	-0.686511811023622	700.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
80.624	0.55	0.6104881889763779	750.0	1.0	stop_signal	89.0	True	False	go	636	False	go
83.148	0.55	-0.040511811023622044	750.0	1.0	stop_signal	89.0	True	False	go	636	False	go
85.399	0.55	0.027488188976377954	750.0	1.0	stop_signal	71.0	True	False	stop_failure	636	False	stop_failure
87.651	0.55	0.776488188976378	700.0	1.0	stop_signal	89.0	True	False	go	636	False	go
89.902	0.55	0.6034881889763779	700.0	1.0	stop_signal	71.0	True	False	go	636	False	go
92.153	0.55	0.14948818897637794	700.0	1.0	stop_signal	71.0	True	False	go	636	False	go
