movement_onset	onset	duration	response_time	CTI	correct	cue	cue_switch	experiment_exp_id	key_press	stim_color	stim_number	switch_type	task	task_switch	trial_type	worker_id	junk
4.323	3.506	0.795	-0.19332083333333333	100.0	True	High-Low	stay	twobytwo	71.0	#1F45FC	4.0	cue_stay	magnitude	stay	poldrack-single-stim	636	False
8.079	6.833	1.595	-0.5643208333333333	900.0	True	Color		twobytwo	71.0	orange	4.0	task_switch	color	switch	poldrack-single-stim	636	False
11.01	10.145	0.795	-0.14532083333333332	100.0	True	Magnitude		twobytwo	89.0	#1F45FC	6.0	task_switch	magnitude	switch	poldrack-single-stim	636	False
14.489	13.063	0.795	0.41567916666666666	100.0	True	Color		twobytwo	89.0	#1F45FC	6.0	task_switch	color	switch	poldrack-single-stim	636	False
16.222	15.574	0.795	-0.3623208333333333	100.0	True	Magnitude		twobytwo	71.0	orange	1.0	task_switch	magnitude	switch	poldrack-single-stim	636	False
18.751	17.813	0.795	-0.07232083333333332	100.0	True	Magnitude	stay	twobytwo	89.0	orange	8.0	cue_stay	magnitude	stay	poldrack-single-stim	636	False
21.485	20.052	1.595	-0.3773208333333333	900.0	True	High-Low	switch	twobytwo	89.0	orange	9.0	cue_switch	magnitude	stay	poldrack-single-stim	636	False
24.802	22.955	1.595	0.03667916666666667	900.0	True	Magnitude	switch	twobytwo	71.0	#1F45FC	1.0	cue_switch	magnitude	stay	poldrack-single-stim	636	False
26.994	25.857	0.795	0.12667916666666668	100.0	True	Orange-Blue		twobytwo	71.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	636	False
29.783	28.232	1.595	-0.25932083333333333	900.0	False	Magnitude		twobytwo	71.0	orange	9.0	task_switch	magnitude	switch	poldrack-single-stim	636	True
33.05	31.543	0.795	0.49667916666666667	100.0	True	Color		twobytwo	89.0	#1F45FC	2.0	task_switch	color	switch	poldrack-single-stim	636	False
35.209	33.645	0.795	0.5536791666666667	100.0	True	Orange-Blue	switch	twobytwo	89.0	#1F45FC	3.0	cue_switch	color	stay	poldrack-single-stim	636	False
37.921	35.884	1.595	0.22667916666666668	900.0	True	Magnitude		twobytwo	71.0	orange	2.0	task_switch	magnitude	switch	poldrack-single-stim	636	False
40.006	38.787	0.795	0.20867916666666667	100.0	True	Orange-Blue		twobytwo	71.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	636	False
43.369	41.298	1.595	0.2606791666666667	900.0	True	Color	switch	twobytwo	71.0	orange	3.0	cue_switch	color	stay	poldrack-single-stim	636	False
46.057	44.472	1.595	-0.22532083333333333	900.0	True	High-Low		twobytwo	71.0	orange	3.0	task_switch	magnitude	switch	poldrack-single-stim	636	False
48.624	47.374	0.795	0.23967916666666667	100.0	False	Magnitude	switch	twobytwo	89.0	#1F45FC	1.0	cue_switch	magnitude	stay	poldrack-single-stim	636	True
51.495	49.748	1.595	-0.06332083333333333	900.0	True	Color		twobytwo	71.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	636	False
53.875	52.651	0.795	0.21367916666666667	100.0	True	Magnitude		twobytwo	89.0	orange	9.0	task_switch	magnitude	switch	poldrack-single-stim	636	False
55.847	54.753	0.795	0.08367916666666668	100.0	True	Magnitude	stay	twobytwo	71.0	#1F45FC	3.0	cue_stay	magnitude	stay	poldrack-single-stim	636	False
58.27	57.128	0.795	0.13167916666666668	100.0	True	Orange-Blue		twobytwo	89.0	#1F45FC	1.0	task_switch	color	switch	poldrack-single-stim	636	False
60.954	59.367	1.595	-0.22332083333333333	900.0	True	High-Low		twobytwo	89.0	#1F45FC	7.0	task_switch	magnitude	switch	poldrack-single-stim	636	False
64.04	62.269	1.595	-0.039320833333333326	900.0	True	High-Low	stay	twobytwo	71.0	#1F45FC	2.0	cue_stay	magnitude	stay	poldrack-single-stim	636	False
66.477	65.172	0.795	0.29467916666666666	100.0	True	Color		twobytwo	89.0	#1F45FC	8.0	task_switch	color	switch	poldrack-single-stim	636	False
69.032	67.275	0.795	0.7466791666666667	100.0	False	Orange-Blue	switch	twobytwo	71.0	#1F45FC	2.0	cue_switch	color	stay	poldrack-single-stim	636	True
69.477	69.378	0.795	-0.9113208333333334	100.0	False	Orange-Blue	stay	twobytwo	-1.0	#1F45FC	6.0	cue_stay	color	stay	poldrack-single-stim	636	True
72.916	71.481	0.795	0.42467916666666666	100.0	False	High-Low		twobytwo	89.0	#1F45FC	1.0	task_switch	magnitude	switch	poldrack-single-stim	636	True
75.599	73.719	1.595	0.06967916666666668	900.0	True	High-Low	stay	twobytwo	89.0	orange	9.0	cue_stay	magnitude	stay	poldrack-single-stim	636	False
78.045	76.622	1.595	-0.38732083333333334	900.0	True	Color		twobytwo	89.0	#1F45FC	9.0	task_switch	color	switch	poldrack-single-stim	636	False
80.893	79.524	0.795	0.35867916666666666	100.0	True	Orange-Blue	switch	twobytwo	71.0	orange	9.0	cue_switch	color	stay	poldrack-single-stim	636	False
84.21	81.762	1.595	0.6376791666666667	900.0	True	Color	switch	twobytwo	89.0	#1F45FC	4.0	cue_switch	color	stay	poldrack-single-stim	636	False
86.788	84.665	1.595	0.3126791666666667	900.0	False	High-Low		twobytwo	71.0	#1F45FC	9.0	task_switch	magnitude	switch	poldrack-single-stim	636	True
89.45	87.704	1.595	-0.06432083333333333	900.0	True	Orange-Blue		twobytwo	89.0	#1F45FC	7.0	task_switch	color	switch	poldrack-single-stim	636	False
93.235	91.286	1.595	0.1386791666666667	900.0	True	Orange-Blue	stay	twobytwo	89.0	#1F45FC	3.0	cue_stay	color	stay	poldrack-single-stim	636	False
95.497	94.461	0.795	0.025679166666666673	100.0	True	Orange-Blue	stay	twobytwo	71.0	orange	8.0	cue_stay	color	stay	poldrack-single-stim	636	False
98.796	96.7	1.595	0.28567916666666665	900.0	True	High-Low		twobytwo	89.0	orange	8.0	task_switch	magnitude	switch	poldrack-single-stim	636	False
101.079	99.602	1.595	-0.33332083333333334	900.0	True	Orange-Blue		twobytwo	89.0	#1F45FC	6.0	task_switch	color	switch	poldrack-single-stim	636	False
104.014	102.64	0.795	0.36367916666666666	100.0	True	Magnitude		twobytwo	89.0	orange	7.0	task_switch	magnitude	switch	poldrack-single-stim	636	False
106.789	105.423	0.795	0.35567916666666666	100.0	True	Orange-Blue		twobytwo	89.0	#1F45FC	2.0	task_switch	color	switch	poldrack-single-stim	636	False
108.64	107.797	0.795	-0.16732083333333334	100.0	True	Color	switch	twobytwo	89.0	#1F45FC	1.0	cue_switch	color	stay	poldrack-single-stim	636	False
111.347	109.9	1.595	-0.3633208333333333	900.0	True	High-Low		twobytwo	89.0	orange	9.0	task_switch	magnitude	switch	poldrack-single-stim	636	False
114.146	112.803	0.795	0.3326791666666667	100.0	True	High-Low	stay	twobytwo	89.0	#1F45FC	7.0	cue_stay	magnitude	stay	poldrack-single-stim	636	False
115.931	115.042	0.795	-0.12132083333333332	100.0	True	High-Low	stay	twobytwo	89.0	#1F45FC	7.0	cue_stay	magnitude	stay	poldrack-single-stim	636	False
117.965	117.145	0.795	-0.19032083333333333	100.0	True	High-Low	stay	twobytwo	71.0	#1F45FC	1.0	cue_stay	magnitude	stay	poldrack-single-stim	636	False
120.785	119.247	1.595	-0.27232083333333335	900.0	True	Magnitude	switch	twobytwo	89.0	orange	6.0	cue_switch	magnitude	stay	poldrack-single-stim	636	False
123.548	122.149	1.595	-0.4113208333333333	900.0	True	Orange-Blue		twobytwo	71.0	orange	1.0	task_switch	color	switch	poldrack-single-stim	636	False
126.948	125.324	1.595	-0.18632083333333332	900.0	True	High-Low		twobytwo	89.0	#1F45FC	7.0	task_switch	magnitude	switch	poldrack-single-stim	636	False
130.438	128.634	1.595	-0.006320833333333326	900.0	True	High-Low	stay	twobytwo	71.0	#1F45FC	1.0	cue_stay	magnitude	stay	poldrack-single-stim	636	False
133.641	131.537	1.595	0.29367916666666666	900.0	True	High-Low	stay	twobytwo	89.0	orange	8.0	cue_stay	magnitude	stay	poldrack-single-stim	636	False
135.938	134.44	1.595	-0.3123208333333333	900.0	True	Orange-Blue		twobytwo	71.0	orange	4.0	task_switch	color	switch	poldrack-single-stim	636	False
139.497	137.342	1.595	0.34467916666666665	900.0	False	Magnitude		twobytwo	89.0	#1F45FC	4.0	task_switch	magnitude	switch	poldrack-single-stim	636	True
