	onset	duration	response_time	trial_type	correct	experiment_exp_id	key_press	stim_color	stim_duration	stim_word	trial_num	worker_id
43	5.783	0.0001	0.83	congruent	1.0	stroop	82	green	1500.0	green	0.0	s130
44	7.785	0.0001	0.973	incongruent	1.0	stroop	71	blue	1500.0	red	1.0	s130
45	10.196	0.0001	0.496	congruent	1.0	stroop	71	blue	1500.0	blue	2.0	s130
46	12.199	0.0001	0.555	congruent	1.0	stroop	89	red	1500.0	red	3.0	s130
47	14.337	0.0001	0.607	congruent	1.0	stroop	71	blue	1500.0	blue	4.0	s130
48	16.339	0.0001	0.446	congruent	1.0	stroop	82	green	1500.0	green	5.0	s130
49	18.342	0.0001	0.453	congruent	1.0	stroop	89	red	1500.0	red	6.0	s130
50	20.345	0.0001	0.623	incongruent	1.0	stroop	82	green	1500.0	blue	7.0	s130
51	22.619	0.0001	0.597	congruent	1.0	stroop	71	blue	1500.0	blue	8.0	s130
52	24.621	0.0001	0.893	incongruent	1.0	stroop	71	blue	1500.0	green	9.0	s130
53	26.895	0.0001	0.625	incongruent	1.0	stroop	89	red	1500.0	blue	10.0	s130
54	29.17	0.0001	0.852	incongruent	1.0	stroop	82	green	1500.0	blue	11.0	s130
55	31.172	0.0001	0.669	incongruent	1.0	stroop	71	blue	1500.0	red	12.0	s130
56	33.853	0.0001	0.881	congruent	1.0	stroop	71	blue	1500.0	blue	13.0	s130
57	35.855	0.0001	0.783	incongruent	1.0	stroop	82	green	1500.0	red	14.0	s130
58	38.13	0.0001	0.64	congruent	1.0	stroop	82	green	1500.0	green	15.0	s130
59	40.133	0.0001	0.521	congruent	1.0	stroop	89	red	1500.0	red	16.0	s130
60	42.135	0.0001	0.426	congruent	1.0	stroop	89	red	1500.0	red	17.0	s130
61	44.41	0.0001	0.507	incongruent	1.0	stroop	89	red	1500.0	blue	18.0	s130
62	46.549	0.0001	0.766	congruent	1.0	stroop	82	green	1500.0	green	19.0	s130
63	49.095	0.0001	0.779	congruent	1.0	stroop	89	red	1500.0	red	20.0	s130
64	51.504	0.0001	0.693	incongruent	1.0	stroop	89	red	1500.0	blue	21.0	s130
65	53.506	0.0001	0.736	incongruent	1.0	stroop	71	blue	1500.0	red	22.0	s130
66	55.508	0.0001	0.843	incongruent	1.0	stroop	82	green	1500.0	blue	23.0	s130
67	57.51	0.0001	0.659	incongruent	1.0	stroop	71	blue	1500.0	green	24.0	s130
68	60.056	0.0001	0.811	congruent	1.0	stroop	82	green	1500.0	green	25.0	s130
69	62.194	0.0001	0.583	congruent	1.0	stroop	89	red	1500.0	red	26.0	s130
70	64.196	0.0001	0.836	congruent	1.0	stroop	82	green	1500.0	green	27.0	s130
71	66.198	0.0001	0.648	congruent	1.0	stroop	89	red	1500.0	red	28.0	s130
72	68.473	0.0001	0.574	congruent	1.0	stroop	71	blue	1500.0	blue	29.0	s130
73	70.476	0.0001	0.917	incongruent	1.0	stroop	89	red	1500.0	green	30.0	s130
74	72.478	0.0001	0.689	congruent	1.0	stroop	71	blue	1500.0	blue	31.0	s130
75	74.616	0.0001	0.69	incongruent	1.0	stroop	89	red	1500.0	green	32.0	s130
76	76.617	0.0001	1.23	incongruent	1.0	stroop	89	red	1500.0	green	33.0	s130
77	78.892	0.0001	0.971	incongruent	1.0	stroop	71	blue	1500.0	red	34.0	s130
78	81.031	0.0001	0.554	congruent	1.0	stroop	71	blue	1500.0	blue	35.0	s130
79	83.44	0.0001	0.602	incongruent	1.0	stroop	89	red	1500.0	green	36.0	s130
80	85.442	0.0001	0.622	congruent	1.0	stroop	71	blue	1500.0	blue	37.0	s130
81	87.444	0.0001	0.873	congruent	1.0	stroop	82	green	1500.0	green	38.0	s130
82	90.263	0.0001	0.75	incongruent	1.0	stroop	71	blue	1500.0	green	39.0	s130
83	92.265	0.0001	0.496	incongruent	1.0	stroop	71	blue	1500.0	red	40.0	s130
84	94.267	0.0001	0.916	incongruent	1.0	stroop	82	green	1500.0	red	41.0	s130
85	96.405	0.0001	0.741	congruent	1.0	stroop	71	blue	1500.0	blue	42.0	s130
86	98.408	0.0001	0.507	congruent	1.0	stroop	89	red	1500.0	red	43.0	s130
87	100.411	0.0001	0.779	incongruent	1.0	stroop	71	blue	1500.0	green	44.0	s130
88	102.413	0.0001	0.768	congruent	1.0	stroop	82	green	1500.0	green	45.0	s130
89	104.416	0.0001	0.729	incongruent	1.0	stroop	89	red	1500.0	green	46.0	s130
90	106.417	0.0001	0.683	congruent	1.0	stroop	71	blue	1500.0	blue	47.0	s130
91	108.419	0.0001	0.912	incongruent	1.0	stroop	82	green	1500.0	red	48.0	s130
92	110.421	0.0001	0.575	congruent	1.0	stroop	82	green	1500.0	green	49.0	s130
93	112.696	0.0001	0.625	incongruent	1.0	stroop	89	red	1500.0	blue	50.0	s130
94	114.698	0.0001	0.982	incongruent	1.0	stroop	71	blue	1500.0	red	51.0	s130
95	116.837	0.0001	0.535	congruent	1.0	stroop	89	red	1500.0	red	52.0	s130
96	118.839	0.0001	0.691	congruent	1.0	stroop	82	green	1500.0	green	53.0	s130
97	120.978	0.0001	0.499	congruent	1.0	stroop	82	green	1500.0	green	54.0	s130
98	122.98	0.0001	0.534	congruent	1.0	stroop	82	green	1500.0	green	55.0	s130
99	124.982	0.0001	0.649	congruent	1.0	stroop	71	blue	1500.0	blue	56.0	s130
100	126.983	0.0001	0.716	incongruent	1.0	stroop	82	green	1500.0	blue	57.0	s130
101	129.258	0.0001	0.639	incongruent	1.0	stroop	82	green	1500.0	blue	58.0	s130
102	131.26	0.0001	0.555	incongruent	1.0	stroop	82	green	1500.0	red	59.0	s130
103	133.398	0.0001	0.509	incongruent	1.0	stroop	89	red	1500.0	green	60.0	s130
104	135.808	0.0001	1.003	congruent	1.0	stroop	82	green	1500.0	green	61.0	s130
105	138.083	0.0001	0.658	incongruent	1.0	stroop	89	red	1500.0	blue	62.0	s130
106	140.764	0.0001	0.479	congruent	1.0	stroop	89	red	1500.0	red	63.0	s130
107	142.766	0.0001	0.546	congruent	1.0	stroop	89	red	1500.0	red	64.0	s130
108	145.175	0.0001	0.724	congruent	1.0	stroop	89	red	1500.0	red	65.0	s130
109	147.314	0.0001	0.712	congruent	1.0	stroop	71	blue	1500.0	blue	66.0	s130
110	149.996	0.0001	0.608	incongruent	0.0	stroop	71	red	1500.0	blue	67.0	s130
111	152.0	0.0001	0.558	incongruent	1.0	stroop	71	blue	1500.0	green	68.0	s130
112	154.138	0.0001	0.728	incongruent	1.0	stroop	89	red	1500.0	blue	69.0	s130
