onset	duration
-35957.0	0.01
4951.0	0.01
11967.0	0.01
21682.0	0.01
31135.0	0.01
43028.0	0.01
55249.0	0.01
63234.0	0.01
70349.0	0.01
81396.0	0.01
91223.0	0.01
101253.0	0.01
112636.0	0.01
121942.0	0.01
132392.0	0.01
140149.0	0.01
151083.0	0.01
159654.0	0.01
170862.0	0.01
179956.0	0.01
190056.0	0.01
199445.0	0.01
210428.0	0.01
221064.0	0.01
229534.0	0.01
238914.0	0.01
249646.0	0.01
259937.0	0.01
269823.0	0.01
280183.0	0.01
288033.0	0.01
301639.0	0.01
311577.0	0.01
321361.0	0.01
331672.0	0.01
342564.0	0.01
350303.0	0.01
361339.0	0.01
374200.0	0.01
382918.0	0.01
393978.0	0.01
412104.0	0.01
