onset	duration
-76241.0	0.01
-73691.0	0.01
-71264.0	0.01
-68572.0	0.01
-66091.0	0.01
-63391.0	0.01
-60832.0	0.01
-58123.0	0.01
-55507.0	0.01
-52810.0	0.01
-50308.0	0.01
-47735.0	0.01
3650.0	0.01
6076.0	0.01
8929.0	0.01
10719.0	0.01
13612.0	0.01
16155.0	0.01
18499.0	0.01
21049.0	0.01
23985.0	0.01
26152.0	0.01
27848.0	0.01
30981.0	0.01
33425.0	0.01
35152.0	0.01
38016.0	0.01
40396.0	0.01
42047.0	0.01
44898.0	0.01
47145.0	0.01
48941.0	0.01
51829.0	0.01
54029.0	0.01
55836.0	0.01
58921.0	0.01
60477.0	0.01
63735.0	0.01
65800.0	0.01
68255.0	0.01
69899.0	0.01
72904.0	0.01
75342.0	0.01
77757.0	0.01
80379.0	0.01
82537.0	0.01
85507.0	0.01
88165.0	0.01
90534.0	0.01
92900.0	0.01
95491.0	0.01
97889.0	0.01
100234.0	0.01
100770.0	0.01
112938.0	0.01
115086.0	0.01
117537.0	0.01
119974.0	0.01
121696.0	0.01
124619.0	0.01
126746.0	0.01
129611.0	0.01
132970.0	0.01
135114.0	0.01
136979.0	0.01
140158.0	0.01
142436.0	0.01
144602.0	0.01
146923.0	0.01
149916.0	0.01
152435.0	0.01
154947.0	0.01
156497.0	0.01
159023.0	0.01
162041.0	0.01
163665.0	0.01
166527.0	0.01
169305.0	0.01
171871.0	0.01
174339.0	0.01
176458.0	0.01
178133.0	0.01
181770.0	0.01
184071.0	0.01
185572.0	0.01
188444.0	0.01
190848.0	0.01
193414.0	0.01
196060.0	0.01
198344.0	0.01
200941.0	0.01
202429.0	0.01
205709.0	0.01
208265.0	0.01
210703.0	0.01
212392.0	0.01
213917.0	0.01
226183.0	0.01
228668.0	0.01
231098.0	0.01
233347.0	0.01
235853.0	0.01
237913.0	0.01
241138.0	0.01
243745.0	0.01
245596.0	0.01
247972.0	0.01
249586.0	0.01
252424.0	0.01
255335.0	0.01
256616.0	0.01
259428.0	0.01
261633.0	0.01
264107.0	0.01
266456.0	0.01
268016.0	0.01
270962.0	0.01
273248.0	0.01
275468.0	0.01
277983.0	0.01
280414.0	0.01
282215.0	0.01
285179.0	0.01
287671.0	0.01
289812.0	0.01
292044.0	0.01
294798.0	0.01
296929.0	0.01
298667.0	0.01
301898.0	0.01
304483.0	0.01
306706.0	0.01
309840.0	0.01
311857.0	0.01
313817.0	0.01
316663.0	0.01
319123.0	0.01
321111.0	0.01
323403.0	0.01
