onset	duration
5586.0	0.01
6659.0	0.01
7508.0	0.01
9721.0	0.01
14810.0	0.01
15929.0	0.01
20659.0	0.01
21438.0	0.01
27949.0	0.01
32451.0	0.01
33546.0	0.01
38640.0	0.01
40439.0	0.01
44726.0	0.01
45363.0	0.01
46177.0	0.01
52179.0	0.01
54766.0	0.01
59492.0	0.01
60608.0	0.01
62385.0	0.01
67707.0	0.01
70588.0	0.01
71079.0	0.01
75303.0	0.01
79014.0	0.01
83379.0	0.01
83809.0	0.01
84294.0	0.01
87371.0	0.01
88359.0	0.01
88975.0	0.01
92788.0	0.01
95682.0	0.01
96811.0	0.01
102121.0	0.01
103581.0	0.01
107633.0	0.01
109056.0	0.01
109970.0	0.01
115336.0	0.01
121419.0	0.01
121824.0	0.01
127185.0	0.01
127738.0	0.01
131278.0	0.01
131726.0	0.01
135988.0	0.01
136776.0	0.01
137727.0	0.01
139257.0	0.01
139818.0	0.01
144923.0	0.01
145702.0	0.01
147770.0	0.01
153546.0	0.01
154992.0	0.01
156351.0	0.01
161263.0	0.01
161962.0	0.01
163266.0	0.01
163757.0	0.01
168565.0	0.01
170223.0	0.01
170672.0	0.01
175292.0	0.01
180569.0	0.01
182176.0	0.01
186791.0	0.01
187702.0	0.01
188988.0	0.01
194685.0	0.01
197299.0	0.01
202426.0	0.01
203092.0	0.01
207562.0	0.01
208387.0	0.01
212409.0	0.01
216570.0	0.01
217452.0	0.01
222644.0	0.01
223855.0	0.01
228078.0	0.01
228451.0	0.01
228934.0	0.01
234215.0	0.01
234939.0	0.01
236316.0	0.01
236786.0	0.01
242474.0	0.01
245488.0	0.01
251255.0	0.01
251628.0	0.01
252211.0	0.01
253096.0	0.01
257002.0	0.01
257593.0	0.01
258134.0	0.01
259091.0	0.01
263550.0	0.01
264345.0	0.01
269223.0	0.01
269592.0	0.01
269953.0	0.01
270315.0	0.01
270710.0	0.01
276289.0	0.01
276712.0	0.01
281216.0	0.01
282443.0	0.01
287203.0	0.01
287714.0	0.01
289385.0	0.01
291009.0	0.01
291473.0	0.01
295692.0	0.01
296293.0	0.01
296871.0	0.01
299029.0	0.01
300208.0	0.01
315906.0	0.01
316437.0	0.01
317337.0	0.01
322299.0	0.01
323500.0	0.01
327808.0	0.01
328203.0	0.01
328603.0	0.01
332944.0	0.01
337624.0	0.01
338895.0	0.01
340704.0	0.01
347006.0	0.01
351939.0	0.01
352370.0	0.01
352771.0	0.01
357793.0	0.01
359213.0	0.01
363681.0	0.01
368015.0	0.01
372334.0	0.01
372773.0	0.01
373165.0	0.01
377752.0	0.01
378169.0	0.01
379221.0	0.01
379566.0	0.01
383297.0	0.01
383699.0	0.01
384176.0	0.01
384933.0	0.01
388673.0	0.01
392238.0	0.01
392665.0	0.01
393172.0	0.01
393849.0	0.01
397913.0	0.01
398432.0	0.01
399292.0	0.01
400498.0	0.01
401081.0	0.01
404571.0	0.01
405335.0	0.01
405720.0	0.01
406779.0	0.01
411968.0	0.01
412295.0	0.01
416843.0	0.01
418948.0	0.01
419329.0	0.01
423150.0	0.01
423760.0	0.01
427729.0	0.01
428237.0	0.01
429207.0	0.01
429557.0	0.01
434729.0	0.01
438455.0	0.01
439904.0	0.01
440246.0	0.01
444363.0	0.01
445085.0	0.01
445475.0	0.01
450492.0	0.01
450872.0	0.01
451232.0	0.01
456190.0	0.01
460652.0	0.01
462925.0	0.01
467315.0	0.01
468953.0	0.01
469371.0	0.01
474124.0	0.01
475459.0	0.01
479761.0	0.01
480233.0	0.01
480630.0	0.01
484985.0	0.01
488423.0	0.01
490020.0	0.01
494022.0	0.01
494945.0	0.01
495296.0	0.01
500570.0	0.01
501745.0	0.01
505528.0	0.01
505902.0	0.01
506280.0	0.01
506904.0	0.01
510526.0	0.01
511286.0	0.01
512904.0	0.01
514987.0	0.01
520821.0	0.01
524882.0	0.01
525211.0	0.01
525550.0	0.01
531279.0	0.01
532117.0	0.01
533429.0	0.01
533717.0	0.01
538438.0	0.01
543465.0	0.01
543812.0	0.01
544202.0	0.01
544613.0	0.01
545290.0	0.01
546150.0	0.01
549962.0	0.01
550299.0	0.01
550697.0	0.01
551334.0	0.01
555981.0	0.01
556385.0	0.01
557007.0	0.01
557393.0	0.01
