onset	duration	response_time	correct	experiment_exp_id	stim_color	stim_word	timing_post_trial	trial_num	worker_id
3.51	1.5	0.807	1.0	stroop	blue	red	0.0	0.0	s358
5.785	1.5	0.458	1.0	stroop	blue	red	0.0	1.0	s358
7.786	1.5	0.412	1.0	stroop	blue	blue	0.0	2.0	s358
9.788	1.5	0.499	1.0	stroop	green	green	0.0	3.0	s358
11.791	1.5	0.508	1.0	stroop	blue	green	0.0	4.0	s358
13.793	1.5	0.557	1.0	stroop	red	red	0.0	5.0	s358
15.931	1.5	0.464	1.0	stroop	red	red	0.0	6.0	s358
17.934	1.5	0.858	1.0	stroop	red	green	0.0	7.0	s358
19.936	1.5	0.691	1.0	stroop	green	green	0.0	8.0	s358
22.074	1.5	0.628	1.0	stroop	red	blue	0.0	9.0	s358
24.077	1.5	0.669	1.0	stroop	green	red	0.0	10.0	s358
26.078	1.5	0.505	1.0	stroop	red	green	0.0	11.0	s358
28.216	1.5	0.453	1.0	stroop	blue	blue	0.0	12.0	s358
30.354	1.5	0.606	1.0	stroop	red	red	0.0	13.0	s358
32.627	1.5	0.803	1.0	stroop	green	blue	0.0	14.0	s358
35.31	1.5	0.481	1.0	stroop	green	green	0.0	15.0	s358
37.312	1.5	0.542	1.0	stroop	green	green	0.0	16.0	s358
39.315	1.5	0.649	1.0	stroop	green	red	0.0	17.0	s358
41.589	1.5	0.752	1.0	stroop	blue	red	0.0	18.0	s358
43.592	1.5	0.599	1.0	stroop	green	green	0.0	19.0	s358
45.594	1.5	0.65	1.0	stroop	red	blue	0.0	20.0	s358
47.596	1.5	0.754	1.0	stroop	green	blue	0.0	21.0	s358
49.598	1.5	0.516	1.0	stroop	green	blue	0.0	22.0	s358
51.6	1.5	0.457	1.0	stroop	green	blue	0.0	23.0	s358
53.603	1.5	0.486	1.0	stroop	green	green	0.0	24.0	s358
55.877	1.5	0.53	1.0	stroop	blue	red	0.0	25.0	s358
57.88	1.5	0.41	1.0	stroop	blue	blue	0.0	26.0	s358
60.289	1.5	0.492	1.0	stroop	red	red	0.0	27.0	s358
62.292	1.5	0.666	1.0	stroop	blue	blue	0.0	28.0	s358
64.431	1.5	0.527	1.0	stroop	blue	blue	0.0	29.0	s358
66.433	1.5	0.525	1.0	stroop	red	red	0.0	30.0	s358
68.435	1.5	0.573	1.0	stroop	blue	green	0.0	31.0	s358
70.437	1.5	0.632	1.0	stroop	blue	blue	0.0	32.0	s358
72.711	1.5	0.935	1.0	stroop	red	green	0.0	33.0	s358
74.714	1.5	0.735	1.0	stroop	green	red	0.0	34.0	s358
76.989	1.5	0.525	1.0	stroop	green	red	0.0	35.0	s358
79.263	1.5	0.526	1.0	stroop	green	red	0.0	36.0	s358
81.265	1.5	0.701	1.0	stroop	green	green	0.0	37.0	s358
83.947	1.5	0.552	1.0	stroop	green	blue	0.0	38.0	s358
85.948	1.5	0.578	1.0	stroop	green	green	0.0	39.0	s358
88.223	1.5	0.473	1.0	stroop	green	green	0.0	40.0	s358
90.225	1.5	0.588	1.0	stroop	red	red	0.0	41.0	s358
92.226	1.5	0.729	1.0	stroop	blue	red	0.0	42.0	s358
94.501	1.5	0.572	1.0	stroop	green	green	0.0	43.0	s358
96.639	1.5	0.579	1.0	stroop	red	red	0.0	44.0	s358
99.185	1.5	0.771	1.0	stroop	green	red	0.0	45.0	s358
101.596	1.5	0.721	1.0	stroop	blue	red	0.0	46.0	s358
103.598	1.5	0.797	1.0	stroop	red	blue	0.0	47.0	s358
105.6	1.5	0.57	1.0	stroop	green	blue	0.0	48.0	s358
