onset	duration
-41428.0	0.01
4817.0	0.01
15385.0	0.01
22867.0	0.01
32941.0	0.01
40615.0	0.01
51727.0	0.01
62377.0	0.01
68400.0	0.01
77488.0	0.01
89913.0	0.01
99089.0	0.01
105464.0	0.01
114864.0	0.01
123729.0	0.01
134853.0	0.01
142391.0	0.01
152450.0	0.01
161391.0	0.01
169946.0	0.01
178927.0	0.01
187641.0	0.01
196643.0	0.01
209002.0	0.01
212810.0	0.01
230346.0	0.01
235984.0	0.01
244746.0	0.01
252736.0	0.01
262029.0	0.01
273340.0	0.01
282586.0	0.01
291054.0	0.01
300722.0	0.01
307563.0	0.01
314215.0	0.01
330466.0	0.01
334068.0	0.01
347595.0	0.01
354816.0	0.01
360314.0	0.01
385561.0	0.01
