onset	duration
-81261.0	0.01
-77916.0	0.01
-73813.0	0.01
-70421.0	0.01
-66096.0	0.01
-62261.0	0.01
-59319.0	0.01
-55471.0	0.01
-51862.0	0.01
-47974.0	0.01
-44457.0	0.01
-40802.0	0.01
4240.0	0.01
6751.728	0.01
9286.0	0.01
11842.864	0.01
14496.592	0.01
17210.456	0.01
19790.0	0.01
22363.864	0.01
24934.864	0.01
27534.864	0.01
30053.864	0.01
32668.728	0.01
35278.864	0.01
37905.592	0.01
40656.0	0.01
43157.864	0.01
45751.0	0.01
48577.864	0.01
51040.048	0.01
53623.728	0.01
56280.864	0.01
58827.0	0.01
61442.864	0.01
64138.0	0.01
66624.864	0.01
69271.728	0.01
71994.728	0.01
74478.864	0.01
77049.0	0.01
79660.864	0.01
82208.0	0.01
84846.728	0.01
87490.0	0.01
90264.0	0.01
92739.864	0.01
95296.728	0.01
98004.592	0.01
100721.0	0.01
103162.864	0.01
105725.864	0.01
108371.0	0.01
111090.592	0.01
113547.456	0.01
116133.864	0.01
118762.864	0.01
121835.0	0.01
124132.0	0.01
126683.864	0.01
129164.0	0.01
131790.864	0.01
134801.0	0.01
137058.592	0.01
139622.0	0.01
142291.184	0.01
144800.32	0.01
147477.0	0.01
150031.864	0.01
152692.864	0.01
155253.864	0.01
157970.0	0.01
160437.864	0.01
162992.048	0.01
165686.864	0.01
168240.592	0.01
168863.0	0.01
181461.048	0.01
183988.864	0.01
186512.728	0.01
189261.728	0.01
191888.0	0.01
194396.0	0.01
197136.728	0.01
199558.0	0.01
202592.0	0.01
204915.728	0.01
207494.0	0.01
210082.864	0.01
212754.728	0.01
215435.0	0.01
218034.0	0.01
220471.0	0.01
223205.0	0.01
225755.0	0.01
228391.0	0.01
230855.728	0.01
233709.864	0.01
236053.912	0.01
238757.728	0.01
241479.864	0.01
243997.864	0.01
246648.0	0.01
249150.0	0.01
251735.0	0.01
254324.0	0.01
257136.864	0.01
259736.728	0.01
262334.864	0.01
265044.864	0.01
267742.0	0.01
270443.0	0.01
272911.592	0.01
275301.456	0.01
278344.592	0.01
280550.0	0.01
283409.592	0.01
286080.0	0.01
287750.592	0.01
291129.0	0.01
293620.0	0.01
296074.592	0.01
299124.864	0.01
301469.728	0.01
304121.456	0.01
306742.728	0.01
309254.0	0.01
311851.592	0.01
314595.0	0.01
317172.0	0.01
319785.456	0.01
322279.592	0.01
324776.0	0.01
327453.864	0.01
329971.184	0.01
332702.864	0.01
335333.0	0.01
337879.864	0.01
340377.864	0.01
343359.864	0.01
345684.456	0.01
