onset	duration
-37063.0	0.01
6529.0	0.01
12535.0	0.01
22001.0	0.01
31763.0	0.01
43488.0	0.01
58314.0	0.01
64718.0	0.01
72433.0	0.01
82504.0	0.01
91888.0	0.01
101211.0	0.01
112413.0	0.01
121602.0	0.01
132206.0	0.01
139797.0	0.01
150990.0	0.01
160188.0	0.01
170704.0	0.01
180009.0	0.01
189673.0	0.01
200112.0	0.01
209069.0	0.01
219879.0	0.01
229464.0	0.01
237813.0	0.01
250202.0	0.01
259307.0	0.01
269395.0	0.01
279023.0	0.01
288006.0	0.01
300792.0	0.01
309452.0	0.01
320413.0	0.01
332228.0	0.01
342477.0	0.01
350577.0	0.01
361115.0	0.01
375826.0	0.01
382529.0	0.01
394118.0	0.01
436480.0	0.01
