onset	duration
-35895.0	0.01
4869.0	0.01
15276.0	0.01
26460.0	0.01
33526.0	0.01
43935.0	0.01
51249.0	0.01
61990.0	0.01
72033.0	0.01
86175.0	0.01
94166.0	0.01
101115.0	0.01
111966.0	0.01
121576.0	0.01
132644.0	0.01
140426.0	0.01
153154.0	0.01
162866.0	0.01
173056.0	0.01
181776.0	0.01
188559.0	0.01
204268.0	0.01
211792.0	0.01
222042.0	0.01
233721.0	0.01
246345.0	0.01
252565.0	0.01
262655.0	0.01
275745.0	0.01
284996.0	0.01
296904.0	0.01
304661.0	0.01
313213.0	0.01
323743.0	0.01
332139.0	0.01
344199.0	0.01
353829.0	0.01
363134.0	0.01
374753.0	0.01
381696.0	0.01
399095.0	0.01
406258.0	0.01
