onset	duration
-81109.0	0.01
-79135.0	0.01
-76589.0	0.01
-73962.0	0.01
-71415.0	0.01
-68726.0	0.01
-66084.0	0.01
-63577.0	0.01
-60978.0	0.01
-58374.0	0.01
-55752.0	0.01
-53130.0	0.01
3700.0	0.01
5928.0	0.01
8415.0	0.01
11374.0	0.01
13822.0	0.01
16361.0	0.01
18626.0	0.01
21230.0	0.01
23566.0	0.01
25704.0	0.01
28322.0	0.01
29975.0	0.01
32884.0	0.01
34891.0	0.01
37145.0	0.01
40055.0	0.01
42721.0	0.01
44983.0	0.01
48184.0	0.01
50599.0	0.01
52952.0	0.01
55476.0	0.01
57680.0	0.01
59466.0	0.01
62168.0	0.01
65186.0	0.01
67804.0	0.01
70292.0	0.01
71960.0	0.01
75076.0	0.01
77304.0	0.01
79129.0	0.01
81922.0	0.01
84589.0	0.01
87259.0	0.01
89588.0	0.01
91966.0	0.01
93603.0	0.01
96911.0	0.01
98792.0	0.01
101047.0	0.01
102302.0	0.01
114443.0	0.01
116548.0	0.01
119106.0	0.01
121849.0	0.01
124226.0	0.01
126818.0	0.01
128881.0	0.01
131441.0	0.01
133949.0	0.01
135996.0	0.01
138386.0	0.01
141449.0	0.01
144025.0	0.01
146528.0	0.01
148682.0	0.01
151133.0	0.01
154020.0	0.01
156448.0	0.01
158831.0	0.01
160573.0	0.01
162827.0	0.01
165081.0	0.01
167949.0	0.01
170404.0	0.01
172605.0	0.01
174961.0	0.01
177131.0	0.01
179345.0	0.01
181780.0	0.01
183519.0	0.01
186319.0	0.01
188027.0	0.01
190951.0	0.01
193413.0	0.01
196037.0	0.01
197721.0	0.01
200804.0	0.01
202912.0	0.01
205358.0	0.01
207515.0	0.01
209972.0	0.01
212324.0	0.01
213175.0	0.01
225562.0	0.01
227815.0	0.01
230331.0	0.01
232125.0	0.01
235526.0	0.01
237941.0	0.01
239837.0	0.01
242620.0	0.01
244835.0	0.01
247210.0	0.01
249425.0	0.01
252013.0	0.01
254987.0	0.01
257191.0	0.01
259758.0	0.01
262050.0	0.01
264549.0	0.01
266395.0	0.01
269298.0	0.01
272078.0	0.01
273971.0	0.01
276778.0	0.01
279196.0	0.01
281703.0	0.01
283532.0	0.01
286423.0	0.01
288758.0	0.01
290428.0	0.01
293221.0	0.01
295677.0	0.01
297844.0	0.01
299957.0	0.01
302702.0	0.01
304222.0	0.01
307235.0	0.01
308865.0	0.01
311956.0	0.01
314206.0	0.01
316806.0	0.01
318732.0	0.01
321076.0	0.01
323483.0	0.01
