onset	duration
-125467.0	0.01
-123052.0	0.01
-120706.0	0.01
-117868.0	0.01
-115325.0	0.01
-112749.0	0.01
-110191.0	0.01
-107483.0	0.01
-104833.0	0.01
-102370.0	0.01
-99820.0	0.01
-96994.0	0.01
3595.0	0.01
5805.0	0.01
7917.0	0.01
10487.0	0.01
13000.0	0.01
15372.0	0.01
18351.0	0.01
20372.0	0.01
22992.0	0.01
25171.0	0.01
27608.0	0.01
30319.0	0.01
32733.0	0.01
34866.0	0.01
37565.0	0.01
39700.0	0.01
42452.0	0.01
45415.0	0.01
48131.0	0.01
50574.0	0.01
52765.0	0.01
55731.0	0.01
57936.0	0.01
60714.0	0.01
62701.0	0.01
65198.0	0.01
67238.0	0.01
69799.0	0.01
72199.0	0.01
74254.0	0.01
77156.0	0.01
79611.0	0.01
81837.0	0.01
84086.0	0.01
86104.0	0.01
88841.0	0.01
91260.0	0.01
93803.0	0.01
96128.0	0.01
99046.0	0.01
101448.0	0.01
103760.0	0.01
106014.0	0.01
108570.0	0.01
111100.0	0.01
113294.0	0.01
115699.0	0.01
118801.0	0.01
120943.0	0.01
123852.0	0.01
124844.0	0.01
136350.0	0.01
139081.0	0.01
141348.0	0.01
143409.0	0.01
146095.0	0.01
148567.0	0.01
151312.0	0.01
153538.0	0.01
155897.0	0.01
158685.0	0.01
160797.0	0.01
163041.0	0.01
165857.0	0.01
167879.0	0.01
170189.0	0.01
172868.0	0.01
175681.0	0.01
177909.0	0.01
180056.0	0.01
182322.0	0.01
184565.0	0.01
186988.0	0.01
189645.0	0.01
192096.0	0.01
194647.0	0.01
196904.0	0.01
199250.0	0.01
201641.0	0.01
204593.0	0.01
206573.0	0.01
208894.0	0.01
210581.0	0.01
213389.0	0.01
216218.0	0.01
217990.0	0.01
221410.0	0.01
223951.0	0.01
225698.0	0.01
228545.0	0.01
231856.0	0.01
234211.0	0.01
236206.0	0.01
238541.0	0.01
241102.0	0.01
243421.0	0.01
245119.0	0.01
248033.0	0.01
250277.0	0.01
252575.0	0.01
254854.0	0.01
255783.0	0.01
267642.0	0.01
270219.0	0.01
272294.0	0.01
274346.0	0.01
277034.0	0.01
279235.0	0.01
282082.0	0.01
284569.0	0.01
287887.0	0.01
290343.0	0.01
292543.0	0.01
294475.0	0.01
297313.0	0.01
300405.0	0.01
302434.0	0.01
304586.0	0.01
307055.0	0.01
309747.0	0.01
312193.0	0.01
314198.0	0.01
316884.0	0.01
320065.0	0.01
322656.0	0.01
325985.0	0.01
327562.0	0.01
330959.0	0.01
332468.0	0.01
335271.0	0.01
337690.0	0.01
339896.0	0.01
342535.0	0.01
345210.0	0.01
347338.0	0.01
349657.0	0.01
351390.0	0.01
354682.0	0.01
356648.0	0.01
359182.0	0.01
361378.0	0.01
363782.0	0.01
366693.0	0.01
369236.0	0.01
371175.0	0.01
373173.0	0.01
376180.0	0.01
377931.0	0.01
380018.0	0.01
383133.0	0.01
385567.0	0.01
387913.0	0.01
388727.0	0.01
401085.0	0.01
403304.0	0.01
405752.0	0.01
408164.0	0.01
410126.0	0.01
412233.0	0.01
414895.0	0.01
417587.0	0.01
419712.0	0.01
421708.0	0.01
424767.0	0.01
426213.0	0.01
429209.0	0.01
431105.0	0.01
433782.0	0.01
437159.0	0.01
438974.0	0.01
442622.0	0.01
444925.0	0.01
447130.0	0.01
450021.0	0.01
452718.0	0.01
454188.0	0.01
457212.0	0.01
460705.0	0.01
462614.0	0.01
464843.0	0.01
467152.0	0.01
469683.0	0.01
471944.0	0.01
474246.0	0.01
476579.0	0.01
478700.0	0.01
481148.0	0.01
483586.0	0.01
486195.0	0.01
489191.0	0.01
491646.0	0.01
494151.0	0.01
496542.0	0.01
498886.0	0.01
501744.0	0.01
503765.0	0.01
506074.0	0.01
508852.0	0.01
510841.0	0.01
513358.0	0.01
515873.0	0.01
518315.0	0.01
520843.0	0.01
521865.0	0.01
533868.0	0.01
536083.0	0.01
538749.0	0.01
541248.0	0.01
543835.0	0.01
545684.0	0.01
548125.0	0.01
550014.0	0.01
551991.0	0.01
555435.0	0.01
557535.0	0.01
560100.0	0.01
562274.0	0.01
564733.0	0.01
567583.0	0.01
569697.0	0.01
572462.0	0.01
574609.0	0.01
577061.0	0.01
579489.0	0.01
581474.0	0.01
583920.0	0.01
585831.0	0.01
588084.0	0.01
590876.0	0.01
593315.0	0.01
596112.0	0.01
597978.0	0.01
600190.0	0.01
602819.0	0.01
605272.0	0.01
607204.0	0.01
610585.0	0.01
612888.0	0.01
614720.0	0.01
617125.0	0.01
619445.0	0.01
621767.0	0.01
624724.0	0.01
627364.0	0.01
629931.0	0.01
631028.0	0.01
634550.0	0.01
636134.0	0.01
638956.0	0.01
641647.0	0.01
643612.0	0.01
645820.0	0.01
648463.0	0.01
649949.0	0.01
