onset	duration
-104152.0	0.01
5466.0	0.01
14690.0	0.01
24160.0	0.01
31487.0	0.01
40950.0	0.01
51318.0	0.01
61734.0	0.01
69933.0	0.01
79392.0	0.01
87905.0	0.01
95722.0	0.01
106470.0	0.01
115821.0	0.01
123186.0	0.01
133881.0	0.01
143362.0	0.01
151990.0	0.01
160456.0	0.01
169997.0	0.01
180385.0	0.01
188247.0	0.01
197324.0	0.01
209477.0	0.01
217451.0	0.01
225745.0	0.01
233488.0	0.01
243783.0	0.01
253574.0	0.01
261878.0	0.01
270953.0	0.01
281351.0	0.01
289537.0	0.01
299206.0	0.01
308646.0	0.01
316771.0	0.01
327688.0	0.01
334934.0	0.01
345033.0	0.01
353409.0	0.01
364267.0	0.01
546950.0	0.01
