onset	duration
-134831.0	0.01
-131203.0	0.01
-127519.0	0.01
-123695.0	0.01
-120040.0	0.01
-116253.0	0.01
-112598.0	0.01
-109021.0	0.01
-105168.0	0.01
-101365.0	0.01
-97821.0	0.01
-94082.0	0.01
4353.0	0.01
6752.728	0.01
9470.0	0.01
12272.864	0.01
14669.592	0.01
17050.456	0.01
19797.0	0.01
22388.864	0.01
24969.864	0.01
27596.864	0.01
30295.864	0.01
32907.728	0.01
35362.864	0.01
38079.592	0.01
40664.0	0.01
43287.864	0.01
45861.0	0.01
48534.864	0.01
51032.048	0.01
53721.728	0.01
56309.864	0.01
58933.0	0.01
61482.864	0.01
64117.0	0.01
66737.864	0.01
69346.728	0.01
71981.728	0.01
74515.864	0.01
77085.0	0.01
79797.864	0.01
82333.0	0.01
85047.728	0.01
87622.0	0.01
90165.0	0.01
92786.864	0.01
95415.728	0.01
98046.592	0.01
100556.0	0.01
103196.864	0.01
105841.864	0.01
108652.0	0.01
111105.592	0.01
113652.456	0.01
116312.864	0.01
118943.864	0.01
121577.0	0.01
124087.0	0.01
126750.864	0.01
129384.0	0.01
131955.864	0.01
134475.0	0.01
137214.592	0.01
139859.0	0.01
142383.184	0.01
144928.32	0.01
147586.0	0.01
150229.864	0.01
152797.864	0.01
155426.864	0.01
157976.0	0.01
160631.864	0.01
163237.048	0.01
165808.864	0.01
168438.592	0.01
169013.0	0.01
181703.048	0.01
184181.864	0.01
186883.728	0.01
189434.728	0.01
192005.0	0.01
194588.0	0.01
197231.728	0.01
199834.0	0.01
202422.0	0.01
205059.728	0.01
207697.0	0.01
210292.864	0.01
212921.728	0.01
215486.0	0.01
218149.0	0.01
220796.0	0.01
223380.0	0.01
225869.0	0.01
228512.0	0.01
231174.728	0.01
233767.864	0.01
236403.912	0.01
238993.728	0.01
241553.864	0.01
244148.864	0.01
246777.0	0.01
249381.0	0.01
251906.0	0.01
254685.0	0.01
257223.864	0.01
259947.728	0.01
262424.864	0.01
265051.864	0.01
267794.0	0.01
270328.0	0.01
273058.592	0.01
275544.456	0.01
278315.592	0.01
280715.0	0.01
283333.592	0.01
285922.0	0.01
288558.592	0.01
291199.0	0.01
293824.0	0.01
296444.592	0.01
298999.864	0.01
301763.728	0.01
304366.456	0.01
306869.728	0.01
309472.0	0.01
312092.592	0.01
314640.0	0.01
317341.0	0.01
319817.456	0.01
322397.592	0.01
325041.0	0.01
327687.864	0.01
330186.184	0.01
332941.864	0.01
335358.0	0.01
338064.864	0.01
340671.864	0.01
343411.864	0.01
345874.456	0.01
