onset	duration
5949.0	0.01
8559.0	0.01
11360.0	0.01
16849.0	0.01
20504.0	0.01
21073.0	0.01
21986.0	0.01
22870.0	0.01
27160.0	0.01
29939.0	0.01
31192.0	0.01
35603.0	0.01
37368.0	0.01
38881.0	0.01
42460.0	0.01
45842.0	0.01
46436.0	0.01
49371.0	0.01
49989.0	0.01
50786.0	0.01
51651.0	0.01
55171.0	0.01
57225.0	0.01
60332.0	0.01
63319.0	0.01
64151.0	0.01
64625.0	0.01
65623.0	0.01
66530.0	0.01
71145.0	0.01
72058.0	0.01
75459.0	0.01
76741.0	0.01
80323.0	0.01
84321.0	0.01
85129.0	0.01
86060.0	0.01
87120.0	0.01
90121.0	0.01
90696.0	0.01
91433.0	0.01
92164.0	0.01
95977.0	0.01
96569.0	0.01
97147.0	0.01
98327.0	0.01
101461.0	0.01
104259.0	0.01
104878.0	0.01
107140.0	0.01
107967.0	0.01
111090.0	0.01
112004.0	0.01
113707.0	0.01
117097.0	0.01
120050.0	0.01
121930.0	0.01
124937.0	0.01
125595.0	0.01
126173.0	0.01
126937.0	0.01
128059.0	0.01
132851.0	0.01
136149.0	0.01
139330.0	0.01
139984.0	0.01
142941.0	0.01
145867.0	0.01
146815.0	0.01
148052.0	0.01
151379.0	0.01
152206.0	0.01
153161.0	0.01
158568.0	0.01
159074.0	0.01
161084.0	0.01
165044.0	0.01
166986.0	0.01
170306.0	0.01
173312.0	0.01
173763.0	0.01
174729.0	0.01
175673.0	0.01
181044.0	0.01
182610.0	0.01
183569.0	0.01
188411.0	0.01
190230.0	0.01
192987.0	0.01
197669.0	0.01
200021.0	0.01
203404.0	0.01
204436.0	0.01
205599.0	0.01
209039.0	0.01
209679.0	0.01
210346.0	0.01
211262.0	0.01
212332.0	0.01
213612.0	0.01
217390.0	0.01
218236.0	0.01
219534.0	0.01
220498.0	0.01
221465.0	0.01
222454.0	0.01
227319.0	0.01
229411.0	0.01
231522.0	0.01
235665.0	0.01
237731.0	0.01
239025.0	0.01
240029.0	0.01
243544.0	0.01
244415.0	0.01
245017.0	0.01
248233.0	0.01
248781.0	0.01
249530.0	0.01
250372.0	0.01
251405.0	0.01
252206.0	0.01
256414.0	0.01
257093.0	0.01
257959.0	0.01
258602.0	0.01
259484.0	0.01
260349.0	0.01
264311.0	0.01
265059.0	0.01
266296.0	0.01
266940.0	0.01
269832.0	0.01
270275.0	0.01
270708.0	0.01
271521.0	0.01
272277.0	0.01
275168.0	0.01
289599.0	0.01
290229.0	0.01
291288.0	0.01
294372.0	0.01
294729.0	0.01
296059.0	0.01
296817.0	0.01
299881.0	0.01
300453.0	0.01
301057.0	0.01
302505.0	0.01
305811.0	0.01
307578.0	0.01
310986.0	0.01
313999.0	0.01
317124.0	0.01
317955.0	0.01
318517.0	0.01
319016.0	0.01
320026.0	0.01
321099.0	0.01
324629.0	0.01
327450.0	0.01
330293.0	0.01
334663.0	0.01
335259.0	0.01
335799.0	0.01
336306.0	0.01
336842.0	0.01
337659.0	0.01
338658.0	0.01
343459.0	0.01
347636.0	0.01
348419.0	0.01
348835.0	0.01
349248.0	0.01
349994.0	0.01
350641.0	0.01
352816.0	0.01
356504.0	0.01
360576.0	0.01
361315.0	0.01
364305.0	0.01
367278.0	0.01
370824.0	0.01
374153.0	0.01
377544.0	0.01
378317.0	0.01
381940.0	0.01
382695.0	0.01
383124.0	0.01
386344.0	0.01
388804.0	0.01
391987.0	0.01
394867.0	0.01
397703.0	0.01
401229.0	0.01
402082.0	0.01
402799.0	0.01
403468.0	0.01
408414.0	0.01
411722.0	0.01
412539.0	0.01
415416.0	0.01
416128.0	0.01
416814.0	0.01
417717.0	0.01
418436.0	0.01
422157.0	0.01
426452.0	0.01
429506.0	0.01
432609.0	0.01
433648.0	0.01
434479.0	0.01
440407.0	0.01
441716.0	0.01
445212.0	0.01
447930.0	0.01
448483.0	0.01
448950.0	0.01
449408.0	0.01
449941.0	0.01
450600.0	0.01
453731.0	0.01
454430.0	0.01
457662.0	0.01
459049.0	0.01
459929.0	0.01
463329.0	0.01
464213.0	0.01
465093.0	0.01
469005.0	0.01
469909.0	0.01
470792.0	0.01
471794.0	0.01
472844.0	0.01
474429.0	0.01
477018.0	0.01
478337.0	0.01
482842.0	0.01
487748.0	0.01
488534.0	0.01
492217.0	0.01
493064.0	0.01
493845.0	0.01
497347.0	0.01
498004.0	0.01
498967.0	0.01
