onset	duration	response_time	correct	experiment_exp_id	stim_color	stim_word	timing_post_trial	trial_num	worker_id
3.512	1.5	0.796	1.0	stroop	red	green	0.0	0.0	s499
5.516	1.5	0.659	0.0	stroop	green	green	0.0	1.0	s499
7.519	1.5	0.734	1.0	stroop	red	blue	0.0	2.0	s499
9.794	1.5	0.768	1.0	stroop	blue	red	0.0	3.0	s499
11.797	1.5	0.61	1.0	stroop	red	red	0.0	4.0	s499
13.936	1.5	0.632	1.0	stroop	blue	blue	0.0	5.0	s499
15.94	1.5	0.854	1.0	stroop	red	red	0.0	6.0	s499
18.08	1.5	0.723	1.0	stroop	green	green	0.0	7.0	s499
20.085	1.5	0.555	1.0	stroop	blue	blue	0.0	8.0	s499
22.088	1.5	0.637	1.0	stroop	blue	red	0.0	9.0	s499
24.09	1.5	0.777	1.0	stroop	red	blue	0.0	10.0	s499
26.365	1.5	0.916	1.0	stroop	green	blue	0.0	11.0	s499
28.368	1.5	1.133	1.0	stroop	blue	green	0.0	12.0	s499
30.509	1.5	0.679	1.0	stroop	red	red	0.0	13.0	s499
32.921	1.5	1.398	1.0	stroop	blue	green	0.0	14.0	s499
35.197	1.5	1.244	0.0	stroop	green	green	0.0	15.0	s499
37.879	1.5	1.877	1.0	stroop	red	red	0.0	16.0	s499
39.884	1.5	0.859	1.0	stroop	green	green	0.0	17.0	s499
42.295	1.5	0.752	1.0	stroop	red	red	0.0	18.0	s499
44.435	1.5	1.199	1.0	stroop	red	green	0.0	19.0	s499
47.118	1.5	0.628	1.0	stroop	blue	green	0.0	20.0	s499
49.121	1.5	1.148	1.0	stroop	red	green	0.0	21.0	s499
51.262	1.5	-0.001	0.0	stroop	red	red	0.0	22.0	s499
54.217	1.5	0.91	1.0	stroop	blue	red	0.0	23.0	s499
56.22	1.5	-0.001	0.0	stroop	blue	red	0.0	24.0	s499
58.494	1.5	1.502	1.0	stroop	blue	green	0.0	25.0	s499
60.498	1.5	1.243	1.0	stroop	red	red	0.0	26.0	s499
62.501	1.5	1.071	1.0	stroop	green	green	0.0	27.0	s499
64.504	1.5	-0.001	0.0	stroop	green	red	0.0	28.0	s499
66.507	1.5	-0.001	0.0	stroop	green	green	0.0	29.0	s499
68.647	1.5	0.76	1.0	stroop	blue	blue	0.0	30.0	s499
70.651	1.5	0.972	1.0	stroop	green	blue	0.0	31.0	s499
72.655	1.5	-0.001	0.0	stroop	green	green	0.0	32.0	s499
74.795	1.5	1.975	1.0	stroop	blue	red	0.0	33.0	s499
76.799	1.5	0.849	0.0	stroop	blue	green	0.0	34.0	s499
78.804	1.5	0.737	1.0	stroop	blue	green	0.0	35.0	s499
80.943	1.5	0.562	1.0	stroop	blue	blue	0.0	36.0	s499
83.082	1.5	0.78	1.0	stroop	green	green	0.0	37.0	s499
85.357	1.5	0.891	1.0	stroop	green	blue	0.0	38.0	s499
88.042	1.5	-0.001	0.0	stroop	red	red	0.0	39.0	s499
90.045	1.5	0.739	1.0	stroop	blue	blue	0.0	40.0	s499
92.05	1.5	1.109	1.0	stroop	green	blue	0.0	41.0	s499
94.326	1.5	-0.001	0.0	stroop	red	green	0.0	42.0	s499
96.329	1.5	-0.001	0.0	stroop	blue	blue	0.0	43.0	s499
98.333	1.5	1.545	1.0	stroop	red	blue	0.0	44.0	s499
100.336	1.5	0.919	1.0	stroop	blue	red	0.0	45.0	s499
102.339	1.5	0.872	1.0	stroop	green	red	0.0	46.0	s499
104.343	1.5	0.802	1.0	stroop	blue	red	0.0	47.0	s499
106.346	1.5	1.419	1.0	stroop	red	red	0.0	48.0	s499
108.621	1.5	1.076	1.0	stroop	red	green	0.0	49.0	s499
110.626	1.5	1.312	1.0	stroop	red	red	0.0	50.0	s499
113.037	1.5	0.745	1.0	stroop	blue	blue	0.0	51.0	s499
115.041	1.5	0.795	1.0	stroop	blue	blue	0.0	52.0	s499
117.179	1.5	1.927	1.0	stroop	red	red	0.0	53.0	s499
119.184	1.5	0.672	1.0	stroop	red	red	0.0	54.0	s499
121.189	1.5	1.05	1.0	stroop	red	blue	0.0	55.0	s499
123.193	1.5	0.676	1.0	stroop	blue	blue	0.0	56.0	s499
125.468	1.5	0.647	0.0	stroop	green	blue	0.0	57.0	s499
127.473	1.5	0.904	1.0	stroop	green	red	0.0	58.0	s499
129.748	1.5	0.802	1.0	stroop	green	red	0.0	59.0	s499
132.025	1.5	-0.001	0.0	stroop	green	red	0.0	60.0	s499
134.028	1.5	0.824	1.0	stroop	blue	blue	0.0	61.0	s499
136.713	1.5	-0.001	0.0	stroop	red	blue	0.0	62.0	s499
138.716	1.5	0.09	0.0	stroop	green	green	0.0	63.0	s499
140.991	1.5	0.916	1.0	stroop	blue	blue	0.0	64.0	s499
142.994	1.5	1.184	1.0	stroop	green	green	0.0	65.0	s499
144.997	1.5	-0.001	0.0	stroop	green	red	0.0	66.0	s499
147.272	1.5	-0.001	0.0	stroop	green	green	0.0	67.0	s499
149.412	1.5	-0.001	0.0	stroop	green	green	0.0	68.0	s499
151.96	1.5	-0.001	0.0	stroop	red	blue	0.0	69.0	s499
154.371	1.5	0.874	1.0	stroop	green	red	0.0	70.0	s499
156.374	1.5	0.637	1.0	stroop	green	red	0.0	71.0	s499
158.377	1.5	0.94	1.0	stroop	red	green	0.0	72.0	s499
160.381	1.5	0.725	1.0	stroop	red	red	0.0	73.0	s499
162.927	1.5	0.874	1.0	stroop	red	red	0.0	74.0	s499
165.067	1.5	1.102	1.0	stroop	red	red	0.0	75.0	s499
167.071	1.5	1.622	1.0	stroop	blue	blue	0.0	76.0	s499
169.075	1.5	0.959	1.0	stroop	green	green	0.0	77.0	s499
171.35	1.5	-0.001	0.0	stroop	blue	green	0.0	78.0	s499
173.353	1.5	0.145	0.0	stroop	green	green	0.0	79.0	s499
175.356	1.5	1.581	1.0	stroop	green	blue	0.0	80.0	s499
177.497	1.5	-0.001	0.0	stroop	red	green	0.0	81.0	s499
179.5	1.5	0.759	1.0	stroop	red	blue	0.0	82.0	s499
181.776	1.5	1.202	1.0	stroop	blue	blue	0.0	83.0	s499
183.916	1.5	-0.001	0.0	stroop	red	green	0.0	84.0	s499
186.327	1.5	-0.001	0.0	stroop	red	red	0.0	85.0	s499
