onset	duration
-191432.0	0.01
-187803.0	0.01
-183570.0	0.01
-179906.0	0.01
-176327.0	0.01
-171704.0	0.01
-168789.0	0.01
-165175.0	0.01
-161558.0	0.01
-157143.0	0.01
-152023.0	0.01
-148543.0	0.01
-144257.0	0.01
-140570.0	0.01
-136368.0	0.01
-131840.0	0.01
-127263.0	0.01
-123604.0	0.01
-120010.0	0.01
-115876.0	0.01
-111196.0	0.01
-107680.0	0.01
-103339.0	0.01
-99584.0	0.01
-96065.0	0.01
-92388.0	0.01
-88172.0	0.01
-83602.0	0.01
-79261.0	0.01
-74872.0	0.01
-71016.0	0.01
-67386.0	0.01
4857.0	0.01
8397.0	0.01
10700.0	0.01
13521.0	0.01
16001.0	0.01
18390.0	0.01
20728.0	0.01
23505.0	0.01
26359.0	0.01
29565.0	0.01
32881.0	0.01
35682.0	0.01
38877.0	0.01
41013.0	0.01
44303.0	0.01
47520.0	0.01
50449.0	0.01
52835.0	0.01
54995.0	0.01
57734.0	0.01
60298.0	0.01
62453.0	0.01
65346.0	0.01
67383.0	0.01
70227.0	0.01
73173.0	0.01
75391.0	0.01
77629.0	0.01
80409.0	0.01
83320.0	0.01
86449.0	0.01
88575.0	0.01
91483.0	0.01
94511.0	0.01
96782.0	0.01
99899.0	0.01
102617.0	0.01
105784.0	0.01
108698.0	0.01
111748.0	0.01
113967.0	0.01
116782.0	0.01
119685.0	0.01
122652.0	0.01
125595.0	0.01
128535.0	0.01
130908.0	0.01
134202.0	0.01
136324.0	0.01
139187.0	0.01
142090.0	0.01
144532.0	0.01
147122.0	0.01
149497.0	0.01
153124.0	0.01
155442.0	0.01
157920.0	0.01
160676.0	0.01
163103.0	0.01
165788.0	0.01
168930.0	0.01
171073.0	0.01
173619.0	0.01
175787.0	0.01
178831.0	0.01
181715.0	0.01
185457.0	0.01
188137.0	0.01
190796.0	0.01
193518.0	0.01
195723.0	0.01
197859.0	0.01
200314.0	0.01
203036.0	0.01
206014.0	0.01
208600.0	0.01
212539.0	0.01
215474.0	0.01
218393.0	0.01
221627.0	0.01
238052.0	0.01
240415.0	0.01
242748.0	0.01
244456.0	0.01
247316.0	0.01
249285.0	0.01
251625.0	0.01
254681.0	0.01
257963.0	0.01
261634.0	0.01
264623.0	0.01
267444.0	0.01
270340.0	0.01
272671.0	0.01
275566.0	0.01
278553.0	0.01
281405.0	0.01
283599.0	0.01
285899.0	0.01
289004.0	0.01
291137.0	0.01
293424.0	0.01
296962.0	0.01
299709.0	0.01
302403.0	0.01
305688.0	0.01
307957.0	0.01
310028.0	0.01
313485.0	0.01
316435.0	0.01
319399.0	0.01
321498.0	0.01
324438.0	0.01
326502.0	0.01
328751.0	0.01
331545.0	0.01
334462.0	0.01
337450.0	0.01
339878.0	0.01
342774.0	0.01
345151.0	0.01
347922.0	0.01
351651.0	0.01
355272.0	0.01
358343.0	0.01
361376.0	0.01
364044.0	0.01
366917.0	0.01
369359.0	0.01
372297.0	0.01
375177.0	0.01
377728.0	0.01
379780.0	0.01
383326.0	0.01
386132.0	0.01
388385.0	0.01
390647.0	0.01
393614.0	0.01
395745.0	0.01
398768.0	0.01
401648.0	0.01
404452.0	0.01
406535.0	0.01
408630.0	0.01
412157.0	0.01
415173.0	0.01
418066.0	0.01
420123.0	0.01
423431.0	0.01
425817.0	0.01
428590.0	0.01
431525.0	0.01
433543.0	0.01
436443.0	0.01
440401.0	0.01
442592.0	0.01
445622.0	0.01
448678.0	0.01
451569.0	0.01
454736.0	0.01
471092.0	0.01
473586.0	0.01
475675.0	0.01
478322.0	0.01
480401.0	0.01
482587.0	0.01
484916.0	0.01
487975.0	0.01
490792.0	0.01
493871.0	0.01
496818.0	0.01
499821.0	0.01
503610.0	0.01
506074.0	0.01
508737.0	0.01
511745.0	0.01
514807.0	0.01
517153.0	0.01
519254.0	0.01
521834.0	0.01
524539.0	0.01
526935.0	0.01
529804.0	0.01
532099.0	0.01
534875.0	0.01
537965.0	0.01
540079.0	0.01
542346.0	0.01
545634.0	0.01
548579.0	0.01
551525.0	0.01
554094.0	0.01
557007.0	0.01
559300.0	0.01
561599.0	0.01
564451.0	0.01
567572.0	0.01
570845.0	0.01
573302.0	0.01
576568.0	0.01
578687.0	0.01
581448.0	0.01
584756.0	0.01
587585.0	0.01
590769.0	0.01
594179.0	0.01
597209.0	0.01
600629.0	0.01
602974.0	0.01
606022.0	0.01
609438.0	0.01
611395.0	0.01
614075.0	0.01
616987.0	0.01
620515.0	0.01
622071.0	0.01
624354.0	0.01
627140.0	0.01
629533.0	0.01
632745.0	0.01
635232.0	0.01
637980.0	0.01
639998.0	0.01
642238.0	0.01
645134.0	0.01
648282.0	0.01
651623.0	0.01
654435.0	0.01
658436.0	0.01
660754.0	0.01
663379.0	0.01
665515.0	0.01
667826.0	0.01
670673.0	0.01
673864.0	0.01
676059.0	0.01
678855.0	0.01
682181.0	0.01
685454.0	0.01
688642.0	0.01
