onset	duration
-46077.0	0.01
4893.0	0.01
8983.0	0.01
14027.0	0.01
18757.0	0.01
23251.0	0.01
29149.0	0.01
35195.0	0.01
40716.0	0.01
44698.0	0.01
49854.0	0.01
54526.0	0.01
59483.0	0.01
63957.0	0.01
69604.0	0.01
74738.0	0.01
79759.0	0.01
83960.0	0.01
88978.0	0.01
93475.0	0.01
98888.0	0.01
103601.0	0.01
108145.0	0.01
113065.0	0.01
117903.0	0.01
125239.0	0.01
129422.0	0.01
134205.0	0.01
141418.0	0.01
146164.0	0.01
151080.0	0.01
156108.0	0.01
161625.0	0.01
165918.0	0.01
170144.0	0.01
175486.0	0.01
179804.0	0.01
185079.0	0.01
189907.0	0.01
194183.0	0.01
198713.0	0.01
205379.0	0.01
210055.0	0.01
214930.0	0.01
219974.0	0.01
225135.0	0.01
230740.0	0.01
235798.0	0.01
240020.0	0.01
245249.0	0.01
250219.0	0.01
255449.0	0.01
259642.0	0.01
264177.0	0.01
269167.0	0.01
273764.0	0.01
280613.0	0.01
284936.0	0.01
290247.0	0.01
295164.0	0.01
299763.0	0.01
304461.0	0.01
307735.0	0.01
319388.0	0.01
323170.0	0.01
327219.0	0.01
332327.0	0.01
336942.0	0.01
342011.0	0.01
347007.0	0.01
352940.0	0.01
358527.0	0.01
363380.0	0.01
369366.0	0.01
373599.0	0.01
378070.0	0.01
382909.0	0.01
388078.0	0.01
393448.0	0.01
398069.0	0.01
403249.0	0.01
408111.0	0.01
417067.0	0.01
418569.0	0.01
422916.0	0.01
427807.0	0.01
432473.0	0.01
437381.0	0.01
444132.0	0.01
448601.0	0.01
453053.0	0.01
457756.0	0.01
462708.0	0.01
467386.0	0.01
471870.0	0.01
476699.0	0.01
481272.0	0.01
487322.0	0.01
492404.0	0.01
497433.0	0.01
503410.0	0.01
509099.0	0.01
513112.0	0.01
517864.0	0.01
522371.0	0.01
527555.0	0.01
532855.0	0.01
537655.0	0.01
541500.0	0.01
546479.0	0.01
551326.0	0.01
555851.0	0.01
561751.0	0.01
566560.0	0.01
570700.0	0.01
575618.0	0.01
579610.0	0.01
584724.0	0.01
590857.0	0.01
595698.0	0.01
600267.0	0.01
604973.0	0.01
