onset	duration
-73290.0	0.01
-71000.0	0.01
-68491.0	0.01
-66102.0	0.01
-63445.0	0.01
-60727.0	0.01
-58266.0	0.01
-55505.0	0.01
-52960.0	0.01
-50263.0	0.01
-47801.0	0.01
-45146.0	0.01
3480.0	0.01
5802.0	0.01
7514.0	0.01
11017.0	0.01
13299.0	0.01
14973.0	0.01
17607.0	0.01
19951.0	0.01
22440.0	0.01
25141.0	0.01
28012.0	0.01
29488.0	0.01
32767.0	0.01
35254.0	0.01
37470.0	0.01
39953.0	0.01
42262.0	0.01
44551.0	0.01
46856.0	0.01
49092.0	0.01
51606.0	0.01
54016.0	0.01
56280.0	0.01
58639.0	0.01
61276.0	0.01
63325.0	0.01
66395.0	0.01
68690.0	0.01
72302.0	0.01
73744.0	0.01
76035.0	0.01
78109.0	0.01
80415.0	0.01
82741.0	0.01
85377.0	0.01
86951.0	0.01
89806.0	0.01
92206.0	0.01
94784.0	0.01
97049.0	0.01
99212.0	0.01
100968.0	0.01
104025.0	0.01
106146.0	0.01
109295.0	0.01
111358.0	0.01
113733.0	0.01
115928.0	0.01
118423.0	0.01
120699.0	0.01
121839.0	0.01
134022.0	0.01
136607.0	0.01
138565.0	0.01
141215.0	0.01
143156.0	0.01
145508.0	0.01
148292.0	0.01
151022.0	0.01
152857.0	0.01
155371.0	0.01
157071.0	0.01
159325.0	0.01
162112.0	0.01
164678.0	0.01
166596.0	0.01
169108.0	0.01
171478.0	0.01
173941.0	0.01
177028.0	0.01
179186.0	0.01
181785.0	0.01
183997.0	0.01
186195.0	0.01
188658.0	0.01
191532.0	0.01
193638.0	0.01
196334.0	0.01
198771.0	0.01
201023.0	0.01
204176.0	0.01
206683.0	0.01
209613.0	0.01
211333.0	0.01
214595.0	0.01
216552.0	0.01
219305.0	0.01
221326.0	0.01
224001.0	0.01
226051.0	0.01
228405.0	0.01
230560.0	0.01
232896.0	0.01
235668.0	0.01
237995.0	0.01
240472.0	0.01
242972.0	0.01
245308.0	0.01
247503.0	0.01
249854.0	0.01
252286.0	0.01
253280.0	0.01
265489.0	0.01
268147.0	0.01
270649.0	0.01
272824.0	0.01
275433.0	0.01
277250.0	0.01
280370.0	0.01
282500.0	0.01
284908.0	0.01
287590.0	0.01
289923.0	0.01
292874.0	0.01
294919.0	0.01
297610.0	0.01
300218.0	0.01
302897.0	0.01
304839.0	0.01
307505.0	0.01
309938.0	0.01
312231.0	0.01
315179.0	0.01
317058.0	0.01
319293.0	0.01
321667.0	0.01
324052.0	0.01
326855.0	0.01
328755.0	0.01
331608.0	0.01
334611.0	0.01
336735.0	0.01
339451.0	0.01
341240.0	0.01
343395.0	0.01
345454.0	0.01
348186.0	0.01
350031.0	0.01
353052.0	0.01
355632.0	0.01
358117.0	0.01
360093.0	0.01
362554.0	0.01
365084.0	0.01
367410.0	0.01
369153.0	0.01
373399.0	0.01
374797.0	0.01
376731.0	0.01
380027.0	0.01
382616.0	0.01
384269.0	0.01
385722.0	0.01
397886.0	0.01
400831.0	0.01
403134.0	0.01
405276.0	0.01
407433.0	0.01
410239.0	0.01
412437.0	0.01
414881.0	0.01
417254.0	0.01
419221.0	0.01
421539.0	0.01
423869.0	0.01
426487.0	0.01
428525.0	0.01
430969.0	0.01
433615.0	0.01
436560.0	0.01
438058.0	0.01
440835.0	0.01
442959.0	0.01
446536.0	0.01
448847.0	0.01
451084.0	0.01
453038.0	0.01
455909.0	0.01
458459.0	0.01
461013.0	0.01
463167.0	0.01
465336.0	0.01
468448.0	0.01
471296.0	0.01
472760.0	0.01
475013.0	0.01
478959.0	0.01
481889.0	0.01
484676.0	0.01
486123.0	0.01
489195.0	0.01
491466.0	0.01
493913.0	0.01
496453.0	0.01
498998.0	0.01
501352.0	0.01
502990.0	0.01
505724.0	0.01
508197.0	0.01
509949.0	0.01
513003.0	0.01
515238.0	0.01
518060.0	0.01
518361.0	0.01
529867.0	0.01
533168.0	0.01
535521.0	0.01
538004.0	0.01
540608.0	0.01
542391.0	0.01
545132.0	0.01
547155.0	0.01
549801.0	0.01
552194.0	0.01
554608.0	0.01
557107.0	0.01
559432.0	0.01
561840.0	0.01
564131.0	0.01
567465.0	0.01
568882.0	0.01
570986.0	0.01
573763.0	0.01
576178.0	0.01
578427.0	0.01
580874.0	0.01
583340.0	0.01
584774.0	0.01
587492.0	0.01
589280.0	0.01
592455.0	0.01
595586.0	0.01
598320.0	0.01
601036.0	0.01
604100.0	0.01
605695.0	0.01
608627.0	0.01
610926.0	0.01
613079.0	0.01
615751.0	0.01
618998.0	0.01
621107.0	0.01
623609.0	0.01
626093.0	0.01
628401.0	0.01
630487.0	0.01
633253.0	0.01
635632.0	0.01
637523.0	0.01
640023.0	0.01
642231.0	0.01
644465.0	0.01
647446.0	0.01
650181.0	0.01
