onset	duration
-95894.0	0.01
-92501.0	0.01
-90039.0	0.01
-87602.0	0.01
-84863.0	0.01
-82268.0	0.01
-79734.0	0.01
-77170.0	0.01
-74330.0	0.01
-71764.0	0.01
-69072.0	0.01
-66377.0	0.01
3455.0	0.01
6014.0	0.01
7922.0	0.01
11482.0	0.01
14016.0	0.01
16607.0	0.01
18156.0	0.01
21344.0	0.01
23582.0	0.01
25975.0	0.01
28361.0	0.01
30537.0	0.01
33130.0	0.01
34880.0	0.01
37723.0	0.01
40308.0	0.01
42182.0	0.01
45073.0	0.01
48315.0	0.01
50729.0	0.01
53034.0	0.01
55800.0	0.01
57195.0	0.01
59448.0	0.01
62472.0	0.01
65430.0	0.01
67770.0	0.01
70477.0	0.01
71935.0	0.01
74460.0	0.01
77424.0	0.01
79731.0	0.01
82078.0	0.01
84699.0	0.01
87695.0	0.01
89707.0	0.01
91902.0	0.01
93571.0	0.01
97100.0	0.01
99514.0	0.01
101013.0	0.01
102266.0	0.01
113774.0	0.01
116965.0	0.01
119465.0	0.01
121957.0	0.01
124349.0	0.01
126816.0	0.01
129146.0	0.01
131596.0	0.01
134105.0	0.01
135952.0	0.01
138341.0	0.01
141593.0	0.01
144029.0	0.01
146442.0	0.01
148688.0	0.01
151200.0	0.01
154056.0	0.01
156559.0	0.01
159174.0	0.01
160521.0	0.01
162774.0	0.01
165027.0	0.01
168062.0	0.01
170580.0	0.01
172778.0	0.01
175233.0	0.01
177171.0	0.01
179508.0	0.01
181966.0	0.01
184038.0	0.01
186543.0	0.01
187962.0	0.01
190215.0	0.01
193776.0	0.01
195873.0	0.01
198452.0	0.01
200723.0	0.01
203037.0	0.01
205472.0	0.01
207728.0	0.01
210216.0	0.01
211712.0	0.01
213101.0	0.01
225221.0	0.01
227858.0	0.01
230502.0	0.01
232677.0	0.01
235787.0	0.01
237917.0	0.01
240375.0	0.01
242772.0	0.01
244917.0	0.01
247166.0	0.01
249516.0	0.01
251290.0	0.01
254903.0	0.01
257392.0	0.01
258999.0	0.01
262050.0	0.01
264635.0	0.01
267159.0	0.01
269326.0	0.01
272186.0	0.01
273877.0	0.01
276728.0	0.01
278654.0	0.01
281769.0	0.01
283433.0	0.01
286418.0	0.01
288872.0	0.01
290328.0	0.01
293379.0	0.01
295681.0	0.01
297998.0	0.01
299475.0	0.01
302490.0	0.01
304116.0	0.01
307383.0	0.01
308758.0	0.01
312255.0	0.01
314422.0	0.01
316897.0	0.01
318952.0	0.01
321337.0	0.01
323676.0	0.01
