onset	duration
-46642.0	0.01
4582.0	0.01
9059.0	0.01
14185.0	0.01
18231.0	0.01
23991.0	0.01
28577.0	0.01
34747.0	0.01
38621.0	0.01
45193.0	0.01
51584.0	0.01
54723.0	0.01
59319.0	0.01
64589.0	0.01
69303.0	0.01
74075.0	0.01
78663.0	0.01
83280.0	0.01
87574.0	0.01
93796.0	0.01
99396.0	0.01
102613.0	0.01
109363.0	0.01
113610.0	0.01
118870.0	0.01
121817.0	0.01
128280.0	0.01
132678.0	0.01
138970.0	0.01
143351.0	0.01
148223.0	0.01
154667.0	0.01
157990.0	0.01
164864.0	0.01
167447.0	0.01
172174.0	0.01
178174.0	0.01
184112.0	0.01
189718.0	0.01
194449.0	0.01
199587.0	0.01
204962.0	0.01
208042.0	0.01
212556.0	0.01
218514.0	0.01
223339.0	0.01
229029.0	0.01
234020.0	0.01
237429.0	0.01
242202.0	0.01
249925.0	0.01
252915.0	0.01
258743.0	0.01
262761.0	0.01
267581.0	0.01
273958.0	0.01
278585.0	0.01
283829.0	0.01
290636.0	0.01
296929.0	0.01
299969.0	0.01
305106.0	0.01
308457.0	0.01
320071.0	0.01
323549.0	0.01
328067.0	0.01
333627.0	0.01
339486.0	0.01
344348.0	0.01
348400.0	0.01
353173.0	0.01
356736.0	0.01
364382.0	0.01
370260.0	0.01
372897.0	0.01
379588.0	0.01
384057.0	0.01
387760.0	0.01
392678.0	0.01
400352.0	0.01
402393.0	0.01
407851.0	0.01
413248.0	0.01
417772.0	0.01
421994.0	0.01
427117.0	0.01
432263.0	0.01
439402.0	0.01
442445.0	0.01
447958.0	0.01
452545.0	0.01
458749.0	0.01
462711.0	0.01
467601.0	0.01
472266.0	0.01
475802.0	0.01
481167.0	0.01
485609.0	0.01
491028.0	0.01
496142.0	0.01
502869.0	0.01
507286.0	0.01
511839.0	0.01
518865.0	0.01
523334.0	0.01
527721.0	0.01
535512.0	0.01
537217.0	0.01
541651.0	0.01
547152.0	0.01
552999.0	0.01
557035.0	0.01
562340.0	0.01
567887.0	0.01
570882.0	0.01
577083.0	0.01
581391.0	0.01
586296.0	0.01
593347.0	0.01
597923.0	0.01
602916.0	0.01
608651.0	0.01
