onset	duration
-72055.0	0.01
-70286.0	0.01
-67604.0	0.01
-65079.0	0.01
-62353.0	0.01
-59825.0	0.01
-56771.0	0.01
-54623.0	0.01
-52064.0	0.01
-49698.0	0.01
-46804.0	0.01
-44231.0	0.01
3749.0	0.01
5959.0	0.01
8143.0	0.01
10547.0	0.01
12817.0	0.01
15650.0	0.01
17738.0	0.01
20018.0	0.01
22574.0	0.01
24968.0	0.01
27357.0	0.01
29554.0	0.01
31436.0	0.01
34207.0	0.01
36850.0	0.01
39425.0	0.01
42031.0	0.01
44010.0	0.01
46120.0	0.01
48693.0	0.01
50875.0	0.01
53167.0	0.01
56057.0	0.01
58648.0	0.01
61118.0	0.01
63267.0	0.01
65769.0	0.01
67978.0	0.01
70177.0	0.01
72623.0	0.01
74861.0	0.01
77516.0	0.01
79855.0	0.01
82517.0	0.01
84460.0	0.01
86909.0	0.01
88592.0	0.01
91378.0	0.01
93702.0	0.01
96143.0	0.01
99314.0	0.01
101353.0	0.01
104937.0	0.01
107464.0	0.01
109510.0	0.01
112536.0	0.01
114854.0	0.01
117327.0	0.01
119686.0	0.01
122907.0	0.01
123422.0	0.01
135426.0	0.01
137686.0	0.01
140117.0	0.01
142379.0	0.01
144748.0	0.01
147081.0	0.01
149712.0	0.01
151189.0	0.01
154215.0	0.01
156741.0	0.01
159158.0	0.01
161645.0	0.01
164316.0	0.01
167500.0	0.01
169566.0	0.01
171009.0	0.01
174551.0	0.01
177058.0	0.01
178466.0	0.01
181607.0	0.01
183591.0	0.01
185811.0	0.01
188528.0	0.01
191174.0	0.01
192981.0	0.01
196299.0	0.01
198518.0	0.01
200932.0	0.01
203337.0	0.01
205861.0	0.01
208072.0	0.01
210167.0	0.01
212547.0	0.01
215115.0	0.01
217430.0	0.01
219883.0	0.01
222384.0	0.01
223960.0	0.01
226982.0	0.01
230006.0	0.01
232385.0	0.01
234533.0	0.01
237500.0	0.01
239804.0	0.01
241853.0	0.01
244694.0	0.01
246478.0	0.01
248814.0	0.01
250983.0	0.01
253316.0	0.01
254235.0	0.01
266325.0	0.01
268550.0	0.01
270755.0	0.01
273125.0	0.01
274950.0	0.01
277830.0	0.01
280628.0	0.01
283107.0	0.01
285352.0	0.01
287622.0	0.01
290138.0	0.01
292336.0	0.01
294735.0	0.01
297595.0	0.01
300349.0	0.01
302500.0	0.01
303878.0	0.01
306631.0	0.01
309609.0	0.01
311990.0	0.01
314297.0	0.01
316316.0	0.01
318812.0	0.01
321396.0	0.01
322795.0	0.01
326190.0	0.01
328343.0	0.01
329553.0	0.01
331905.0	0.01
335735.0	0.01
338045.0	0.01
340435.0	0.01
342576.0	0.01
345123.0	0.01
347396.0	0.01
349698.0	0.01
352075.0	0.01
354684.0	0.01
357040.0	0.01
359753.0	0.01
362403.0	0.01
365066.0	0.01
368022.0	0.01
370032.0	0.01
372588.0	0.01
374793.0	0.01
377698.0	0.01
379866.0	0.01
382049.0	0.01
385109.0	0.01
385653.0	0.01
397781.0	0.01
399887.0	0.01
402170.0	0.01
404704.0	0.01
406889.0	0.01
409837.0	0.01
411980.0	0.01
414324.0	0.01
416575.0	0.01
418627.0	0.01
421414.0	0.01
423555.0	0.01
426219.0	0.01
428826.0	0.01
431562.0	0.01
434005.0	0.01
436151.0	0.01
438474.0	0.01
441100.0	0.01
443871.0	0.01
445913.0	0.01
448248.0	0.01
451302.0	0.01
453456.0	0.01
456425.0	0.01
458362.0	0.01
460954.0	0.01
463745.0	0.01
466347.0	0.01
468331.0	0.01
470677.0	0.01
473306.0	0.01
475834.0	0.01
478045.0	0.01
480455.0	0.01
482924.0	0.01
484951.0	0.01
487717.0	0.01
490103.0	0.01
493014.0	0.01
494993.0	0.01
497462.0	0.01
499829.0	0.01
502108.0	0.01
504476.0	0.01
506783.0	0.01
509047.0	0.01
511683.0	0.01
514033.0	0.01
516489.0	0.01
517367.0	0.01
528874.0	0.01
531678.0	0.01
534231.0	0.01
536640.0	0.01
539230.0	0.01
541596.0	0.01
543909.0	0.01
546209.0	0.01
548422.0	0.01
550797.0	0.01
553851.0	0.01
557589.0	0.01
558197.0	0.01
561148.0	0.01
563873.0	0.01
566649.0	0.01
568821.0	0.01
570876.0	0.01
573545.0	0.01
575957.0	0.01
577614.0	0.01
580537.0	0.01
582674.0	0.01
585097.0	0.01
587505.0	0.01
590083.0	0.01
593566.0	0.01
594460.0	0.01
596861.0	0.01
598956.0	0.01
601331.0	0.01
604299.0	0.01
606485.0	0.01
610007.0	0.01
612346.0	0.01
614539.0	0.01
617152.0	0.01
619400.0	0.01
621995.0	0.01
623808.0	0.01
626537.0	0.01
629227.0	0.01
631912.0	0.01
634220.0	0.01
636749.0	0.01
638421.0	0.01
642192.0	0.01
644626.0	0.01
647813.0	0.01
649531.0	0.01
