onset	duration
-113214.0	0.01
-109596.0	0.01
-105830.0	0.01
-101489.0	0.01
-97198.0	0.01
-93578.0	0.01
-88870.0	0.01
-85203.0	0.01
-80738.0	0.01
-76163.0	0.01
-72466.0	0.01
-68857.0	0.01
-64983.0	0.01
-60493.0	0.01
-56323.0	0.01
-52885.0	0.01
4316.0	0.01
7083.0	0.01
10737.0	0.01
13578.0	0.01
16631.0	0.01
19450.0	0.01
22136.0	0.01
24897.0	0.01
27694.0	0.01
30096.0	0.01
32861.0	0.01
36034.0	0.01
39004.0	0.01
42513.0	0.01
45255.0	0.01
47217.0	0.01
49967.0	0.01
52350.0	0.01
54375.0	0.01
57048.0	0.01
59281.0	0.01
62072.0	0.01
65065.0	0.01
67927.0	0.01
70425.0	0.01
73359.0	0.01
75870.0	0.01
78444.0	0.01
81966.0	0.01
84240.0	0.01
87130.0	0.01
89924.0	0.01
92725.0	0.01
95615.0	0.01
98934.0	0.01
101890.0	0.01
104787.0	0.01
106368.0	0.01
109129.0	0.01
112231.0	0.01
114705.0	0.01
116914.0	0.01
119778.0	0.01
122605.0	0.01
124596.0	0.01
126945.0	0.01
129984.0	0.01
132539.0	0.01
134865.0	0.01
136729.0	0.01
139622.0	0.01
142316.0	0.01
145356.0	0.01
147715.0	0.01
149880.0	0.01
151803.0	0.01
154226.0	0.01
156369.0	0.01
158988.0	0.01
161022.0	0.01
163495.0	0.01
166770.0	0.01
169190.0	0.01
172157.0	0.01
175031.0	0.01
178152.0	0.01
180469.0	0.01
182905.0	0.01
185530.0	0.01
187832.0	0.01
190434.0	0.01
193087.0	0.01
196146.0	0.01
198923.0	0.01
201837.0	0.01
204642.0	0.01
206942.0	0.01
209612.0	0.01
212130.0	0.01
215749.0	0.01
231523.0	0.01
234555.0	0.01
237285.0	0.01
239880.0	0.01
242649.0	0.01
245618.0	0.01
249289.0	0.01
252244.0	0.01
254878.0	0.01
257734.0	0.01
260201.0	0.01
263225.0	0.01
266622.0	0.01
269765.0	0.01
272310.0	0.01
274219.0	0.01
276822.0	0.01
279328.0	0.01
281456.0	0.01
284095.0	0.01
286684.0	0.01
289460.0	0.01
291880.0	0.01
294796.0	0.01
297110.0	0.01
300096.0	0.01
303069.0	0.01
306315.0	0.01
310231.0	0.01
313000.0	0.01
315518.0	0.01
317670.0	0.01
320373.0	0.01
323571.0	0.01
325932.0	0.01
328586.0	0.01
331155.0	0.01
333123.0	0.01
336287.0	0.01
339487.0	0.01
343179.0	0.01
345711.0	0.01
348931.0	0.01
352231.0	0.01
354321.0	0.01
356525.0	0.01
359511.0	0.01
361783.0	0.01
364661.0	0.01
366362.0	0.01
369206.0	0.01
372738.0	0.01
374656.0	0.01
376716.0	0.01
379314.0	0.01
381600.0	0.01
383830.0	0.01
386245.0	0.01
389119.0	0.01
390679.0	0.01
393412.0	0.01
396562.0	0.01
399378.0	0.01
401523.0	0.01
404396.0	0.01
407308.0	0.01
409650.0	0.01
411864.0	0.01
414337.0	0.01
416584.0	0.01
419221.0	0.01
421593.0	0.01
424935.0	0.01
428148.0	0.01
430949.0	0.01
433444.0	0.01
436328.0	0.01
438300.0	0.01
442059.0	0.01
445688.0	0.01
460726.0	0.01
463645.0	0.01
466335.0	0.01
468620.0	0.01
471394.0	0.01
473876.0	0.01
476652.0	0.01
480254.0	0.01
481990.0	0.01
484716.0	0.01
486953.0	0.01
490323.0	0.01
493481.0	0.01
496296.0	0.01
499970.0	0.01
502578.0	0.01
504670.0	0.01
507391.0	0.01
509021.0	0.01
511653.0	0.01
514395.0	0.01
516567.0	0.01
519390.0	0.01
522372.0	0.01
524902.0	0.01
527580.0	0.01
530878.0	0.01
534310.0	0.01
536674.0	0.01
539650.0	0.01
542001.0	0.01
544423.0	0.01
546821.0	0.01
549832.0	0.01
552873.0	0.01
555360.0	0.01
558569.0	0.01
560820.0	0.01
563562.0	0.01
566519.0	0.01
569343.0	0.01
571391.0	0.01
573772.0	0.01
576460.0	0.01
579054.0	0.01
581434.0	0.01
584492.0	0.01
587048.0	0.01
588784.0	0.01
591750.0	0.01
594452.0	0.01
597413.0	0.01
600253.0	0.01
601994.0	0.01
604189.0	0.01
606402.0	0.01
608313.0	0.01
610804.0	0.01
613041.0	0.01
614963.0	0.01
617847.0	0.01
620569.0	0.01
623751.0	0.01
627276.0	0.01
630613.0	0.01
632806.0	0.01
635842.0	0.01
637533.0	0.01
640846.0	0.01
643519.0	0.01
645448.0	0.01
648133.0	0.01
651097.0	0.01
653360.0	0.01
656344.0	0.01
658804.0	0.01
661270.0	0.01
663523.0	0.01
666340.0	0.01
669527.0	0.01
