onset	duration
-73748.0	0.01
-71398.0	0.01
-68837.0	0.01
-66256.0	0.01
-63703.0	0.01
-61077.0	0.01
-58623.0	0.01
-55953.0	0.01
-53377.0	0.01
-50782.0	0.01
-48191.0	0.01
-45683.0	0.01
3452.0	0.01
5934.0	0.01
8028.0	0.01
10578.0	0.01
12941.0	0.01
15762.0	0.01
17800.0	0.01
20396.0	0.01
22814.0	0.01
24279.0	0.01
27639.0	0.01
29712.0	0.01
31436.0	0.01
33688.0	0.01
36920.0	0.01
39153.0	0.01
41604.0	0.01
43993.0	0.01
46138.0	0.01
48727.0	0.01
50845.0	0.01
52907.0	0.01
56019.0	0.01
58407.0	0.01
60707.0	0.01
62969.0	0.01
65512.0	0.01
67784.0	0.01
70687.0	0.01
72697.0	0.01
74664.0	0.01
77354.0	0.01
80172.0	0.01
82214.0	0.01
84087.0	0.01
87205.0	0.01
89025.0	0.01
91387.0	0.01
93096.0	0.01
96422.0	0.01
99300.0	0.01
101353.0	0.01
104709.0	0.01
107269.0	0.01
109509.0	0.01
112906.0	0.01
114887.0	0.01
117587.0	0.01
120182.0	0.01
123254.0	0.01
123421.0	0.01
135516.0	0.01
138103.0	0.01
140043.0	0.01
142763.0	0.01
144772.0	0.01
147136.0	0.01
149853.0	0.01
151194.0	0.01
154708.0	0.01
156983.0	0.01
159505.0	0.01
162260.0	0.01
164372.0	0.01
166903.0	0.01
169692.0	0.01
171013.0	0.01
174973.0	0.01
176929.0	0.01
178470.0	0.01
181313.0	0.01
184126.0	0.01
186338.0	0.01
187981.0	0.01
191259.0	0.01
194086.0	0.01
196405.0	0.01
199214.0	0.01
200929.0	0.01
203193.0	0.01
206429.0	0.01
208073.0	0.01
210334.0	0.01
213088.0	0.01
214355.0	0.01
218162.0	0.01
220021.0	0.01
222817.0	0.01
225112.0	0.01
226993.0	0.01
230428.0	0.01
232248.0	0.01
235278.0	0.01
237160.0	0.01
239301.0	0.01
241574.0	0.01
244587.0	0.01
247154.0	0.01
248183.0	0.01
250435.0	0.01
253368.0	0.01
254239.0	0.01
266158.0	0.01
269014.0	0.01
271616.0	0.01
273120.0	0.01
276202.0	0.01
278603.0	0.01
280120.0	0.01
283840.0	0.01
286197.0	0.01
287916.0	0.01
289838.0	0.01
292268.0	0.01
294614.0	0.01
297158.0	0.01
300518.0	0.01
302816.0	0.01
303882.0	0.01
307837.0	0.01
308986.0	0.01
312620.0	0.01
314960.0	0.01
316576.0	0.01
319625.0	0.01
321750.0	0.01
322798.0	0.01
326467.0	0.01
328607.0	0.01
330193.0	0.01
331906.0	0.01
335095.0	0.01
338604.0	0.01
340314.0	0.01
343385.0	0.01
345124.0	0.01
347211.0	0.01
349559.0	0.01
352173.0	0.01
355414.0	0.01
357121.0	0.01
359522.0	0.01
361733.0	0.01
364486.0	0.01
367585.0	0.01
369913.0	0.01
372603.0	0.01
374796.0	0.01
377589.0	0.01
379922.0	0.01
382051.0	0.01
384914.0	0.01
385657.0	0.01
397634.0	0.01
399944.0	0.01
402092.0	0.01
405434.0	0.01
406990.0	0.01
410548.0	0.01
412887.0	0.01
414326.0	0.01
416573.0	0.01
419881.0	0.01
421384.0	0.01
424495.0	0.01
426484.0	0.01
428641.0	0.01
432374.0	0.01
434082.0	0.01
435695.0	0.01
439423.0	0.01
440701.0	0.01
444604.0	0.01
445861.0	0.01
448190.0	0.01
451074.0	0.01
453376.0	0.01
456367.0	0.01
458368.0	0.01
461290.0	0.01
464335.0	0.01
465426.0	0.01
468229.0	0.01
471453.0	0.01
473336.0	0.01
476462.0	0.01
478062.0	0.01
481227.0	0.01
482750.0	0.01
485011.0	0.01
488345.0	0.01
490088.0	0.01
492201.0	0.01
494952.0	0.01
498342.0	0.01
500745.0	0.01
503064.0	0.01
505509.0	0.01
506806.0	0.01
508962.0	0.01
512541.0	0.01
514723.0	0.01
516546.0	0.01
517373.0	0.01
528880.0	0.01
531826.0	0.01
533876.0	0.01
536439.0	0.01
538981.0	0.01
541188.0	0.01
543092.0	0.01
546009.0	0.01
548312.0	0.01
550470.0	0.01
553737.0	0.01
556361.0	0.01
558205.0	0.01
561023.0	0.01
564865.0	0.01
566643.0	0.01
568571.0	0.01
570920.0	0.01
573019.0	0.01
575722.0	0.01
577623.0	0.01
581401.0	0.01
582745.0	0.01
585984.0	0.01
587387.0	0.01
590718.0	0.01
592011.0	0.01
594287.0	0.01
596342.0	0.01
600041.0	0.01
601284.0	0.01
605080.0	0.01
607325.0	0.01
609927.0	0.01
612174.0	0.01
615564.0	0.01
616461.0	0.01
619562.0	0.01
622781.0	0.01
623817.0	0.01
626589.0	0.01
628800.0	0.01
631742.0	0.01
634259.0	0.01
636178.0	0.01
638430.0	0.01
642947.0	0.01
644636.0	0.01
648427.0	0.01
649540.0	0.01
