onset	duration
-73723.0	0.01
-70361.0	0.01
-68321.0	0.01
-65736.0	0.01
-64700.0	0.01
-61863.0	0.01
-59183.0	0.01
-57103.0	0.01
-55186.0	0.01
-52754.0	0.01
-50353.0	0.01
-48389.0	0.01
-46067.0	0.01
-43546.0	0.01
-41610.0	0.01
-38956.0	0.01
-37015.0	0.01
-34803.0	0.01
4408.0	0.01
6506.0	0.01
8258.0	0.01
10650.0	0.01
12744.0	0.01
15399.0	0.01
16870.0	0.01
19150.0	0.01
20946.0	0.01
23060.0	0.01
25171.0	0.01
27651.0	0.01
29901.0	0.01
31538.0	0.01
34934.0	0.01
36377.0	0.01
38691.0	0.01
40837.0	0.01
42745.0	0.01
44986.0	0.01
47733.0	0.01
49945.0	0.01
51924.0	0.01
54079.0	0.01
56055.0	0.01
58039.0	0.01
60596.0	0.01
62849.0	0.01
64737.0	0.01
66755.0	0.01
69184.0	0.01
70988.0	0.01
73054.0	0.01
75324.0	0.01
77555.0	0.01
79429.0	0.01
81684.0	0.01
83806.0	0.01
86016.0	0.01
88221.0	0.01
91007.0	0.01
92803.0	0.01
94890.0	0.01
97229.0	0.01
99855.0	0.01
100958.0	0.01
102900.0	0.01
104816.0	0.01
107048.0	0.01
108847.0	0.01
110788.0	0.01
113231.0	0.01
115231.0	0.01
117851.0	0.01
119393.0	0.01
121379.0	0.01
123498.0	0.01
125706.0	0.01
127645.0	0.01
129794.0	0.01
132585.0	0.01
133902.0	0.01
136311.0	0.01
138630.0	0.01
141445.0	0.01
143449.0	0.01
145655.0	0.01
148519.0	0.01
151310.0	0.01
152711.0	0.01
154801.0	0.01
158080.0	0.01
160063.0	0.01
162091.0	0.01
164034.0	0.01
165900.0	0.01
168573.0	0.01
169805.0	0.01
172145.0	0.01
174067.0	0.01
176381.0	0.01
178220.0	0.01
180375.0	0.01
182554.0	0.01
184413.0	0.01
186450.0	0.01
188884.0	0.01
191455.0	0.01
193405.0	0.01
196065.0	0.01
197770.0	0.01
199748.0	0.01
202130.0	0.01
204333.0	0.01
206520.0	0.01
208075.0	0.01
