onset	duration
-55231.0	0.01
-53375.0	0.01
-51010.0	0.01
-48714.0	0.01
-46917.0	0.01
-44270.0	0.01
-42383.0	0.01
-40174.0	0.01
-37393.0	0.01
4344.0	0.01
7049.0	0.01
8433.0	0.01
10282.0	0.01
12514.0	0.01
14416.0	0.01
16469.0	0.01
18543.0	0.01
20491.0	0.01
22889.0	0.01
24824.0	0.01
26986.0	0.01
28934.0	0.01
30926.0	0.01
33167.0	0.01
35805.0	0.01
38163.0	0.01
39911.0	0.01
42279.0	0.01
44235.0	0.01
46495.0	0.01
48597.0	0.01
50527.0	0.01
52236.0	0.01
54475.0	0.01
56784.0	0.01
58505.0	0.01
60982.0	0.01
63313.0	0.01
65020.0	0.01
67152.0	0.01
69037.0	0.01
71525.0	0.01
73409.0	0.01
75423.0	0.01
77746.0	0.01
80060.0	0.01
81997.0	0.01
84622.0	0.01
86487.0	0.01
88852.0	0.01
90680.0	0.01
92863.0	0.01
95355.0	0.01
97248.0	0.01
100050.0	0.01
102322.0	0.01
104506.0	0.01
106596.0	0.01
108129.0	0.01
110729.0	0.01
112941.0	0.01
114813.0	0.01
116869.0	0.01
119466.0	0.01
121195.0	0.01
123604.0	0.01
125258.0	0.01
127417.0	0.01
129485.0	0.01
131810.0	0.01
134234.0	0.01
136269.0	0.01
138494.0	0.01
140899.0	0.01
143168.0	0.01
145136.0	0.01
147090.0	0.01
149168.0	0.01
151274.0	0.01
153272.0	0.01
155064.0	0.01
157379.0	0.01
159242.0	0.01
161198.0	0.01
163317.0	0.01
165318.0	0.01
167446.0	0.01
169571.0	0.01
171753.0	0.01
173632.0	0.01
175862.0	0.01
178151.0	0.01
180153.0	0.01
182246.0	0.01
184183.0	0.01
186555.0	0.01
189016.0	0.01
191904.0	0.01
193438.0	0.01
196000.0	0.01
198267.0	0.01
200996.0	0.01
203093.0	0.01
204825.0	0.01
207789.0	0.01
