onset	duration	response_time	condition	correct	experiment_exp_id	key_press	stim_color	stim_word	trial_type	worker_id	junk
3.51	0.638	0.11357291666666663	incongruent	1.0	stroop	89	red	green	incongruent	s553	False
5.785	0.638	0.5435729166666666	incongruent	1.0	stroop	82	green	blue	incongruent	s553	False
7.786	0.638	-0.07342708333333337	congruent	1.0	stroop	89	red	red	congruent	s553	False
9.789	0.638	-0.22742708333333336	congruent	1.0	stroop	89	red	red	congruent	s553	False
11.792	0.638	0.0015729166666666287	incongruent	1.0	stroop	71	blue	green	incongruent	s553	False
13.794	0.638	-0.09842708333333337	congruent	1.0	stroop	89	red	red	congruent	s553	False
15.933	0.638	-0.18442708333333338	congruent	1.0	stroop	89	red	red	congruent	s553	False
17.936	0.638	-0.11342708333333337	incongruent	1.0	stroop	71	blue	red	incongruent	s553	False
19.938	0.638	-0.16742708333333337	congruent	1.0	stroop	82	green	green	congruent	s553	False
22.076	0.638	0.09257291666666663	incongruent	1.0	stroop	71	blue	red	incongruent	s553	False
24.079	0.638	0.02457291666666663	incongruent	1.0	stroop	82	green	blue	incongruent	s553	False
26.081	0.638	0.18457291666666664	incongruent	1.0	stroop	89	red	blue	incongruent	s553	False
28.219	0.638	-0.005427083333333371	congruent	1.0	stroop	71	blue	blue	congruent	s553	False
30.357	0.638	-0.15142708333333338	congruent	1.0	stroop	82	green	green	congruent	s553	False
32.632	0.638	-0.18542708333333338	incongruent	1.0	stroop	89	red	green	incongruent	s553	False
35.314	0.638	-0.22942708333333336	congruent	1.0	stroop	71	blue	blue	congruent	s553	False
37.317	0.638	0.12557291666666662	congruent	1.0	stroop	71	blue	blue	congruent	s553	False
39.318	0.638	-0.12742708333333336	incongruent	1.0	stroop	89	red	blue	incongruent	s553	False
41.593	0.638	-0.03442708333333337	incongruent	1.0	stroop	82	green	red	incongruent	s553	False
43.595	0.638	-0.08042708333333337	congruent	1.0	stroop	89	red	red	congruent	s553	False
45.597	0.638	0.17757291666666664	incongruent	1.0	stroop	82	green	red	incongruent	s553	False
47.6	0.638	0.2765729166666666	incongruent	1.0	stroop	89	red	green	incongruent	s553	False
49.602	0.638	0.20457291666666663	incongruent	1.0	stroop	82	green	blue	incongruent	s553	False
51.605	0.638	-0.08942708333333337	incongruent	1.0	stroop	71	blue	green	incongruent	s553	False
53.607	0.638	0.14757291666666664	congruent	1.0	stroop	82	green	green	congruent	s553	False
55.881	0.638	0.18257291666666664	incongruent	1.0	stroop	89	red	blue	incongruent	s553	False
57.883	0.638	-0.09842708333333337	congruent	1.0	stroop	71	blue	blue	congruent	s553	False
60.293	0.638	-0.03142708333333337	congruent	1.0	stroop	82	green	green	congruent	s553	False
62.296	0.638	0.29657291666666663	congruent	1.0	stroop	71	blue	blue	congruent	s553	False
64.434	0.638	-0.13442708333333336	congruent	1.0	stroop	71	blue	blue	congruent	s553	False
66.436	0.638	-0.004427083333333371	congruent	1.0	stroop	82	green	green	congruent	s553	False
68.438	0.638	-0.12142708333333337	incongruent	1.0	stroop	89	red	blue	incongruent	s553	False
70.441	0.638	0.36357291666666663	congruent	1.0	stroop	82	green	green	congruent	s553	False
