onset	duration
-93427.0	0.01
-88676.0	0.01
-83931.0	0.01
-78757.0	0.01
-74214.0	0.01
-69631.0	0.01
-64644.0	0.01
-59671.0	0.01
-55291.0	0.01
-49974.0	0.01
6267.0	0.01
10180.0	0.01
14432.0	0.01
18339.0	0.01
22334.0	0.01
26616.0	0.01
30899.0	0.01
35359.0	0.01
39591.0	0.01
43721.0	0.01
48383.0	0.01
52346.0	0.01
58688.0	0.01
62716.0	0.01
66960.0	0.01
70787.0	0.01
75241.0	0.01
79473.0	0.01
83667.0	0.01
87956.0	0.01
92607.0	0.01
96996.0	0.01
100878.0	0.01
104861.0	0.01
109279.0	0.01
114686.0	0.01
118726.0	0.01
122933.0	0.01
127416.0	0.01
132747.0	0.01
136921.0	0.01
141250.0	0.01
145990.0	0.01
150459.0	0.01
154164.0	0.01
158273.0	0.01
162485.0	0.01
167095.0	0.01
171341.0	0.01
175396.0	0.01
175443.0	0.01
189898.0	0.01
194907.0	0.01
199898.0	0.01
203857.0	0.01
208096.0	0.01
213961.0	0.01
218219.0	0.01
222184.0	0.01
226395.0	0.01
230604.0	0.01
235378.0	0.01
240136.0	0.01
244221.0	0.01
248113.0	0.01
252323.0	0.01
256767.0	0.01
261532.0	0.01
265392.0	0.01
269344.0	0.01
273462.0	0.01
277648.0	0.01
281719.0	0.01
285712.0	0.01
289673.0	0.01
294000.0	0.01
298590.0	0.01
302839.0	0.01
307069.0	0.01
311097.0	0.01
315173.0	0.01
320047.0	0.01
324394.0	0.01
328903.0	0.01
333565.0	0.01
337879.0	0.01
342211.0	0.01
346388.0	0.01
351093.0	0.01
355995.0	0.01
359992.0	0.01
360469.0	0.01
374979.0	0.01
379211.0	0.01
383469.0	0.01
388320.0	0.01
392460.0	0.01
397249.0	0.01
401450.0	0.01
406639.0	0.01
410369.0	0.01
414356.0	0.01
418667.0	0.01
422670.0	0.01
427356.0	0.01
431667.0	0.01
436825.0	0.01
440725.0	0.01
445407.0	0.01
449732.0	0.01
453830.0	0.01
457612.0	0.01
461838.0	0.01
466024.0	0.01
470868.0	0.01
474711.0	0.01
478512.0	0.01
483059.0	0.01
487225.0	0.01
491525.0	0.01
495329.0	0.01
500196.0	0.01
504780.0	0.01
508917.0	0.01
513226.0	0.01
517009.0	0.01
521021.0	0.01
525959.0	0.01
530098.0	0.01
534369.0	0.01
538428.0	0.01
542982.0	0.01
542916.0	0.01
556926.0	0.01
561726.0	0.01
565826.0	0.01
570241.0	0.01
574558.0	0.01
578606.0	0.01
582800.0	0.01
586731.0	0.01
590788.0	0.01
595440.0	0.01
600120.0	0.01
605051.0	0.01
608688.0	0.01
612850.0	0.01
617631.0	0.01
621744.0	0.01
625941.0	0.01
631080.0	0.01
635591.0	0.01
640258.0	0.01
643737.0	0.01
648268.0	0.01
652597.0	0.01
657259.0	0.01
661385.0	0.01
666542.0	0.01
670348.0	0.01
674455.0	0.01
678765.0	0.01
682918.0	0.01
687201.0	0.01
691374.0	0.01
696096.0	0.01
700435.0	0.01
704358.0	0.01
708620.0	0.01
712569.0	0.01
717421.0	0.01
721947.0	0.01
728407.0	0.01
