onset	duration
-65255.0	0.01
-63431.0	0.01
-60818.0	0.01
-57383.0	0.01
-55774.0	0.01
-52702.0	0.01
-50431.0	0.01
-47867.0	0.01
-45333.0	0.01
-42583.0	0.01
-40104.0	0.01
-37377.0	0.01
3872.0	0.01
6111.0	0.01
7784.0	0.01
11077.0	0.01
12886.0	0.01
15227.0	0.01
17537.0	0.01
19868.0	0.01
22216.0	0.01
24416.0	0.01
25938.0	0.01
29233.0	0.01
31493.0	0.01
34013.0	0.01
36424.0	0.01
38572.0	0.01
40979.0	0.01
43306.0	0.01
45895.0	0.01
48042.0	0.01
50462.0	0.01
53557.0	0.01
55507.0	0.01
57259.0	0.01
60892.0	0.01
63182.0	0.01
64968.0	0.01
67961.0	0.01
69473.0	0.01
72713.0	0.01
74482.0	0.01
77136.0	0.01
79569.0	0.01
82519.0	0.01
84209.0	0.01
87321.0	0.01
89835.0	0.01
92452.0	0.01
93899.0	0.01
97342.0	0.01
99685.0	0.01
100336.0	0.01
111841.0	0.01
114365.0	0.01
117465.0	0.01
119141.0	0.01
122436.0	0.01
124702.0	0.01
126575.0	0.01
129006.0	0.01
131205.0	0.01
133636.0	0.01
135774.0	0.01
137431.0	0.01
140456.0	0.01
142951.0	0.01
144460.0	0.01
147650.0	0.01
150139.0	0.01
152304.0	0.01
154578.0	0.01
156762.0	0.01
159472.0	0.01
161626.0	0.01
163999.0	0.01
166629.0	0.01
169475.0	0.01
172416.0	0.01
174541.0	0.01
176189.0	0.01
179442.0	0.01
181808.0	0.01
184089.0	0.01
186312.0	0.01
188647.0	0.01
191021.0	0.01
193497.0	0.01
195160.0	0.01
198217.0	0.01
200208.0	0.01
203392.0	0.01
206246.0	0.01
208782.0	0.01
211009.0	0.01
211965.0	0.01
224029.0	0.01
225723.0	0.01
227976.0	0.01
231036.0	0.01
233840.0	0.01
236467.0	0.01
238865.0	0.01
240461.0	0.01
243728.0	0.01
246019.0	0.01
247627.0	0.01
250659.0	0.01
253408.0	0.01
256066.0	0.01
258121.0	0.01
260376.0	0.01
262772.0	0.01
265565.0	0.01
267277.0	0.01
269529.0	0.01
271782.0	0.01
274966.0	0.01
277558.0	0.01
280214.0	0.01
282296.0	0.01
284752.0	0.01
287078.0	0.01
289896.0	0.01
292079.0	0.01
293959.0	0.01
296346.0	0.01
299796.0	0.01
302037.0	0.01
304489.0	0.01
306885.0	0.01
309154.0	0.01
312013.0	0.01
314600.0	0.01
317032.0	0.01
318521.0	0.01
320773.0	0.01
323026.0	0.01
