onset	duration
-61732.0	0.01
-59190.0	0.01
-56665.0	0.01
-54106.0	0.01
-51314.0	0.01
-48578.0	0.01
-46062.0	0.01
-43618.0	0.01
-40694.0	0.01
-38238.0	0.01
-35645.0	0.01
-33134.0	0.01
3866.0	0.01
6644.0	0.01
8714.0	0.01
11166.0	0.01
13516.0	0.01
15711.0	0.01
17889.0	0.01
20092.0	0.01
22694.0	0.01
25094.0	0.01
26947.0	0.01
30142.0	0.01
32493.0	0.01
34823.0	0.01
37214.0	0.01
39586.0	0.01
41998.0	0.01
44441.0	0.01
46073.0	0.01
49049.0	0.01
51442.0	0.01
53759.0	0.01
56792.0	0.01
60607.0	0.01
61586.0	0.01
64716.0	0.01
67044.0	0.01
69567.0	0.01
71753.0	0.01
74126.0	0.01
76730.0	0.01
78837.0	0.01
80617.0	0.01
83602.0	0.01
86137.0	0.01
88099.0	0.01
90501.0	0.01
92848.0	0.01
95232.0	0.01
97552.0	0.01
99349.0	0.01
102235.0	0.01
104412.0	0.01
107449.0	0.01
109557.0	0.01
113468.0	0.01
115408.0	0.01
117707.0	0.01
119478.0	0.01
122701.0	0.01
123486.0	0.01
135651.0	0.01
137352.0	0.01
140135.0	0.01
142471.0	0.01
145429.0	0.01
148473.0	0.01
150170.0	0.01
151975.0	0.01
155720.0	0.01
158184.0	0.01
161198.0	0.01
163597.0	0.01
166113.0	0.01
168470.0	0.01
170849.0	0.01
173263.0	0.01
175907.0	0.01
178280.0	0.01
179968.0	0.01
182824.0	0.01
185222.0	0.01
186927.0	0.01
190055.0	0.01
192218.0	0.01
194094.0	0.01
196884.0	0.01
199503.0	0.01
202169.0	0.01
204320.0	0.01
206621.0	0.01
208982.0	0.01
211377.0	0.01
213601.0	0.01
215572.0	0.01
218910.0	0.01
221331.0	0.01
223718.0	0.01
225892.0	0.01
228453.0	0.01
230709.0	0.01
232956.0	0.01
235248.0	0.01
237511.0	0.01
240105.0	0.01
242614.0	0.01
245157.0	0.01
247718.0	0.01
250137.0	0.01
251288.0	0.01
254391.0	0.01
254793.0	0.01
266878.0	0.01
269229.0	0.01
272674.0	0.01
274564.0	0.01
277978.0	0.01
280814.0	0.01
283293.0	0.01
285778.0	0.01
288183.0	0.01
290424.0	0.01
292806.0	0.01
295820.0	0.01
298070.0	0.01
300554.0	0.01
302858.0	0.01
305189.0	0.01
307874.0	0.01
309954.0	0.01
312399.0	0.01
314485.0	0.01
316925.0	0.01
319367.0	0.01
321829.0	0.01
324627.0	0.01
327179.0	0.01
329733.0	0.01
332192.0	0.01
333746.0	0.01
337294.0	0.01
339551.0	0.01
341749.0	0.01
344226.0	0.01
346676.0	0.01
348615.0	0.01
350722.0	0.01
354048.0	0.01
356428.0	0.01
358972.0	0.01
361273.0	0.01
363973.0	0.01
366178.0	0.01
368626.0	0.01
371005.0	0.01
373156.0	0.01
375657.0	0.01
377105.0	0.01
380322.0	0.01
383174.0	0.01
385500.0	0.01
386717.0	0.01
388072.0	0.01
400799.0	0.01
403509.0	0.01
405879.0	0.01
407916.0	0.01
410476.0	0.01
413230.0	0.01
415379.0	0.01
417392.0	0.01
419743.0	0.01
421916.0	0.01
423719.0	0.01
427053.0	0.01
429139.0	0.01
431577.0	0.01
433745.0	0.01
436182.0	0.01
438370.0	0.01
440695.0	0.01
442988.0	0.01
445962.0	0.01
448275.0	0.01
450747.0	0.01
453112.0	0.01
455456.0	0.01
457611.0	0.01
460176.0	0.01
462744.0	0.01
465475.0	0.01
468225.0	0.01
469435.0	0.01
471791.0	0.01
475333.0	0.01
477097.0	0.01
479352.0	0.01
481698.0	0.01
483878.0	0.01
486408.0	0.01
488572.0	0.01
490944.0	0.01
493413.0	0.01
495421.0	0.01
497838.0	0.01
500248.0	0.01
503051.0	0.01
505298.0	0.01
507769.0	0.01
510246.0	0.01
512651.0	0.01
515218.0	0.01
517483.0	0.01
518380.0	0.01
530471.0	0.01
533131.0	0.01
535096.0	0.01
537849.0	0.01
541027.0	0.01
543557.0	0.01
546202.0	0.01
548163.0	0.01
551209.0	0.01
553520.0	0.01
555990.0	0.01
558277.0	0.01
560932.0	0.01
562966.0	0.01
565228.0	0.01
567536.0	0.01
569726.0	0.01
572583.0	0.01
575003.0	0.01
577117.0	0.01
579565.0	0.01
581522.0	0.01
584366.0	0.01
586595.0	0.01
589362.0	0.01
591850.0	0.01
594453.0	0.01
597042.0	0.01
599251.0	0.01
601532.0	0.01
603605.0	0.01
606653.0	0.01
610000.0	0.01
611193.0	0.01
614247.0	0.01
616437.0	0.01
619354.0	0.01
621893.0	0.01
624237.0	0.01
626926.0	0.01
628934.0	0.01
631228.0	0.01
633679.0	0.01
636357.0	0.01
638670.0	0.01
641270.0	0.01
643639.0	0.01
645903.0	0.01
648174.0	0.01
650566.0	0.01
