onset	duration
-26543.0	0.01
5464.0	0.01
15600.0	0.01
24886.0	0.01
35354.0	0.01
46764.0	0.01
53085.0	0.01
65554.0	0.01
76279.0	0.01
87119.0	0.01
97405.0	0.01
105567.0	0.01
120363.0	0.01
129413.0	0.01
139538.0	0.01
147085.0	0.01
154441.0	0.01
162648.0	0.01
177745.0	0.01
182043.0	0.01
196076.0	0.01
203614.0	0.01
214591.0	0.01
224430.0	0.01
234377.0	0.01
240105.0	0.01
251579.0	0.01
261264.0	0.01
271714.0	0.01
282768.0	0.01
292734.0	0.01
305051.0	0.01
313354.0	0.01
321271.0	0.01
331269.0	0.01
339888.0	0.01
351224.0	0.01
359674.0	0.01
371724.0	0.01
383825.0	0.01
387818.0	0.01
417662.0	0.01
