onset	duration
-69943.0	0.01
-67596.0	0.01
-65025.0	0.01
-62529.0	0.01
-59641.0	0.01
-57320.0	0.01
-54584.0	0.01
-51702.0	0.01
-49455.0	0.01
-46963.0	0.01
-44132.0	0.01
-41703.0	0.01
3579.0	0.01
5660.0	0.01
8972.0	0.01
11067.0	0.01
13565.0	0.01
15710.0	0.01
17855.0	0.01
20327.0	0.01
22885.0	0.01
25111.0	0.01
27375.0	0.01
29961.0	0.01
31834.0	0.01
34760.0	0.01
37074.0	0.01
39543.0	0.01
42311.0	0.01
44534.0	0.01
46802.0	0.01
49052.0	0.01
51527.0	0.01
53694.0	0.01
56841.0	0.01
59857.0	0.01
61162.0	0.01
64655.0	0.01
67074.0	0.01
69495.0	0.01
71901.0	0.01
74222.0	0.01
75974.0	0.01
78737.0	0.01
80578.0	0.01
83523.0	0.01
86155.0	0.01
88221.0	0.01
90398.0	0.01
92954.0	0.01
95085.0	0.01
97498.0	0.01
99295.0	0.01
102120.0	0.01
104938.0	0.01
107241.0	0.01
109576.0	0.01
113285.0	0.01
115699.0	0.01
117807.0	0.01
119412.0	0.01
122558.0	0.01
123416.0	0.01
135624.0	0.01
137788.0	0.01
140234.0	0.01
142437.0	0.01
145460.0	0.01
147980.0	0.01
150245.0	0.01
151888.0	0.01
155672.0	0.01
158092.0	0.01
161302.0	0.01
162998.0	0.01
166019.0	0.01
168887.0	0.01
170992.0	0.01
173203.0	0.01
175472.0	0.01
178421.0	0.01
180457.0	0.01
182670.0	0.01
185282.0	0.01
186821.0	0.01
190196.0	0.01
192253.0	0.01
193979.0	0.01
196863.0	0.01
199362.0	0.01
202321.0	0.01
204310.0	0.01
206717.0	0.01
209305.0	0.01
211307.0	0.01
213609.0	0.01
215448.0	0.01
218758.0	0.01
221523.0	0.01
223460.0	0.01
225756.0	0.01
228495.0	0.01
230409.0	0.01
233038.0	0.01
235267.0	0.01
237589.0	0.01
239946.0	0.01
242316.0	0.01
244930.0	0.01
247277.0	0.01
249417.0	0.01
251133.0	0.01
254474.0	0.01
254636.0	0.01
266793.0	0.01
269063.0	0.01
272778.0	0.01
274400.0	0.01
277662.0	0.01
280815.0	0.01
282558.0	0.01
285559.0	0.01
287909.0	0.01
290563.0	0.01
292766.0	0.01
295733.0	0.01
297943.0	0.01
300539.0	0.01
302940.0	0.01
305208.0	0.01
307399.0	0.01
309952.0	0.01
312324.0	0.01
314443.0	0.01
316939.0	0.01
319565.0	0.01
321574.0	0.01
324374.0	0.01
327003.0	0.01
329580.0	0.01
332180.0	0.01
333556.0	0.01
337302.0	0.01
339318.0	0.01
341013.0	0.01
343822.0	0.01
346381.0	0.01
348434.0	0.01
350522.0	0.01
353946.0	0.01
355527.0	0.01
358742.0	0.01
361321.0	0.01
363972.0	0.01
365858.0	0.01
368477.0	0.01
370563.0	0.01
372889.0	0.01
375267.0	0.01
376897.0	0.01
380492.0	0.01
382337.0	0.01
384740.0	0.01
386506.0	0.01
387859.0	0.01
399800.0	0.01
403224.0	0.01
405310.0	0.01
407684.0	0.01
410231.0	0.01
412585.0	0.01
414676.0	0.01
417507.0	0.01
419758.0	0.01
422222.0	0.01
423485.0	0.01
426292.0	0.01
428919.0	0.01
431931.0	0.01
433700.0	0.01
435727.0	0.01
438249.0	0.01
441249.0	0.01
443127.0	0.01
445744.0	0.01
448719.0	0.01
450377.0	0.01
452699.0	0.01
455311.0	0.01
457355.0	0.01
460452.0	0.01
462523.0	0.01
465216.0	0.01
466423.0	0.01
469176.0	0.01
471528.0	0.01
475120.0	0.01
477535.0	0.01
479025.0	0.01
481990.0	0.01
484170.0	0.01
485953.0	0.01
488843.0	0.01
490945.0	0.01
492758.0	0.01
494450.0	0.01
498325.0	0.01
501018.0	0.01
502207.0	0.01
505123.0	0.01
507939.0	0.01
510001.0	0.01
512795.0	0.01
514925.0	0.01
517275.0	0.01
518072.0	0.01
530142.0	0.01
532759.0	0.01
535885.0	0.01
538504.0	0.01
540592.0	0.01
543824.0	0.01
546521.0	0.01
547844.0	0.01
550910.0	0.01
553199.0	0.01
555099.0	0.01
557883.0	0.01
560406.0	0.01
562532.0	0.01
564933.0	0.01
567032.0	0.01
569286.0	0.01
573034.0	0.01
574731.0	0.01
577012.0	0.01
578908.0	0.01
582070.0	0.01
584051.0	0.01
586979.0	0.01
589016.0	0.01
591348.0	0.01
594616.0	0.01
597116.0	0.01
598239.0	0.01
601823.0	0.01
603245.0	0.01
606879.0	0.01
608596.0	0.01
610721.0	0.01
613962.0	0.01
615935.0	0.01
619000.0	0.01
622130.0	0.01
623648.0	0.01
626132.0	0.01
627967.0	0.01
630786.0	0.01
633694.0	0.01
635959.0	0.01
639072.0	0.01
640646.0	0.01
643736.0	0.01
645755.0	0.01
648147.0	0.01
650292.0	0.01
