onset	duration
-67051.0	0.01
-64941.0	0.01
-62180.0	0.01
-59637.0	0.01
-56921.0	0.01
-54350.0	0.01
-51664.0	0.01
-49111.0	0.01
-46633.0	0.01
-43868.0	0.01
-41448.0	0.01
-38662.0	0.01
3591.0	0.01
6171.0	0.01
8314.0	0.01
10530.0	0.01
12893.0	0.01
15110.0	0.01
17495.0	0.01
19815.0	0.01
22053.0	0.01
24301.0	0.01
25939.0	0.01
28952.0	0.01
31399.0	0.01
33376.0	0.01
36247.0	0.01
38557.0	0.01
41000.0	0.01
43202.0	0.01
45555.0	0.01
48056.0	0.01
50318.0	0.01
53100.0	0.01
55009.0	0.01
57262.0	0.01
60805.0	0.01
63023.0	0.01
65522.0	0.01
67906.0	0.01
70080.0	0.01
72272.0	0.01
74472.0	0.01
76975.0	0.01
79572.0	0.01
82402.0	0.01
84212.0	0.01
87183.0	0.01
89622.0	0.01
92425.0	0.01
94562.0	0.01
97265.0	0.01
99087.0	0.01
100340.0	0.01
112491.0	0.01
114372.0	0.01
117310.0	0.01
119149.0	0.01
121957.0	0.01
124527.0	0.01
126041.0	0.01
129101.0	0.01
131235.0	0.01
133584.0	0.01
135810.0	0.01
137439.0	0.01
140417.0	0.01
142896.0	0.01
144468.0	0.01
147709.0	0.01
149778.0	0.01
152382.0	0.01
154588.0	0.01
156897.0	0.01
159314.0	0.01
161703.0	0.01
164174.0	0.01
165964.0	0.01
169485.0	0.01
172048.0	0.01
174647.0	0.01
176197.0	0.01
179477.0	0.01
181942.0	0.01
184065.0	0.01
186413.0	0.01
188826.0	0.01
191074.0	0.01
192914.0	0.01
195866.0	0.01
198210.0	0.01
200214.0	0.01
203202.0	0.01
206381.0	0.01
208718.0	0.01
211073.0	0.01
211973.0	0.01
224005.0	0.01
226345.0	0.01
227984.0	0.01
230898.0	0.01
233926.0	0.01
236440.0	0.01
238752.0	0.01
240468.0	0.01
243595.0	0.01
245903.0	0.01
247634.0	0.01
250524.0	0.01
253168.0	0.01
255847.0	0.01
258168.0	0.01
260534.0	0.01
262099.0	0.01
265600.0	0.01
267787.0	0.01
269536.0	0.01
271788.0	0.01
275142.0	0.01
277300.0	0.01
279985.0	0.01
282258.0	0.01
284756.0	0.01
287009.0	0.01
289596.0	0.01
292069.0	0.01
293963.0	0.01
296351.0	0.01
299548.0	0.01
301934.0	0.01
304368.0	0.01
306613.0	0.01
309053.0	0.01
312063.0	0.01
313886.0	0.01
316960.0	0.01
319233.0	0.01
321443.0	0.01
323031.0	0.01
