onset	duration
7194.0	0.01
9241.0	0.01
10196.0	0.01
11103.0	0.01
12570.0	0.01
13255.0	0.01
13257.0	0.01
20427.0	0.01
20893.0	0.01
21725.0	0.01
22546.0	0.01
23606.0	0.01
24054.0	0.01
24056.0	0.01
30273.0	0.01
34347.0	0.01
39246.0	0.01
40897.0	0.01
41590.0	0.01
42304.0	0.01
43623.0	0.01
44288.0	0.01
45129.0	0.01
45490.0	0.01
45492.0	0.01
50844.0	0.01
51566.0	0.01
52950.0	0.01
53449.0	0.01
54423.0	0.01
54775.0	0.01
54777.0	0.01
64663.0	0.01
65259.0	0.01
66371.0	0.01
67813.0	0.01
68721.0	0.01
69151.0	0.01
69153.0	0.01
77379.0	0.01
78093.0	0.01
79169.0	0.01
79810.0	0.01
80340.0	0.01
80677.0	0.01
80680.0	0.01
87479.0	0.01
88197.0	0.01
89090.0	0.01
89651.0	0.01
90469.0	0.01
91425.0	0.01
91429.0	0.01
99818.0	0.01
100205.0	0.01
101416.0	0.01
102209.0	0.01
102979.0	0.01
103450.0	0.01
103452.0	0.01
109292.0	0.01
109975.0	0.01
110527.0	0.01
110976.0	0.01
111588.0	0.01
112065.0	0.01
112068.0	0.01
118452.0	0.01
119514.0	0.01
120107.0	0.01
120766.0	0.01
121780.0	0.01
122183.0	0.01
122186.0	0.01
128751.0	0.01
129327.0	0.01
130353.0	0.01
130936.0	0.01
131739.0	0.01
132132.0	0.01
132135.0	0.01
137320.0	0.01
138426.0	0.01
140011.0	0.01
140352.0	0.01
141004.0	0.01
141386.0	0.01
141390.0	0.01
145843.0	0.01
147396.0	0.01
147807.0	0.01
148432.0	0.01
150400.0	0.01
150820.0	0.01
150823.0	0.01
157640.0	0.01
158333.0	0.01
159066.0	0.01
159623.0	0.01
160339.0	0.01
161062.0	0.01
163970.0	0.01
165556.0	0.01
166146.0	0.01
166855.0	0.01
166858.0	0.01
172811.0	0.01
173906.0	0.01
174484.0	0.01
174924.0	0.01
175445.0	0.01
176013.0	0.01
176018.0	0.01
181937.0	0.01
182569.0	0.01
183317.0	0.01
184159.0	0.01
185835.0	0.01
186298.0	0.01
186302.0	0.01
192304.0	0.01
193129.0	0.01
193546.0	0.01
193929.0	0.01
194727.0	0.01
195249.0	0.01
195254.0	0.01
202686.0	0.01
205342.0	0.01
206002.0	0.01
206803.0	0.01
207480.0	0.01
207958.0	0.01
207962.0	0.01
214843.0	0.01
215866.0	0.01
216395.0	0.01
216968.0	0.01
218276.0	0.01
218702.0	0.01
218706.0	0.01
228532.0	0.01
228952.0	0.01
229666.0	0.01
230191.0	0.01
230949.0	0.01
231508.0	0.01
231512.0	0.01
237949.0	0.01
239977.0	0.01
240385.0	0.01
240880.0	0.01
241966.0	0.01
242287.0	0.01
242292.0	0.01
248209.0	0.01
248944.0	0.01
249742.0	0.01
250123.0	0.01
250745.0	0.01
252077.0	0.01
252082.0	0.01
258448.0	0.01
258860.0	0.01
260219.0	0.01
260730.0	0.01
261920.0	0.01
262424.0	0.01
262429.0	0.01
266746.0	0.01
267537.0	0.01
268043.0	0.01
268518.0	0.01
269046.0	0.01
269532.0	0.01
269537.0	0.01
279882.0	0.01
280312.0	0.01
280766.0	0.01
281231.0	0.01
281814.0	0.01
282196.0	0.01
282202.0	0.01
287515.0	0.01
289137.0	0.01
289991.0	0.01
290455.0	0.01
291169.0	0.01
291554.0	0.01
291561.0	0.01
297498.0	0.01
297996.0	0.01
298481.0	0.01
298946.0	0.01
299836.0	0.01
300205.0	0.01
300211.0	0.01
304635.0	0.01
305046.0	0.01
305540.0	0.01
305947.0	0.01
306628.0	0.01
307021.0	0.01
307027.0	0.01
311599.0	0.01
312087.0	0.01
312616.0	0.01
313068.0	0.01
313694.0	0.01
314014.0	0.01
314022.0	0.01
319469.0	0.01
320815.0	0.01
321343.0	0.01
321799.0	0.01
