onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stopped	trial_type	worker_id	junk	condition
3.014	0.55	0.20503937007874015	400.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
5.54	0.55	0.10903937007874015	400.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
7.794	0.55	-0.07996062992125985	400.0	1.0	stop_signal	89.0	True	False	stop_failure	s602	False	stop_failure
10.05	0.55	0.06003937007874015	350.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
12.306	0.55	0.3220393700787402	350.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
14.559	0.55	0.07203937007874014	350.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
16.946	0.55	0.09103937007874015	350.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
19.202	0.55	-0.5219606299212598	350.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
21.453	0.55	0.01803937007874015	400.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
23.709	0.55	-0.5219606299212598	400.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
25.965	0.55	-0.5219606299212598	450.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
28.49	0.55	0.08103937007874015	500.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
30.879	0.55	0.24303937007874016	500.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
33.403	0.55	0.17203937007874015	500.0	1.0	stop_signal	89.0	True	False	stop_failure	s602	False	stop_failure
35.658	0.55	0.09103937007874015	450.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
38.047	0.55	0.22603937007874014	450.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
40.439	0.55	0.07503937007874015	450.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
42.693	0.55	0.19903937007874015	450.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
45.082	0.55	0.23603937007874015	450.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
47.472	0.55	-0.10796062992125985	450.0	1.0	stop_signal	89.0	True	False	stop_failure	s602	False	stop_failure
49.86	0.55	0.19103937007874014	400.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
52.519	0.55	0.20403937007874015	400.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
55.047	0.55	0.016039370078740147	400.0	1.0	stop_signal	71.0	True	False	stop_failure	s602	False	stop_failure
57.301	0.55	-0.5219606299212598	350.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
60.237	0.55	0.13603937007874015	400.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
62.493	0.55	0.3300393700787401	400.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
65.018	0.55	-0.5219606299212598	400.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
67.271	0.55	0.21303937007874016	450.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
69.527	0.55	0.5280393700787401	450.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
71.782	0.55	-0.07696062992125985	450.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
74.034	0.55	0.29003937007874014	450.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
76.562	0.55	-0.10096062992125986	450.0	1.0	stop_signal	89.0	True	False	stop_failure	s602	False	stop_failure
79.634	0.55	-0.5219606299212598	400.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
81.887	0.55	0.14603937007874015	450.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
84.277	0.55	-0.5219606299212598	450.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
86.669	0.55	0.18903937007874014	500.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
89.194	0.55	0.2690393700787401	500.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
91.584	0.55	0.10403937007874015	500.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
93.975	0.55	0.09203937007874015	500.0	1.0	stop_signal	71.0	True	False	stop_failure	s602	False	stop_failure
96.773	0.55	0.3310393700787401	450.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
99.164	0.55	-0.5219606299212598	450.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
100.419	0.55	-0.5219606299212598		0.0	stop_signal	-1.0	True	True	go	s602	True	go
111.928	0.55	-0.5219606299212598	500.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
114.453	0.55	0.06103937007874015	550.0	1.0	stop_signal	89.0	True	False	stop_failure	s602	False	stop_failure
116.842	0.55	0.3920393700787401	500.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
119.233	0.55	-0.5219606299212598	500.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
121.487	0.55	0.35903937007874015	550.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
123.879	0.55	0.22103937007874014	550.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
126.135	0.55	0.10503937007874015	550.0	1.0	stop_signal	71.0	True	False	stop_failure	s602	False	stop_failure
128.387	0.55	0.44403937007874017	500.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
130.643	0.55	0.09803937007874015	500.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
133.034	0.55	-0.5219606299212598	500.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
135.287	0.55	0.20803937007874015	550.0	1.0	stop_signal	71.0	True	False	stop_failure	s602	False	stop_failure
137.541	0.55	0.14203937007874015	500.0	1.0	stop_signal	71.0	True	False	stop_failure	s602	False	stop_failure
139.93	0.55	-0.5219606299212598	450.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
142.322	0.55	0.48003937007874015	500.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
144.578	0.55	-0.5219606299212598	500.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
147.102	0.55	0.41803937007874015	550.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
149.354	0.55	0.31103937007874016	550.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
151.743	0.55	0.3900393700787401	550.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
153.997	0.55	-0.014960629921259851	550.0	1.0	stop_signal	71.0	True	False	stop_failure	s602	False	stop_failure
156.25	0.55	0.36403937007874015	500.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
158.639	0.55	-0.5219606299212598	500.0	0.0	stop_signal	-1.0	True	True	go	s602	True	go
161.162	0.55	-0.5219606299212598	500.0	0.0	stop_signal	-1.0	True	True	go	s602	True	go
163.553	0.55	0.40003937007874013	500.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
166.079	0.55	0.11203937007874015	500.0	1.0	stop_signal	71.0	True	False	stop_failure	s602	False	stop_failure
169.011	0.55	0.20603937007874015	450.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
171.536	0.55	0.19403937007874014	450.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
174.061	0.55	0.40403937007874013	450.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
176.313	0.55	-0.5219606299212598	450.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
178.837	0.55	0.38103937007874017	500.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
181.229	0.55	0.05503937007874015	500.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
183.484	0.55	0.21803937007874014	500.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
185.874	0.55	0.2660393700787401	500.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
188.127	0.55	-0.5219606299212598	500.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
190.519	0.55	0.18003937007874016	550.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
193.047	0.55	0.12703937007874014	550.0	1.0	stop_signal	71.0	True	False	stop_failure	s602	False	stop_failure
195.301	0.55	-0.5219606299212598	500.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
197.69	0.55	0.21203937007874016	550.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
200.353	0.55	0.10503937007874015	550.0	1.0	stop_signal	89.0	True	False	stop_failure	s602	False	stop_failure
202.606	0.55	0.46603937007874013	500.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
205.813	0.55	0.03203937007874015	500.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
208.202	0.55	0.22003937007874014	500.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
210.59	0.55	-0.5219606299212598	500.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
212.114	0.55	-0.5219606299212598		0.0	stop_signal	-1.0	True	True	go	s602	True	go
223.624	0.55	0.4500393700787402	550.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
225.879	0.55	-0.5219606299212598	550.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
228.135	0.55	0.14003937007874015	600.0	1.0	stop_signal	71.0	True	False	stop_failure	s602	False	stop_failure
230.389	0.55	-0.5219606299212598	550.0	0.0	stop_signal	-1.0	True	True	go	s602	True	go
233.325	0.55	0.22603937007874014	550.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
235.851	0.55	0.22903937007874015	550.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
238.375	0.55	0.28003937007874014	550.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
240.628	0.55	-0.5219606299212598	550.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
243.154	0.55	0.029039370078740148	600.0	1.0	stop_signal	89.0	True	False	stop_failure	s602	False	stop_failure
245.407	0.55	0.22003937007874014	550.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
247.794	0.55	0.25803937007874017	550.0	1.0	stop_signal	89.0	True	False	stop_failure	s602	False	stop_failure
250.047	0.55	-0.5219606299212598	500.0	0.0	stop_signal	-1.0	True	True	go	s602	True	go
252.711	0.55	0.5380393700787401	500.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
255.373	0.55	-0.010960629921259851	500.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
257.627	0.55	0.25503937007874017	500.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
259.882	0.55	0.35103937007874014	500.0	0.0	stop_signal	71.0	True	False	go	s602	True	go
262.274	0.55	-0.5219606299212598	500.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
265.071	0.55	-0.5219606299212598	550.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
267.463	0.55	-0.5219606299212598	600.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
269.719	0.55	-0.5219606299212598	650.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
271.975	0.55	0.24603937007874016	700.0	1.0	stop_signal	89.0	True	False	stop_failure	s602	False	stop_failure
274.228	0.55	-0.5219606299212598	650.0	0.0	stop_signal	-1.0	True	True	go	s602	True	go
276.89	0.55	0.28903937007874014	650.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
279.554	0.55	0.2710393700787401	650.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
281.805	0.55	0.31203937007874016	650.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
284.333	0.55	0.36003937007874015	650.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
286.589	0.55	-0.03396062992125985	650.0	1.0	stop_signal	71.0	True	False	stop_failure	s602	False	stop_failure
289.117	0.55	0.40503937007874014	600.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
291.642	0.55	-0.5219606299212598	600.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
294.17	0.55	0.17503937007874015	650.0	1.0	stop_signal	71.0	True	False	stop_failure	s602	False	stop_failure
296.561	0.55	0.06603937007874015	600.0	1.0	stop_signal	89.0	True	False	stop_failure	s602	False	stop_failure
299.09	0.55	-0.5219606299212598	550.0	0.0	stop_signal	-1.0	True	True	go	s602	True	go
301.615	0.55	0.14703937007874016	550.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
304.007	0.55	0.06003937007874015	550.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
306.26	0.55	0.12403937007874015	550.0	1.0	stop_signal	89.0	True	False	go	s602	False	go
308.786	0.55	0.42203937007874015	550.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
311.586	0.55	-0.5219606299212598	550.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
314.111	0.55	-0.5219606299212598	600.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
316.504	0.55	0.27203937007874013	650.0	1.0	stop_signal	71.0	True	False	go	s602	False	go
318.76	0.55	0.27803937007874013	650.0	1.0	stop_signal	89.0	True	False	stop_failure	s602	False	stop_failure
321.015	0.55	-0.5219606299212598	600.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
323.271	0.55	-0.5219606299212598	650.0	0.0	stop_signal	-1.0	True	True	stop_success	s602	False	stop_success
