onset	duration	response_time	condition	correct	experiment_exp_id	key_press	stim_color	stim_word	trial_type	worker_id	junk
3.513	0.639	0.13409375	incongruent	1.0	stroop	89	red	blue	incongruent	s618	False
5.791	0.639	-0.01190625	incongruent	1.0	stroop	89	red	green	incongruent	s618	False
7.796	0.639	-0.08490625	congruent	1.0	stroop	71	blue	blue	congruent	s618	False
9.798	0.639	-0.17590625	congruent	1.0	stroop	82	green	green	congruent	s618	False
11.802	0.639	-0.17390625	incongruent	1.0	stroop	89	red	blue	incongruent	s618	False
13.805	0.639	-0.20090625	congruent	1.0	stroop	71	blue	blue	congruent	s618	False
15.946	0.639	-0.11990625	congruent	1.0	stroop	89	red	red	congruent	s618	False
17.951	0.639	-0.09990625	incongruent	1.0	stroop	71	blue	green	incongruent	s618	False
19.954	0.639	-0.02290625	congruent	1.0	stroop	71	blue	blue	congruent	s618	False
22.095	0.639	-0.04490625	incongruent	1.0	stroop	82	green	blue	incongruent	s618	False
24.1	0.639	-0.11390625	incongruent	1.0	stroop	71	blue	green	incongruent	s618	False
26.103	0.639	-0.10190625	incongruent	0.0	stroop	89	green	red	incongruent	s618	True
28.242	0.639	-0.24790625	congruent	1.0	stroop	89	red	red	congruent	s618	False
30.38	0.639	-0.24290625	congruent	1.0	stroop	82	green	green	congruent	s618	False
32.658	0.639	0.17409375	incongruent	1.0	stroop	89	red	blue	incongruent	s618	False
35.343	0.639	-0.14090625	congruent	1.0	stroop	71	blue	blue	congruent	s618	False
37.348	0.639	-0.02890625	congruent	1.0	stroop	89	red	red	congruent	s618	False
39.354	0.639	0.12509375	incongruent	1.0	stroop	82	green	red	incongruent	s618	False
41.631	0.639	-0.02490625	incongruent	0.0	stroop	89	green	blue	incongruent	s618	True
43.636	0.639	0.28809375	congruent	1.0	stroop	82	green	green	congruent	s618	False
45.642	0.639	0.27209375	incongruent	1.0	stroop	82	green	blue	incongruent	s618	False
47.644	0.639	-0.01090625	incongruent	1.0	stroop	82	green	blue	incongruent	s618	False
49.647	0.639	-0.14790625	incongruent	1.0	stroop	71	blue	red	incongruent	s618	False
51.652	0.639	-0.23890625	incongruent	1.0	stroop	89	red	green	incongruent	s618	False
53.656	0.639	-0.15190625	congruent	1.0	stroop	89	red	red	congruent	s618	False
55.93	0.639	-0.06790625	incongruent	1.0	stroop	82	green	red	incongruent	s618	False
57.933	0.639	-0.06790625	congruent	1.0	stroop	89	red	red	congruent	s618	False
60.346	0.639	0.01609375	congruent	1.0	stroop	82	green	green	congruent	s618	False
62.348	0.639	0.08509375	congruent	1.0	stroop	71	blue	blue	congruent	s618	False
64.49	0.639	0.06209375	congruent	1.0	stroop	82	green	green	congruent	s618	False
66.495	0.639	0.05109375	congruent	1.0	stroop	82	green	green	congruent	s618	False
68.5	0.639	0.12809375	incongruent	1.0	stroop	71	blue	red	incongruent	s618	False
70.504	0.639	-0.20590625	congruent	1.0	stroop	71	blue	blue	congruent	s618	False
72.779	0.639	-0.04490625	incongruent	1.0	stroop	89	red	blue	incongruent	s618	False
74.782	0.639	-0.05790625	incongruent	1.0	stroop	71	blue	red	incongruent	s618	False
77.06	0.639	0.05109375	incongruent	1.0	stroop	82	green	red	incongruent	s618	False
79.338	0.639	-0.01190625	incongruent	1.0	stroop	71	blue	green	incongruent	s618	False
81.344	0.639	-0.07990625	congruent	1.0	stroop	89	red	red	congruent	s618	False
84.025	0.639	-0.03690625	incongruent	1.0	stroop	71	blue	green	incongruent	s618	False
86.031	0.639	0.13609375	congruent	1.0	stroop	82	green	green	congruent	s618	False
88.307	0.639	-0.23690625	congruent	1.0	stroop	71	blue	blue	congruent	s618	False
90.308	0.639	-0.11990625	congruent	1.0	stroop	89	red	red	congruent	s618	False
92.31	0.639	0.17309375	incongruent	1.0	stroop	89	red	green	incongruent	s618	False
94.584	0.639	-0.20490625	congruent	1.0	stroop	82	green	green	congruent	s618	False
