onset	duration	response_time	condition	correct	experiment_exp_id	key_press	stim_color	stim_word	trial_type	trigger_times	worker_id	junk
3.518	0.639	0.3261666666666666	incongruent	1.0	stroop	71	blue	red	incongruent	142021,142702,143381	s618	False
5.794	0.639	0.02116666666666663	incongruent	1.0	stroop	82	green	blue	incongruent	144060,144741,145421	s618	False
7.801	0.639	-0.03783333333333337	congruent	1.0	stroop	71	blue	blue	congruent	146101,146781,147461	s618	False
9.806	0.639	0.04416666666666663	congruent	1.0	stroop	71	blue	blue	congruent	148141,148821,149502	s618	False
11.808	0.639	0.19916666666666663	incongruent	1.0	stroop	71	blue	green	incongruent	150181,150862,151541	s618	False
13.809	0.639	-0.10283333333333337	congruent	1.0	stroop	89	red	red	congruent	152222,152901,153582	s618	False
15.95	0.639	-0.01783333333333337	congruent	1.0	stroop	89	red	red	congruent	154261,154941,155621	s618	False
17.956	0.639	0.0071666666666666285	incongruent	1.0	stroop	82	green	red	incongruent	156302,156981,157663	s618	False
19.958	0.639	-0.18783333333333338	congruent	1.0	stroop	71	blue	blue	congruent	158341,159022,159701	s618	False
22.1	0.639	-0.20383333333333337	incongruent	1.0	stroop	89	red	green	incongruent	160382,161061,161742	s618	False
24.105	0.639	-0.10483333333333338	incongruent	1.0	stroop	89	red	green	incongruent	162421,163102,163781	s618	False
26.108	0.639	0.03416666666666663	incongruent	1.0	stroop	71	blue	green	incongruent	164462,165141,165822	s618	False
28.247	0.639	0.04116666666666663	congruent	1.0	stroop	71	blue	blue	congruent	166502,167182,167862	s618	False
30.387	0.639	-0.09883333333333337	congruent	1.0	stroop	82	green	green	congruent	168542,169221,169902,170581	s618	False
32.663	0.639	0.08716666666666663	incongruent	1.0	stroop	89	red	blue	incongruent	171261,171941,172621	s618	False
35.348	0.639	-0.04483333333333337	congruent	1.0	stroop	89	red	red	congruent	173301,173981,174661	s618	False
37.354	0.639	0.045166666666666626	congruent	1.0	stroop	82	green	green	congruent	175341,176021,176702	s618	False
39.359	0.639	0.003166666666666629	incongruent	1.0	stroop	82	green	blue	incongruent	177381,178063,178741,179422	s618	False
41.637	0.639	0.13216666666666663	incongruent	1.0	stroop	89	red	blue	incongruent	180101,180782,181461	s618	False
43.642	0.639	0.02216666666666663	congruent	1.0	stroop	89	red	red	congruent	182141,182821,183502	s618	False
45.644	0.639	0.03516666666666663	incongruent	1.0	stroop	71	blue	green	incongruent	184181,184862,185541	s618	False
47.647	0.639	-0.07283333333333337	incongruent	1.0	stroop	71	blue	green	incongruent	186222,186901,187582	s618	False
49.653	0.639	-0.004833333333333371	incongruent	1.0	stroop	71	blue	green	incongruent	188262,188942	s618	False
51.655	0.639	-0.15383333333333338	incongruent	1.0	stroop	71	blue	red	incongruent	189621,190302,190981	s618	False
53.658	0.639	-0.008833333333333372	congruent	1.0	stroop	89	red	red	congruent	191662,192342,193022,193702	s618	False
55.936	0.639	-0.03783333333333337	incongruent	1.0	stroop	71	blue	red	incongruent	194383,195062,195742	s618	False
57.939	0.639	-0.17583333333333337	congruent	1.0	stroop	82	green	green	congruent	196421,197101,197781	s618	False
60.352	0.639	-0.08083333333333337	congruent	1.0	stroop	89	red	red	congruent	198461,199141,199821	s618	False
62.355	0.639	0.08216666666666662	congruent	1.0	stroop	82	green	green	congruent	200501,201181,201861	s618	False
64.496	0.639	-0.0038333333333333713	congruent	1.0	stroop	71	blue	blue	congruent	202541,203222,203901	s618	False
66.502	0.639	0.01716666666666663	congruent	1.0	stroop	82	green	green	congruent	204582,205261,205942	s618	False
68.506	0.639	0.015166666666666629	incongruent	1.0	stroop	71	blue	red	incongruent	206621,207302,207981	s618	False
70.508	0.639	0.07216666666666663	congruent	1.0	stroop	71	blue	blue	congruent	208663,209341,210021,210701	s618	False
72.785	0.639	-0.03183333333333337	incongruent	1.0	stroop	89	red	blue	incongruent	211382,212061	s618	False
