movement_onset	onset	duration	response_time	condition	correct	experiment_exp_id	key_press	trial_type	trigger_times	worker_id	junk
6.109	4.519	1.471	0.14365030674846627	AY	1.0	dot_pattern_expectancy	71.0	AY	151477,152157	s621	False
10.117	8.664	1.471	0.006650306748466278	AX	1.0	dot_pattern_expectancy	89.0	AX	155557,156237	s621	False
14.279	12.805	1.471	0.027650306748466278	AX	1.0	dot_pattern_expectancy	89.0	AX	159638,160318	s621	False
18.24	16.816	1.471	-0.02234969325153372	AX	1.0	dot_pattern_expectancy	89.0	AX	163717,164398	s621	False
22.337	20.824	1.471	0.06665030674846628	AX	1.0	dot_pattern_expectancy	89.0	AX	167798,168478	s621	False
26.706	25.24	1.471	0.019650306748466278	BX	1.0	dot_pattern_expectancy	71.0	BX	171878,172559	s621	False
30.9	29.387	1.471	0.06665030674846628	AX	1.0	dot_pattern_expectancy	89.0	AX	175958,176637,177317	s621	False
35.398	33.946	1.471	0.005650306748466278	AX	1.0	dot_pattern_expectancy	89.0	AX	180717,181397	s621	False
39.68	38.23	1.471	0.003650306748466278	AX	1.0	dot_pattern_expectancy	89.0	AX	184797,185478	s621	False
43.712	42.238	1.471	0.027650306748466278	AX	1.0	dot_pattern_expectancy	89.0	AX	188877,189558,190237	s621	False
48.378	46.929	1.471	0.002650306748466278	AX	1.0	dot_pattern_expectancy	89.0	AX	193638,194318	s621	False
52.362	50.94	1.471	-0.024349693251533723	BX	1.0	dot_pattern_expectancy	71.0	BX	197718,198398,199078,199758,200437	s621	False
58.405	57.124	1.471	-0.16534969325153373	BY	1.0	dot_pattern_expectancy	71.0	BY	203837,204517	s621	False
62.587	61.268	1.471	-0.12734969325153372	BY	1.0	dot_pattern_expectancy	71.0	BY	207917,208597	s621	False
66.789	65.415	1.471	-0.07234969325153372	BX	1.0	dot_pattern_expectancy	71.0	BX	211997,212677	s621	False
70.829	69.423	1.471	-0.04034969325153372	AX	1.0	dot_pattern_expectancy	89.0	AX	216078,216759,217438	s621	False
75.403	73.845	1.471	0.11165030674846628	AX	1.0	dot_pattern_expectancy	89.0	AX	220838,221518	s621	False
79.372	77.992	1.471	-0.06634969325153373	BX	1.0	dot_pattern_expectancy	71.0	BX	224918,225598	s621	False
83.001	82.002	1.471	-0.44734969325153373	AX	0.0	dot_pattern_expectancy	-1.0	AX	228997,229677	s621	True
