movement_onset	onset	duration	response_time	CTI	correct	cue	cue_switch	experiment_exp_id	key_press	stim_color	stim_number	switch_type	task	task_switch	trial_type	worker_id	junk
4.352	3.521	0.795	-0.1370916666666667	100.0	True	Color	stay	twobytwo	89.0	orange	4.0	cue_stay	color	stay	poldrack-single-stim	s626	False
8.254	6.849	1.595	-0.3630916666666667	900.0	True	High-Low		twobytwo	71.0	orange	8.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
11.27	10.163	0.795	0.1389083333333333	100.0	True	Orange-Blue		twobytwo	71.0	#1F45FC	9.0	task_switch	color	switch	poldrack-single-stim	s626	False
14.151	13.084	0.795	0.0989083333333333	100.0	True	High-Low		twobytwo	71.0	orange	7.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
16.535	15.595	0.795	-0.028091666666666695	100.0	True	Orange-Blue		twobytwo	71.0	#1F45FC	9.0	task_switch	color	switch	poldrack-single-stim	s626	False
18.884	17.841	0.795	0.0749083333333333	100.0	True	Orange-Blue	stay	twobytwo	89.0	orange	3.0	cue_stay	color	stay	poldrack-single-stim	s626	False
21.003	20.084	0.795	-0.0490916666666667	100.0	True	Color	switch	twobytwo	89.0	orange	8.0	cue_switch	color	stay	poldrack-single-stim	s626	False
23.2	22.19	0.795	0.041908333333333304	100.0	True	Orange-Blue	switch	twobytwo	71.0	#1F45FC	2.0	cue_switch	color	stay	poldrack-single-stim	s626	False
25.039	24.297	0.795	-0.2260916666666667	100.0	True	High-Low		twobytwo	71.0	#1F45FC	7.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
27.54	26.673	0.795	-0.10109166666666669	100.0	True	Orange-Blue		twobytwo	89.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	s626	False
30.705	29.188	1.595	-0.2510916666666667	900.0	True	Magnitude		twobytwo	89.0	#1F45FC	2.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
32.838	32.092	0.795	-0.2220916666666667	100.0	True	High-Low	switch	twobytwo	89.0	#1F45FC	1.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
35.355	34.335	0.795	0.051908333333333306	100.0	True	Orange-Blue		twobytwo	71.0	#1F45FC	8.0	task_switch	color	switch	poldrack-single-stim	s626	False
37.922	36.439	1.595	-0.2850916666666667	900.0	True	Magnitude		twobytwo	89.0	orange	2.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
41.699	39.754	1.595	0.1769083333333333	900.0	True	High-Low	switch	twobytwo	71.0	#1F45FC	8.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
43.876	42.932	0.795	-0.0240916666666667	100.0	True	Color		twobytwo	89.0	orange	6.0	task_switch	color	switch	poldrack-single-stim	s626	False
46.717	45.037	1.595	-0.0880916666666667	900.0	True	Orange-Blue	switch	twobytwo	71.0	#1F45FC	6.0	cue_switch	color	stay	poldrack-single-stim	s626	False
49.412	48.218	0.795	0.2259083333333333	100.0	True	High-Low		twobytwo	71.0	#1F45FC	6.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
51.535	50.325	0.795	0.2419083333333333	100.0	False	Color		twobytwo	71.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	s626	True
53.809	52.432	1.595	-0.39109166666666667	900.0	True	Color	stay	twobytwo	89.0	orange	6.0	cue_stay	color	stay	poldrack-single-stim	s626	False
57.377	55.608	1.595	0.000908333333333303	900.0	True	Magnitude		twobytwo	89.0	#1F45FC	3.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
60.089	58.652	1.595	-0.3310916666666667	900.0	False	Orange-Blue		twobytwo	71.0	orange	8.0	task_switch	color	switch	poldrack-single-stim	s626	True
63.194	61.562	1.595	-0.1360916666666667	900.0	True	Orange-Blue	stay	twobytwo	71.0	#1F45FC	9.0	cue_stay	color	stay	poldrack-single-stim	s626	False
66.054	64.469	1.595	-0.1830916666666667	900.0	True	Magnitude		twobytwo	89.0	orange	1.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
68.684	67.376	0.795	0.3399083333333333	100.0	False	High-Low	switch	twobytwo	89.0	#1F45FC	9.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	True
70.439	69.483	0.795	-0.012091666666666697	100.0	True	High-Low	stay	twobytwo	71.0	#1F45FC	6.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
72.677	71.592	0.795	0.11690833333333331	100.0	False	Orange-Blue		twobytwo	89.0	#1F45FC	9.0	task_switch	color	switch	poldrack-single-stim	s626	True
75.749	73.835	1.595	0.1459083333333333	900.0	False	Orange-Blue	stay	twobytwo	89.0	#1F45FC	8.0	cue_stay	color	stay	poldrack-single-stim	s626	True
78.747	76.742	1.595	0.2369083333333333	900.0	True	High-Low		twobytwo	71.0	orange	8.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
80.883	79.646	0.795	0.2689083333333333	100.0	True	Magnitude	switch	twobytwo	89.0	#1F45FC	3.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
83.125	81.889	0.795	0.2679083333333333	100.0	False	High-Low	switch	twobytwo	89.0	orange	6.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	True
84.092	83.993	0.795	-0.8690916666666667	100.0	False	Orange-Blue		twobytwo	-1.0	#1F45FC	4.0	task_switch	color	switch	poldrack-single-stim	s626	True
87.463	86.235	0.795	0.2599083333333333	100.0	True	Magnitude		twobytwo	71.0	orange	6.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
90.228	89.025	0.795	0.2349083333333333	100.0	False	Magnitude	stay	twobytwo	71.0	#1F45FC	4.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	True
92.165	91.401	0.795	-0.2040916666666667	100.0	True	Magnitude	stay	twobytwo	89.0	#1F45FC	4.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
95.055	93.644	0.795	0.4429083333333333	100.0	True	Orange-Blue		twobytwo	71.0	#1F45FC	9.0	task_switch	color	switch	poldrack-single-stim	s626	False
97.261	95.747	1.595	-0.2540916666666667	900.0	True	Magnitude		twobytwo	71.0	orange	9.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
99.831	98.788	0.795	0.0749083333333333	100.0	False	Color		twobytwo	89.0	#1F45FC	1.0	task_switch	color	switch	poldrack-single-stim	s626	True
103.826	101.571	1.595	0.4869083333333333	900.0	True	Magnitude		twobytwo	71.0	orange	8.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
105.847	104.753	0.795	0.12590833333333332	100.0	True	High-Low	switch	twobytwo	89.0	#1F45FC	3.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
108.251	106.86	1.595	-0.3770916666666667	900.0	True	Color		twobytwo	89.0	orange	3.0	task_switch	color	switch	poldrack-single-stim	s626	False
111.113	109.764	1.595	-0.4190916666666667	900.0	True	Color	stay	twobytwo	89.0	orange	6.0	cue_stay	color	stay	poldrack-single-stim	s626	False
113.606	112.807	0.795	-0.1690916666666667	100.0	True	Color	stay	twobytwo	89.0	orange	3.0	cue_stay	color	stay	poldrack-single-stim	s626	False
116.248	114.913	1.595	-0.4330916666666667	900.0	True	Color	stay	twobytwo	89.0	orange	4.0	cue_stay	color	stay	poldrack-single-stim	s626	False
118.988	117.82	0.795	0.1999083333333333	100.0	True	Orange-Blue	switch	twobytwo	89.0	orange	2.0	cue_switch	color	stay	poldrack-single-stim	s626	False
121.168	119.928	0.795	0.2719083333333333	100.0	True	High-Low		twobytwo	71.0	#1F45FC	6.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
123.3	122.303	0.795	0.028908333333333303	100.0	True	Color		twobytwo	71.0	#1F45FC	9.0	task_switch	color	switch	poldrack-single-stim	s626	False
126.141	124.818	1.595	-0.4450916666666667	900.0	True	Color	stay	twobytwo	71.0	#1F45FC	7.0	cue_stay	color	stay	poldrack-single-stim	s626	False
129.31	127.725	1.595	-0.1830916666666667	900.0	True	Color	stay	twobytwo	89.0	orange	7.0	cue_stay	color	stay	poldrack-single-stim	s626	False
132.465	130.631	1.595	0.0659083333333333	900.0	True	High-Low		twobytwo	89.0	orange	4.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
134.944	133.538	0.795	0.4379083333333333	100.0	True	Color		twobytwo	89.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	s626	False
136.875	135.915	0.795	-0.008091666666666697	100.0	True	Color	stay	twobytwo	71.0	#1F45FC	4.0	cue_stay	color	stay	poldrack-single-stim	s626	False
139.431	138.157	1.595	-0.4940916666666667	900.0	True	High-Low		twobytwo	89.0	#1F45FC	2.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
142.568	141.064	1.595	-0.2640916666666667	900.0	True	Magnitude	switch	twobytwo	71.0	orange	9.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
145.971	144.515	0.795	0.4879083333333333	100.0	False	Orange-Blue		twobytwo	71.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	s626	True
147.589	146.894	0.795	-0.2730916666666667	100.0	True	Orange-Blue	stay	twobytwo	89.0	orange	4.0	cue_stay	color	stay	poldrack-single-stim	s626	False
151.101	149.272	1.595	0.0609083333333333	900.0	False	Color	switch	twobytwo	89.0	#1F45FC	3.0	cue_switch	color	stay	poldrack-single-stim	s626	True
153.616	152.176	1.595	-0.32809166666666667	900.0	True	Color	stay	twobytwo	71.0	#1F45FC	9.0	cue_stay	color	stay	poldrack-single-stim	s626	False
156.489	155.08	1.595	-0.3590916666666667	900.0	True	Magnitude		twobytwo	89.0	#1F45FC	2.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
159.639	158.126	1.595	-0.2550916666666667	900.0	True	Orange-Blue		twobytwo	89.0	orange	1.0	task_switch	color	switch	poldrack-single-stim	s626	False
162.602	161.03	0.795	0.6039083333333333	100.0	True	Color	switch	twobytwo	89.0	orange	6.0	cue_switch	color	stay	poldrack-single-stim	s626	False
164.912	163.273	1.595	-0.1290916666666667	900.0	True	Magnitude		twobytwo	89.0	orange	2.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
168.016	166.449	1.595	-0.2010916666666667	900.0	True	Orange-Blue		twobytwo	89.0	orange	3.0	task_switch	color	switch	poldrack-single-stim	s626	False
171.006	169.492	1.595	-0.2540916666666667	900.0	True	Orange-Blue	stay	twobytwo	71.0	#1F45FC	6.0	cue_stay	color	stay	poldrack-single-stim	s626	False
173.745	172.668	0.795	0.1089083333333333	100.0	True	High-Low		twobytwo	71.0	#1F45FC	6.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
176.299	174.777	1.595	-0.2460916666666667	900.0	True	High-Low	stay	twobytwo	71.0	#1F45FC	8.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
179.264	178.497	0.795	-0.2010916666666667	100.0	True	Magnitude	switch	twobytwo	89.0	orange	1.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
182.232	181.012	0.795	0.2519083333333333	100.0	True	Magnitude	stay	twobytwo	71.0	#1F45FC	6.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
184.546	183.119	1.595	-0.3410916666666667	900.0	True	Magnitude	stay	twobytwo	89.0	#1F45FC	1.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
188.148	186.567	0.795	0.6129083333333333	100.0	True	Color		twobytwo	71.0	#1F45FC	4.0	task_switch	color	switch	poldrack-single-stim	s626	False
190.107	188.81	0.795	0.3289083333333333	100.0	True	Magnitude		twobytwo	71.0	orange	6.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
192.631	190.915	1.595	-0.052091666666666696	900.0	True	Magnitude	stay	twobytwo	89.0	orange	3.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
195.492	193.821	1.595	-0.0970916666666667	900.0	True	High-Low	switch	twobytwo	71.0	#1F45FC	9.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
198.512	196.861	1.595	-0.11709166666666669	900.0	True	High-Low	stay	twobytwo	89.0	orange	3.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
201.373	199.903	1.595	-0.2980916666666667	900.0	True	Color		twobytwo	89.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	s626	False
204.606	203.082	1.595	-0.2440916666666667	900.0	True	Orange-Blue	switch	twobytwo	71.0	#1F45FC	7.0	cue_switch	color	stay	poldrack-single-stim	s626	False
209.002	207.216	1.595	0.017908333333333304	900.0	True	Color	switch	twobytwo	71.0	#1F45FC	9.0	cue_switch	color	stay	poldrack-single-stim	s626	False
211.449	210.122	0.795	0.35890833333333333	100.0	True	Magnitude		twobytwo	89.0	#1F45FC	4.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
214.299	212.229	1.595	0.3019083333333333	900.0	True	Color		twobytwo	89.0	orange	7.0	task_switch	color	switch	poldrack-single-stim	s626	False
216.786	215.405	0.795	0.4129083333333333	100.0	True	Magnitude		twobytwo	71.0	#1F45FC	6.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
232.091	231.159	0.795	-0.036091666666666695	100.0	True	Magnitude	stay	twobytwo	89.0	orange	4.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
234.935	233.27	1.595	-0.10309166666666669	900.0	False	Orange-Blue		twobytwo	71.0	orange	8.0	task_switch	color	switch	poldrack-single-stim	s626	True
237.218	236.177	0.795	0.0729083333333333	100.0	True	High-Low		twobytwo	71.0	#1F45FC	9.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
239.711	238.281	0.795	0.4619083333333333	100.0	True	Color		twobytwo	89.0	orange	7.0	task_switch	color	switch	poldrack-single-stim	s626	False
242.349	241.068	0.795	0.3129083333333333	100.0	True	High-Low		twobytwo	71.0	#1F45FC	9.0	task_switch	magnitude	switch	poldrack-single-stim	s626	False
244.071	243.174	0.795	-0.07109166666666669	100.0	True	High-Low	stay	twobytwo	89.0	orange	3.0	cue_stay	magnitude	stay	poldrack-single-stim	s626	False
246.73	245.553	0.795	0.2089083333333333	100.0	True	Magnitude	switch	twobytwo	71.0	orange	8.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
248.511	247.66	0.795	-0.11709166666666669	100.0	True	High-Low	switch	twobytwo	89.0	#1F45FC	2.0	cue_switch	magnitude	stay	poldrack-single-stim	s626	False
251.537	250.036	0.795	0.5329083333333333	100.0	True	Color		twobytwo	71.0	#1F45FC	7.0	task_switch	color	switch	poldrack-single-stim	s626	False
254.545	253.095	0.795	0.4819083333333333	100.0	False	High-Low		twobytwo	89.0	orange	9.0	task_switch	magnitude	switch	poldrack-single-stim	s626	True
