onset	duration	response_time	correct	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	trial_type	trigger_times	worker_id	junk
3.525048	0.576	0.05675968992248068	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	117563,118244,118923	s628	False
6.133864	0.576	0.04075968992248068	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	120283,120964,121643	s628	False
8.741727999999998	0.576	0.06375968992248067	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	122324,123003,123684	s628	False
11.349727999999999	0.576	0.14575968992248067	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	125044,125725,126404	s628	False
13.958	0.576	-0.016240310077519325	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	127764,128443,129124	s628	False
16.566	0.576	-0.08124031007751932	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	130483,131163,131843	s628	False
19.173728	0.576	0.17375968992248067	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	133203,133883,134563	s628	False
21.782	0.576	-0.09724031007751932	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	135923,136603,137283	s628	False
24.39	0.576	-0.10924031007751933	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	137964,138643,139323	s628	False
26.999727999999998	0.576	0.16575968992248066	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	140683,141363,142043	s628	False
29.612	0.576	0.0057596899224806744	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	143404,144083,144763	s628	False
32.219864	0.576	0.37375968992248065	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	146124,146803,147483	s628	False
34.827728	0.576	-0.12124031007751933	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	148844,149523,150204	s628	False
37.436	0.576	-0.056240310077519326	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	151564,152243,152924	s628	False
40.044	0.576	-0.011240310077519326	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	153604,154284,154964	s628	False
42.652	0.576	-0.017240310077519326	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	156324,157004,157683	s628	False
45.266	0.576	-0.07324031007751933	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	159043,159723,160403	s628	False
47.874	0.576	0.022759689922480675	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	161763,162443,163123	s628	False
50.482	0.576	-0.04124031007751933	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	164483,165164,165843	s628	False
53.089728	0.576	0.002759689922480675	1.0	double	attention_network_task	down	left	congruent	89	poldrack-single-stim	167203,167884,168563	s628	False
55.697864	0.576	-0.04224031007751933	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	169244,169923,170604	s628	False
58.315912	0.576	0.06875968992248067	1.0	double	attention_network_task	down	right	incongruent	71	poldrack-single-stim	171963,172643,173323	s628	False
60.924728	0.576	-0.17424031007751933	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	174684,175363,176044	s628	False
63.536864	0.576	-0.09724031007751932	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	177404,178083,178764	s628	False
66.145864	0.576	-0.11524031007751932	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	180123,180803,181483	s628	False
68.755	0.576	-0.04324031007751933	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	182844,183523,184205	s628	False
71.363	0.576	-0.11024031007751932	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	184884,185564,186244,186924	s628	False
73.971	0.576	-0.08024031007751932	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	187603,188283,188963	s628	False
76.58	0.576	0.21575968992248068	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	190323,191003,191683	s628	False
79.191864	0.576	-0.14324031007751933	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	193043,193724,194403	s628	False
81.803728	0.576	0.06475968992248067	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	195763,196443,197123	s628	False
84.413864	0.576	-0.08024031007751932	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	198483,199164,199843	s628	False
87.026864	0.576	-0.030240310077519324	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	200524,201203,201884,202563	s628	False
89.639	0.576	0.15675968992248068	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	203243,203923,204605	s628	False
92.249	0.576	-0.07224031007751933	1.0	spatial	attention_network_task	down	left	congruent	89	poldrack-single-stim	205964,206643,207323	s628	False
94.856592	0.576	0.06375968992248067	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	208684,209363,210044	s628	False
97.46445600000001	0.576	-0.14124031007751933	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	211404,212084,212764	s628	False
100.072592	0.576	-0.09024031007751933	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	214125,214804,215483	s628	False
