movement_onset	onset	duration	response_time	CTI	correct	cue	cue_switch	experiment_exp_id	key_press	stim_color	stim_number	switch_type	task	task_switch	trial_type	trigger_times	worker_id	junk
4.887	3.522	1.595	-0.3023375	900.0	True	Color		twobytwo	71.0	orange	7.0	task_switch	color	switch	poldrack-single-stim	117749,118428,119109	s628	False
8.145	6.562	1.595	-0.08433749999999998	900.0	True	Color	stay	twobytwo	71.0	orange	9.0	cue_stay	color	stay	poldrack-single-stim	120469,121148,121830,122508	s628	False
11.566	10.149	1.595	-0.2503375	900.0	True	Orange-Blue	switch	twobytwo	71.0	orange	9.0	cue_switch	color	stay	poldrack-single-stim	124550,125228,125909	s628	False
14.935	13.599	1.595	-0.33133749999999995	900.0	True	Color	switch	twobytwo	89.0	#1F45FC	3.0	cue_switch	color	stay	poldrack-single-stim	127948,128629,129309	s628	False
18.186	16.778	1.595	-0.2593375	900.0	True	Orange-Blue	switch	twobytwo	89.0	#1F45FC	2.0	cue_switch	color	stay	poldrack-single-stim	130669,131349,132030,132710	s628	False
20.905	19.953	0.795	0.08466250000000003	100.0	True	High-Low		twobytwo	71.0	orange	3.0	task_switch	magnitude	switch	poldrack-single-stim	133389,134070,134749,135430	s628	False
23.253	22.466	0.795	-0.08033749999999998	100.0	True	High-Low	stay	twobytwo	71.0	orange	1.0	cue_stay	magnitude	stay	poldrack-single-stim	136109,136790,137469	s628	False
26.156	24.709	1.595	-0.22033749999999996	900.0	True	Color		twobytwo	71.0	orange	6.0	task_switch	color	switch	poldrack-single-stim	138829,139510,140189	s628	False
28.657	27.885	0.795	-0.09533749999999998	100.0	True	Orange-Blue	switch	twobytwo	71.0	orange	6.0	cue_switch	color	stay	poldrack-single-stim	141549,142231,142909	s628	False
31.389	29.992	1.595	-0.27033749999999995	900.0	True	Color	switch	twobytwo	71.0	orange	8.0	cue_switch	color	stay	poldrack-single-stim	144269,144950,145629	s628	False
34.374	33.035	1.595	-0.3283375	900.0	True	Color	stay	twobytwo	71.0	orange	7.0	cue_stay	color	stay	poldrack-single-stim	146989,147668,148349,149029	s628	False
37.647	36.214	1.595	-0.23433749999999998	900.0	True	Magnitude		twobytwo	89.0	orange	9.0	task_switch	magnitude	switch	poldrack-single-stim	150389,151069,151749	s628	False
40.144	39.117	0.795	0.1596625	100.0	True	Color		twobytwo	71.0	orange	7.0	task_switch	color	switch	poldrack-single-stim	152429,153109,153789,154468	s628	False
43.41	41.905	1.595	-0.16233749999999997	900.0	True	Orange-Blue	switch	twobytwo	89.0	#1F45FC	1.0	cue_switch	color	stay	poldrack-single-stim	155829,156509,157189	s628	False
46.494	44.812	1.595	0.014662500000000023	900.0	True	Magnitude		twobytwo	71.0	#1F45FC	4.0	task_switch	magnitude	switch	poldrack-single-stim	159229,159910,160589	s628	False
49.425	47.724	1.595	0.033662500000000026	900.0	True	Magnitude	stay	twobytwo	71.0	orange	1.0	cue_stay	magnitude	stay	poldrack-single-stim	161949,162631,163309	s628	False
52.192	50.636	1.595	-0.11133749999999998	900.0	True	Color		twobytwo	71.0	orange	6.0	task_switch	color	switch	poldrack-single-stim	164669,165350,166029,166710	s628	False
55.68	53.814	1.595	0.19866250000000002	900.0	True	High-Low		twobytwo	89.0	#1F45FC	7.0	task_switch	magnitude	switch	poldrack-single-stim	168070,168749,169429	s628	False
57.88	56.721	0.795	0.29166250000000005	100.0	True	Orange-Blue		twobytwo	71.0	orange	6.0	task_switch	color	switch	poldrack-single-stim	170110,170789,171470	s628	False
60.457	58.828	1.595	-0.038337499999999976	900.0	True	High-Low		twobytwo	71.0	orange	2.0	task_switch	magnitude	switch	poldrack-single-stim	172830,173510,174189	s628	False
63.2	61.732	1.595	-0.19933749999999997	900.0	True	High-Low	stay	twobytwo	89.0	orange	8.0	cue_stay	magnitude	stay	poldrack-single-stim	176229,176909,177589,178269	s628	False
66.75	65.319	1.595	-0.23633749999999998	900.0	True	High-Low	stay	twobytwo	71.0	#1F45FC	2.0	cue_stay	magnitude	stay	poldrack-single-stim	179629,180309,180989	s628	False
69.119	68.223	0.795	0.02866250000000002	100.0	True	Orange-Blue		twobytwo	89.0	#1F45FC	6.0	task_switch	color	switch	poldrack-single-stim	181669,182349,183029	s628	False
71.985	70.462	0.795	0.6556625	100.0	True	Color	switch	twobytwo	89.0	#1F45FC	3.0	cue_switch	color	stay	poldrack-single-stim	183710,184389,185070,185749	s628	False
74.386	72.975	1.595	-0.2563375	900.0	True	Color	stay	twobytwo	71.0	orange	2.0	cue_stay	color	stay	poldrack-single-stim	187109,187790,188469	s628	False
76.972	76.018	0.795	0.08666250000000002	100.0	True	Color	stay	twobytwo	71.0	orange	9.0	cue_stay	color	stay	poldrack-single-stim	189150,189829,190510	s628	False
