onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stop_response	stopped	trial_type	trigger_times	worker_id	junk
3.022	0.56	0.1712598425196851	400.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	128679,129358,130039,130719,131397	s629	False
5.678	0.56	-0.6257401574803149	400.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	132077,132758,133437	s629	False
7.934	0.56	0.3912598425196851	450.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	134119,134798,135478,136158	s629	False
10.588	0.56	0.028259842519685094	450.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	136837,137518,138198,138878	s629	False
12.943	0.56	0.12025984251968509	450.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	139558,140238,140918	s629	False
15.199	0.56	0.12625984251968508	450.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	141598,142278,142958	s629	False
17.455	0.56	-0.024740157480314905	450.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	143638,144318,144998	s629	False
19.711	0.56	-0.047740157480314904	450.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	145678,146358,147038,147718	s629	False
22.067	0.56	-0.05174015748031491	450.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	148398,149078,149758,150438	s629	False
24.623	0.56	-0.031740157480314904	450.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	151118,151799,152479	s629	False
26.979	0.56	-0.6257401574803149	450.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	153159,153839,154520,155199	s629	False
29.435	0.56	0.052259842519685094	500.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	155879,156559,157239	s629	False
31.89	0.56	0.020259842519685094	500.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	157919,158598,159278,159957	s629	False
34.246	0.56	-0.6257401574803149	450.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True		160637,161317,161998	s629	True
36.5	0.56	0.04925984251968509	450.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	162677,163357,164038,164719	s629	False
39.057	0.56	0.059259842519685094	450.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	165397,166078,166758,167437	s629	False
41.613	0.56	-0.05874015748031491	450.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	168119,168798,169478	s629	False
43.869	0.56	0.4172598425196851	450.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	170158,170839,171518	s629	False
46.126	0.56	-0.027740157480314907	450.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	172198,172878,173558,174238	s629	False
48.581	0.56	0.1962598425196851	400.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	174918,175599,176278	s629	False
50.937	0.56	0.1962598425196851	400.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	176958,177639,178319,178999	s629	False
53.193	0.56	0.19025984251968509	400.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	179678,180358,181039,181719	s629	False
56.349	0.56	0.018259842519685095	400.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	182398,183078,183758,184438	s629	False
59.005	0.56	-0.008740157480314906	400.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	185119,185798,186478,187157	s629	False
61.261	0.56	0.2122598425196851	400.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	187838,188518,189198	s629	False
63.717	0.56	-0.6257401574803149	350.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True		189878,190558,191238,191918	s629	True
66.571	0.56	0.10325984251968509	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	192598,193278,193958,194638	s629	False
69.028	0.56	0.1222598425196851	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	195319,195998,196678	s629	False
71.285	0.56	0.18925984251968508	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	197359,198039,198719,199398	s629	False
73.542	0.56	0.3072598425196851	350.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	200078,200759,201438	s629	False
76.098	0.56	-0.027740157480314907	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	202118,202799,203479,204159	s629	False
78.353	0.56	0.0662598425196851	300.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	204839,205519,206198	s629	False
