movement_onset	onset	response_time	duration	coded_response	experiment_exp_id	item_coding	item_responses	item_text	possible_responses	stim_duration	survey	text	time_elapsed	trigger_times	worker_id	junk
5.528	1.013	0.12922500000000037	3.932	2.0	survey_medley	reverse	66,89,71,82,77	I wish I had more self-discipline.	66,89,71,82,77	8500.0	brief		10081	59393,60073,60753,61433,62113,62793,63473,64153,64832,65512,66193,66873,67554	s629	False
15.732	10.087	1.2592250000000003	3.932	2.0	survey_medley	forward	66,89	Do you sometimes like doing things that are a bit frightening?	66,89,71,82,77	8500.0	impulsive_venture		20379	68233,68913,69593,70274,70954,71633,72314,72994,73674,74354,75033,75713,76392,77073,77752	s629	False
24.433	20.385	-0.33777499999999966	3.932	5.0	survey_medley	forward	66,89,71,82,77	As I get older, I begin to experience time as limited.	66,89,71,82,77	8500.0	future_time		32173	78432,79112,79792,80472,81152,81832,82512,83193,83873,84552,85233,85913,86593,87273,87954,88633,89313,89993	s629	False
35.376	32.179	-1.1887749999999997	3.932	4.0	survey_medley	forward	66,89,71,82,77	I am good at resisting temptation.	66,89,71,82,77	8500.0	brief		41383	90673,91353,92033,92713,93394,94073,94753,95433,96113,96793,97473,98153,98833	s629	False
46.937	41.39	1.1612250000000004	3.932	3.0	survey_medley	forward	66,89,71,82	I tend to act without thinking when I am really excited.	66,89,71,82,77	8500.0	upps		50866	99514,100194,100874,101553,102233,102914,103593,104272,104953,105632,106313,106993,107673,108354	s629	False
53.661	50.871	-1.5957749999999997	3.932	4.0	survey_medley	forward	66,89,71,82,77	I am diligent.	66,89,71,82,77	8500.0	grit		60823	109033,109713,110393,111073,111753,112433,113112,113792,114472,115152,115833,116513,117193,117873,118553	s629	False
66.588	60.828	1.3742250000000005	3.932	1.0	survey_medley	reverse	66,89,71,82,77	I often set a goal but later choose to pursue a different one.	66,89,71,82,77	8500.0	grit		72684	119234,119914,120594,121274,121954,122634,123314,123993,124674,125354,126033,126713,127393,128072,128754,129432,130113	s629	False
78.369	72.69	1.2932250000000003	3.932	3.0	survey_medley	forward	66,89,71,82	When overjoyed, I feel like I cant stop myself from going overboard.	66,89,71,82,77	8500.0	upps		81894	130793,131473,132153,132832,133513,134193,134873,135552,136233,136913,137593,138273,138954,139633	s629	False
86.4	81.9	0.11422500000000037	3.932	4.0	survey_medley	reverse	66,89,71,82,77	I often act without thinking through all the alternatives.	66,89,71,82,77	8500.0	brief		93416	140312,140993,141673,142354,143033,143714,144394,145073,145754,146434,147114,147794,148473,149154,149834,150514,151194	s629	False
96.413	93.422	-1.3947749999999997	3.932	3.0	survey_medley	reverse	66,89,71,82,77	I have trouble concentrating.	66,89,71,82,77	8500.0	brief		102422	151873,152553,153233,153914,154594,155273,155952,156633,157312,157993,158672,159354,160032	s629	False
106.355	102.427	-0.45777499999999965	3.932	5.0	survey_medley	forward	66,89,71,82,77	Most of my life lies ahead of me.	66,89,71,82,77	8500.0	future_time		111563	160713,161393,162073,162753,163433,164113,164793,165473,166153,166833,167514,168193,168874,169553	s629	False
115.749	111.569	-0.20577499999999962	3.932	3.0	survey_medley	reverse	66,89,71,82,77	I have a hard time breaking bad habits.	66,89,71,82,77	8500.0	brief		121181	170233,170914,171593,172274,172954,173633,174314,174994,175674,176354,177034,177714,178394,179074	s629	False
126.08	121.187	0.5072250000000004	3.932	3.0	survey_medley	reverse	66,89,71,82,77	I have difficulty maintaining my focus on projects that take more than a few months to complete.	66,89,71,82,77	8500.0	grit		130799	179754,180433,181114,181793,182473,183153,183833,184512,185193,185873,186552,187233,187913,188592	s629	False
136.926	130.805	1.7352250000000005	3.932	3.0	survey_medley	forward	66,89,71,82	Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.	66,89,71,82,77	8500.0	upps		141097	189274,189954,190633,191313,191994,192673,193353,194034,194714,195394,196074,196754,197434,198114,198794	s629	False
146.252	141.103	0.7632250000000004	3.932	2.0	survey_medley	reverse	66,89,71,82,77	New ideas and projects sometimes distract me from previous ones.	66,89,71,82,77	8500.0	grit		151191	199473,200155,200834,201514,202194,202874,203553,204233,204913,205593,206273,206954,207632,208312,208993	s629	False
155.833	151.198	0.24922500000000036	3.932	4.0	survey_medley	forward	66,89,71,82,77	I have the sense that time is running out.	66,89,71,82,77	8500.0	future_time		160266	209673,210354,211033,211713,212393,213073,213754,214433,215113,215793,216474,217153,217834	s629	False
164.216	160.272	-0.44177499999999964	3.932	5.0	survey_medley	forward	66,89,71,82,77	I refuse things that are bad for me.	66,89,71,82,77	8500.0	brief		170428	218514,219194,219874,220555,221234,221913,222593,223274,223954,224633,225314,225994,226674,227354,228034	s629	False
175.727	170.433	0.9082250000000004	3.932	3.0	survey_medley	forward	66,89,71,82	Others would say I make bad choices when I am extremely happy about something.	66,89,71,82,77	8500.0	upps		180317	228714,229394,230074,230758,231434,232114,232794,233474,234152,234832,235513,236193,236873,237553,238233	s629	False
183.721	180.323	-0.9877749999999996	3.932	3.0	survey_medley	forward	66,89,71,82,77	My future seems infinite to me.	66,89,71,82,77	8500.0	future_time		190003	238914,239593,240274,240955,241633,242313,242993,243674,244354,245034,245713,246394,247073,247754	s629	False
195.239	190.009	0.8442250000000003	3.932	2.0	survey_medley	forward	66,89,71,82	When I get really happy about something, I tend to do things that can have bad consequences.	66,89,71,82,77	8500.0	upps		199553	248434,249114,249794,250474,251155,251833,252514,253194,253874,254553,255234,255913,256593,257274	s629	False
204.288	199.559	0.3432250000000004	3.932	4.0	survey_medley	forward	66,89,71,82,77	I am able to work effectively toward long-term goals.	66,89,71,82,77	8500.0	brief		210871	257954,258634,259314,259994,260674,261354,262033,262713,263393,264073,264753,265434,266113,266794,267474,268154,268834	s629	False
214.723	210.876	-0.5387749999999997	3.932	4.0	survey_medley	reverse	66,89,71,82,77	I say inappropriate things.	66,89,71,82,77	8500.0	brief		220488	269514,270194,270873,271554,272233,272913,273593,274273,274954,275633,276314,276994,277674,278353	s629	False
225.728	220.494	0.8482250000000003	3.932	1.0	survey_medley	forward	66,89,71,82	When I am really excited, I tend not to think of the consequences of my actions.	66,89,71,82,77	8500.0	upps		229698	279034,279713,280394,281074,281755,282434,283114,283794,284474,285154,285834,286514,287193	s629	False
235.086	229.704	0.9962250000000004	3.932	5.0	survey_medley	forward	66,89,71,82,77	I expect that I will set many new goals in the future.	66,89,71,82,77	8500.0	future_time		239248	287874,288554,289234,289914,290594,291273,291955,292634,293314,293994,294674,295354,296034,296714	s629	False
241.056	239.254	-2.5837749999999997	3.932	5.0	survey_medley	forward	66,89,71,82,77	My future is filled with possibilities.	66,89,71,82,77	8500.0	future_time		248730	297394,298073,298753,299433,300114,300794,301474,302155,302834,303514,304194,304874,305553,306234	s629	False
254.085	248.735	0.9642250000000003	3.932	4.0	survey_medley	forward	66,89,71,82,77	People would say that I have iron self-discipline.	66,89,71,82,77	8500.0	brief		257939	306914,307594,308274,308955,309634,310315,310995,311675,312355,313033,313714,314394,315073,315753	s629	False
264.603	257.945	2.272225	3.932	2.0	survey_medley	forward	66,89	Would you enjoy the sensation of skiing very fast down a high mountain slope?	66,89,71,82,77	8500.0	impulsive_venture		268033	316434,317114,317793,318474,319154,319834,320514,321194,321873,322554,323234,323914,324593,325274,325954	s629	False
271.779	268.039	-0.6457749999999997	3.932	4.0	survey_medley	forward	66,89,71,82,77	I could do anything I want in the future.	66,89,71,82,77	8500.0	future_time		278943	326634,327314,327994,328673,329353,330034,330713,331394,332074,332754,333434,334114,334794,335475,336155,336835	s629	False
283.697	278.948	0.36322500000000035	3.932	3.0	survey_medley	forward	66,89,71,82,77	There are only limited possibilities in my future.	66,89,71,82,77	8500.0	future_time		288832	337515,338195,338874,339553,340234,340914,341594,342274,342955,343634,344314,344994,345674,346354	s629	False
294.473	288.838	1.2492250000000005	3.932	5.0	survey_medley	reverse	66,89,71,82,77	Sometimes I can't stop myself from doing something, even if I know it is wrong.	66,89,71,82,77	8500.0	brief		297974	347034,347713,348393,349074,349754,350434,351113,351794,352474,353155,353833,354513,355194,355874	s629	False
302.344	297.98	-0.021774999999999635	3.932	3.0	survey_medley	reverse	66,89,71,82,77	Pleasure and fun sometimes keep me from getting work done.	66,89,71,82,77	8500.0	brief		308340	356554,357234,357914,358595,359274,359955,360634,361315,361994,362674,363354,364034,364714,365394,366074	s629	False
311.439	308.345	-1.2917749999999997	3.932	5.0	survey_medley	reverse	66,89,71,82,77	I do certain things that are bad for me, if they are fun.	66,89,71,82,77	8500.0	brief		318025	366754,367434,368114,368794,369474,370154,370834,371514,372193,372874,373554,374234,374913,375594	s629	False
323.045	318.03	0.6292250000000004	3.932	5.0	survey_medley	forward	66,89,71,82,77	Setbacks don't discourage me.	66,89,71,82,77	8500.0	grit		328186	376274,376954,377633,378314,378994,379674,380354,381035,381714,382394,383074,383755,384434,385114,385794	s629	False
330.322	328.192	-2.2557749999999994	3.932	5.0	survey_medley	forward	66,89,71,82,77	I am a hard worker.	66,89,71,82,77	8500.0	grit		337396	386475,387155,387834,388515,389195,389875,390554,391234,391915,392593,393274,393955,394634,395313	s629	False
340.135	337.403	-1.6537749999999996	3.932	5.0	survey_medley	forward	66,89,71,82,77	I finish whatever I begin.	66,89,71,82,77	8500.0	grit		348579	395994,396674,397354,398034,398714,399393,400073,400753,401434,402114,402794,403474,404155,404834,405515,406194	s629	False
350.859	348.585	-2.1117749999999997	3.932	4.0	survey_medley	reverse	66,89,71,82,77	I am lazy.	66,89,71,82,77	8500.0	brief		357857	406875,407554,408235,408914,409594,410274,410954,411634,412314,412995,413675,414356,415034,415714	s629	False
363.892	357.863	1.6432250000000004	3.932	0.0	survey_medley	forward	66,89	Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?	66,89,71,82,77	8500.0	impulsive_venture		367475	416394,417075,417755,418434,419114,419794,420474,421154,421834,422514,423194,423874,424554,425234	s629	False
371.59	367.48	-0.27577499999999966	3.932	5.0	survey_medley	forward	66,89,71,82,77	There is plenty of time left in my life to make new plans.	66,89,71,82,77	8500.0	future_time		376548	425914,426594,427274,427954,428634,429314,429994,430674,431354,432035,432714,433394,434074	s629	False
380.959	376.554	0.019225000000000363	3.932	3.0	survey_medley	reverse	66,89,71,82,77	I have been obsessed with a certain idea or project for a short time but later lost interest.	66,89,71,82,77	8500.0	grit		385554	434756,435435,436115,436795,437474,438155,438834,439514,440195,440875,441554,442234,442914	s629	False
388.266	385.558	-1.6777749999999996	3.932	5.0	survey_medley	forward	66,89,71,82,77	Many opportunities await me in the future.	66,89,71,82,77	8500.0	future_time		399862	443595,444275,444956,445634,446313,446994,447674,448354,449034,449714,450394,451074,451753,452434,453114,453794,454474,455155,455834,456515,457194,457875	s629	False
