movement_onset	onset	response_time	planning	condition	experiment_exp_id	key_press	problem_id	trial_type	trigger_times	worker_id	junk	duration
5.998	3.014	2.2767886597938145	1	UA_with_intermeidate	ward_and_allport	71	0.0	poldrack-single-stim	61112,61792,62472,63152,63832	s633	False	2.985
6.6	6.0	-0.10721134020618558	0	UA_with_intermeidate	ward_and_allport	82	0.0	poldrack-single-stim	64512	s633	False	
7.082	6.603	-0.22821134020618558	0	UA_with_intermeidate	ward_and_allport	71	0.0	poldrack-single-stim	65192	s633	False	
7.454	7.084	-0.3372113402061856	0	UA_with_intermeidate	ward_and_allport	89	0.0	poldrack-single-stim		s633	False	
7.904	7.456	-0.2592113402061856	0	UA_with_intermeidate	ward_and_allport	82	0.0	poldrack-single-stim	65871	s633	False	
8.294	7.905	-0.3182113402061856	0	UA_with_intermeidate	ward_and_allport	89	0.0	poldrack-single-stim	66552	s633	False	
8.298	8.299	-0.7082113402061856	0	UA_with_intermeidate	ward_and_allport	-1	0.0	poldrack-single-stim	67233,67913,68591	s633	True	
13.601	10.802	2.0917886597938145	1	UA_with_intermeidate	ward_and_allport	71	1.0	poldrack-single-stim	69271,69952,70632,71312	s633	False	2.985
15.703	13.602	1.3937886597938145	0	UA_with_intermeidate	ward_and_allport	82	1.0	poldrack-single-stim	71996,72672,73353,74031	s633	False	
16.834	15.705	0.4217886597938144	0	UA_with_intermeidate	ward_and_allport	89	1.0	poldrack-single-stim	74713	s633	False	
17.24	16.835	-0.30221134020618556	0	UA_with_intermeidate	ward_and_allport	71	1.0	poldrack-single-stim	75392	s633	False	
17.695	17.242	-0.2542113402061856	0	UA_with_intermeidate	ward_and_allport	82	1.0	poldrack-single-stim	76072	s633	False	
18.389	17.697	-0.015211340206185583	0	UA_with_intermeidate	ward_and_allport	89	1.0	poldrack-single-stim	76752	s633	False	
18.779	18.391	-0.3192113402061856	0	UA_with_intermeidate	ward_and_allport	71	1.0	poldrack-single-stim		s633	False	
19.206	18.78	-0.2812113402061856	0	UA_with_intermeidate	ward_and_allport	89	1.0	poldrack-single-stim	77432	s633	False	
19.209	19.21	-0.7082113402061856	0	UA_with_intermeidate	ward_and_allport	-1	1.0	poldrack-single-stim	78112,78792,79472	s633	True	
23.358	21.311	1.3397886597938145	1	UA_without_intermeidate	ward_and_allport	82	2.0	poldrack-single-stim	80152,80832,81512	s633	False	2.985
23.684	23.36	-0.3832113402061856	0	UA_without_intermeidate	ward_and_allport	89	2.0	poldrack-single-stim		s633	False	
25.174	23.685	0.7817886597938144	0	UA_without_intermeidate	ward_and_allport	71	2.0	poldrack-single-stim	82192,82872,83552	s633	False	
26.061	25.176	0.17778865979381442	0	UA_without_intermeidate	ward_and_allport	89	2.0	poldrack-single-stim	84232	s633	False	
26.55	26.064	-0.22121134020618557	0	UA_without_intermeidate	ward_and_allport	71	2.0	poldrack-single-stim	84912	s633	False	
26.907	26.552	-0.3522113402061856	0	UA_without_intermeidate	ward_and_allport	89	2.0	poldrack-single-stim		s633	False	
26.911	26.912	-0.7082113402061856	0	UA_without_intermeidate	ward_and_allport	-1	2.0	poldrack-single-stim	85593,86273,86952	s633	True	
31.27	29.115	1.4477886597938145	1	UA_without_intermeidate	ward_and_allport	71	3.0	poldrack-single-stim	87632,88313,88992	s633	False	2.985
31.622	31.27	-0.35521134020618556	0	UA_without_intermeidate	ward_and_allport	89	3.0	poldrack-single-stim	89674	s633	False	
32.891	31.625	0.5587886597938144	0	UA_without_intermeidate	ward_and_allport	82	3.0	poldrack-single-stim	90352,91031	s633	False	
33.237	32.891	-0.36121134020618556	0	UA_without_intermeidate	ward_and_allport	89	3.0	poldrack-single-stim		s633	False	
33.52	33.24	-0.42721134020618556	0	UA_without_intermeidate	ward_and_allport	71	3.0	poldrack-single-stim	91711	s633	False	
33.794	33.521	-0.43421134020618557	0	UA_without_intermeidate	ward_and_allport	89	3.0	poldrack-single-stim		s633	False	
33.8	33.801	-0.7082113402061856	0	UA_without_intermeidate	ward_and_allport	-1	3.0	poldrack-single-stim	92391,93071,93751	s633	True	
44.423	37.809	5.906788659793814	1	PA_with_intermediate	ward_and_allport	82	0.0	poldrack-single-stim	95792,96471,97152,97831,98512,99192,99872,100551,101232,101912,102592	s633	False	2.985
44.768	44.425	-0.36421134020618556	0	PA_with_intermediate	ward_and_allport	89	0.0	poldrack-single-stim		s633	False	
46.282	44.77	0.8047886597938144	0	PA_with_intermediate	ward_and_allport	82	0.0	poldrack-single-stim	103272,103952,104632	s633	False	
46.771	46.284	-0.22021134020618557	0	PA_with_intermediate	ward_and_allport	71	0.0	poldrack-single-stim		s633	False	
47.35	46.772	-0.12921134020618558	0	PA_with_intermediate	ward_and_allport	89	0.0	poldrack-single-stim	105312	s633	False	
