movement_onset	onset	duration	response_time	condition	correct	experiment_exp_id	key_press	trial_type	worker_id	junk
5.765	4.513	1.47	-0.11158895705521474	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
10.154	8.657	1.47	0.13341104294478526	AY	1.0	dot_pattern_expectancy	71.0	AY	s641	False
14.021	12.664	1.47	-0.006588957055214735	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
18.367	17.214	1.47	-0.21058895705521474	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
22.719	21.494	1.47	-0.13858895705521473	BX	1.0	dot_pattern_expectancy	71.0	BX	s641	False
27.09	25.636	1.47	0.09041104294478526	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
31.117	29.78	1.47	-0.026588957055214735	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
35.226	33.788	1.47	0.07441104294478526	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
39.328	37.796	1.47	0.16841104294478526	AY	1.0	dot_pattern_expectancy	71.0	AY	s641	False
43.653	42.346	1.47	-0.05658895705521474	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
48.751	47.304	1.47	0.08341104294478527	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
53.088	51.72	1.47	0.004411042944785265	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
57.214	55.727	1.47	0.12341104294478526	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
61.384	60.14	1.47	-0.11958895705521473	BX	1.0	dot_pattern_expectancy	71.0	BX	s641	False
66.182	64.827	1.47	-0.008588957055214735	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
70.062	68.834	1.47	-0.13558895705521473	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
74.435	73.25	1.47	-0.17858895705521474	BX	1.0	dot_pattern_expectancy	71.0	BX	s641	False
79.807	78.073	1.47	0.3704110429447853	AY	1.0	dot_pattern_expectancy	71.0	AY	s641	False
84.166	82.897	1.47	-0.09458895705521474	BX	1.0	dot_pattern_expectancy	71.0	BX	s641	False
88.492	87.041	1.47	0.08741104294478527	AY	1.0	dot_pattern_expectancy	71.0	AY	s641	False
92.458	91.048	1.47	0.046411042944785263	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
96.776	95.464	1.47	-0.05158895705521473	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
101.151	99.471	1.47	0.3164110429447853	AY	1.0	dot_pattern_expectancy	71.0	AY	s641	False
105.712	104.294	1.47	0.054411042944785264	AX	0.0	dot_pattern_expectancy	71.0	AX	s641	True
109.907	108.302	1.47	0.24141104294478527	AY	1.0	dot_pattern_expectancy	71.0	AY	s641	False
115.043	113.534	1.47	0.14541104294478527	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
