onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stop_response	stopped	trial_type	worker_id	junk
3.01	0.56	0.18753149606299213	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
5.264	0.56	0.07153149606299213	150.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
7.516	0.56	0.5725314960629921	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	s641	False
9.869	0.56	-0.4504685039370079	150.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	s641	False
12.422	0.56	0.11853149606299213	200.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
15.374	0.56	-0.4504685039370079	200.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	s641	False
17.627	0.56	0.07753149606299212	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
19.979	0.56	0.11753149606299212	250.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
22.533	0.56	-0.00046850393700788117	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	s641	False
24.785	0.56	-0.0014685039370078811	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	s641	False
27.137	0.56	-0.01346850393700788	250.0	0.0	motor_selective_stop_signal	89.0	True	89.0	False	noncrit_signal	s641	True
29.69	0.56	0.023531496062992117	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	s641	False
32.142	0.56	0.05053149606299212	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
34.495	0.56	-0.012468503937007882	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
37.148	0.56	0.03653149606299212	250.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
39.7	0.56	-0.0054685039370078814	250.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	s641	False
42.453	0.56	-0.06746850393700789	200.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	s641	False
45.006	0.56	0.4025314960629921	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	s641	False
47.459	0.56	0.06853149606299212	150.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
50.211	0.56	0.1585314960629921	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
52.764	0.56	0.20953149606299212	150.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	s641	False
55.116	0.56	0.10653149606299211	100.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
57.369	0.56	0.11153149606299212	100.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
60.022	0.56	-0.4504685039370079	100.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	s641	False
62.274	0.56	0.18353149606299213	150.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
64.627	0.56	0.03653149606299212	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
66.88	0.56	0.001531496062992119	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
69.232	0.56	0.02853149606299212	150.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
71.584	0.56	-0.13346850393700788	150.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
73.836	0.56	0.37553149606299213	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	s641	False
76.689	0.56	0.12653149606299213	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
79.042	0.56	0.10753149606299212	150.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
81.294	0.56	0.037531496062992116	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
83.646	0.56	0.1335314960629921	150.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
86.098	0.56	0.1675314960629921	150.0	0.0	motor_selective_stop_signal	71.0	True	89.0	False	crit_stop_failure	s641	True
88.351	0.56	0.2205314960629921	100.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	s641	False
90.603	0.56	0.03553149606299212	100.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
93.355	0.56	0.03453149606299212	100.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	s641	False
95.708	0.56	0.014531496062992118	100.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
98.46	0.56	0.09453149606299212	100.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
100.912	0.56	-0.01646850393700788	100.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
103.165	0.56	-0.06546850393700789	100.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	s641	False
105.517	0.56	-0.01746850393700788	50.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
108.17	0.56	-0.4504685039370079	50.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	s641	False
110.623	0.56	0.17453149606299212	100.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
112.875	0.56	0.05053149606299212	100.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	s641	False
115.228	0.56	0.02553149606299212	100.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	s641	False
118.18	0.56	0.24453149606299213	100.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
120.432	0.56	0.20053149606299212	100.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
123.385	0.56	0.04353149606299212	100.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	s641	False
124.838	0.56	-0.4504685039370079		0.0	motor_selective_stop_signal	-1.0	True		True		s641	True
136.346	0.56	0.10153149606299212	100.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	s641	False
138.597	0.56	-0.05446850393700788	50.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	s641	False
140.95	0.56	-0.03746850393700788	50.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
143.403	0.56	-0.4504685039370079	50.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	s641	False
145.656	0.56	0.0025314960629921187	100.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	s641	False
148.108	0.56	0.11153149606299212	100.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
150.861	0.56	0.1645314960629921	100.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	s641	False
153.113	0.56	0.08053149606299212	100.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	s641	False
