onset	duration	response_time	condition	correct	experiment_exp_id	key_press	stim_color	stim_word	trial_type	worker_id	junk
3.511	0.638	0.007052083333333371	incongruent	1.0	stroop	89	red	green	incongruent	s641	False
5.513	0.638	0.3120520833333334	congruent	1.0	stroop	82	green	green	congruent	s641	False
7.516	0.638	-0.18894791666666663	incongruent	1.0	stroop	71	blue	green	incongruent	s641	False
9.791	0.638	-0.20694791666666662	incongruent	1.0	stroop	89	red	blue	incongruent	s641	False
11.793	0.638	-0.11894791666666663	congruent	1.0	stroop	89	red	red	congruent	s641	False
13.931	0.638	5.208333333337123e-05	congruent	1.0	stroop	71	blue	blue	congruent	s641	False
15.934	0.638	-0.11494791666666662	congruent	1.0	stroop	82	green	green	congruent	s641	False
18.072	0.638	-0.16494791666666664	congruent	1.0	stroop	89	red	red	congruent	s641	False
20.075	0.638	-0.16994791666666662	congruent	1.0	stroop	71	blue	blue	congruent	s641	False
22.078	0.638	-0.05094791666666663	incongruent	1.0	stroop	82	green	blue	incongruent	s641	False
24.08	0.638	0.03505208333333337	incongruent	1.0	stroop	89	red	blue	incongruent	s641	False
26.355	0.638	0.21405208333333337	incongruent	1.0	stroop	82	green	red	incongruent	s641	False
28.357	0.638	-0.03194791666666663	incongruent	1.0	stroop	82	green	red	incongruent	s641	False
30.496	0.638	-0.15494791666666663	congruent	1.0	stroop	71	blue	blue	congruent	s641	False
32.906	0.638	0.045052083333333375	incongruent	1.0	stroop	82	green	red	incongruent	s641	False
35.181	0.638	0.09505208333333337	congruent	1.0	stroop	71	blue	blue	congruent	s641	False
37.863	0.638	-0.05794791666666663	congruent	1.0	stroop	82	green	green	congruent	s641	False
39.866	0.638	0.007052083333333371	congruent	1.0	stroop	71	blue	blue	congruent	s641	False
42.277	0.638	-0.10794791666666663	congruent	1.0	stroop	89	red	red	congruent	s641	False
44.415	0.638	0.01705208333333337	incongruent	1.0	stroop	71	blue	red	incongruent	s641	False
47.098	0.638	0.03505208333333337	incongruent	1.0	stroop	89	red	green	incongruent	s641	False
49.1	0.638	0.18405208333333337	incongruent	1.0	stroop	71	blue	green	incongruent	s641	False
51.238	0.638	0.12405208333333337	congruent	1.0	stroop	71	blue	blue	congruent	s641	False
54.192	0.638	-0.04994791666666663	incongruent	1.0	stroop	82	green	blue	incongruent	s641	False
56.195	0.638	0.11105208333333337	incongruent	1.0	stroop	71	blue	green	incongruent	s641	False
58.47	0.638	0.10405208333333336	incongruent	1.0	stroop	71	blue	red	incongruent	s641	False
60.472	0.638	5.208333333337123e-05	congruent	1.0	stroop	89	red	red	congruent	s641	False
62.475	0.638	-0.014947916666666628	congruent	1.0	stroop	71	blue	blue	congruent	s641	False
64.477	0.638	-0.15494791666666663	incongruent	1.0	stroop	82	green	blue	incongruent	s641	False
66.479	0.638	-0.02594791666666663	congruent	1.0	stroop	89	red	red	congruent	s641	False
68.618	0.638	-0.02594791666666663	congruent	1.0	stroop	82	green	green	congruent	s641	False
70.62	0.638	0.05705208333333337	incongruent	1.0	stroop	71	blue	red	incongruent	s641	False
72.623	0.638	0.09805208333333337	congruent	1.0	stroop	82	green	green	congruent	s641	False
74.762	0.638	-0.008947916666666628	incongruent	1.0	stroop	89	red	blue	incongruent	s641	False
76.764	0.638	0.07405208333333337	incongruent	1.0	stroop	82	green	blue	incongruent	s641	False
78.767	0.638	-0.05894791666666663	incongruent	1.0	stroop	71	blue	red	incongruent	s641	False
80.906	0.638	-0.030947916666666627	congruent	1.0	stroop	82	green	green	congruent	s641	False
83.044	0.638	-0.06894791666666662	congruent	1.0	stroop	82	green	green	congruent	s641	False
85.318	0.638	-0.03794791666666663	incongruent	1.0	stroop	82	green	red	incongruent	s641	False
88.001	0.638	-0.08494791666666662	congruent	1.0	stroop	82	green	green	congruent	s641	False
90.003	0.638	0.04205208333333337	congruent	1.0	stroop	71	blue	blue	congruent	s641	False
92.006	0.638	-0.07794791666666663	incongruent	1.0	stroop	71	blue	red	incongruent	s641	False
94.28	0.638	-0.027947916666666628	incongruent	1.0	stroop	82	green	blue	incongruent	s641	False
96.283	0.638	-0.05494791666666663	congruent	1.0	stroop	71	blue	blue	congruent	s641	False
98.285	0.638	-0.13694791666666664	incongruent	1.0	stroop	89	red	green	incongruent	s641	False
100.288	0.638	-0.030947916666666627	incongruent	1.0	stroop	89	red	blue	incongruent	s641	False
102.29	0.638	-0.09094791666666663	incongruent	1.0	stroop	89	red	green	incongruent	s641	False
104.293	0.638	-0.12194791666666663	incongruent	1.0	stroop	89	red	green	incongruent	s641	False
106.295	0.638	-0.030947916666666627	congruent	1.0	stroop	82	green	green	congruent	s641	False
108.57	0.638	-0.06694791666666663	incongruent	1.0	stroop	71	blue	green	incongruent	s641	False
