movement_onset	onset	duration	response_time	CTI	correct	cue	cue_switch	experiment_exp_id	key_press	stim_color	stim_number	switch_type	task	task_switch	trial_type	worker_id	junk
5.617	3.517	0.795	1.1364	100.0	True	Orange-Blue	stay	twobytwo	89.0	orange	7.0	cue_stay	color	stay	poldrack-single-stim	s649	False
8.359	6.847	1.595	-0.25160000000000005	900.0	True	High-Low		twobytwo	89.0	orange	7.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
11.456	10.161	1.595	-0.4686	900.0	True	Orange-Blue		twobytwo	71.0	#1F45FC	2.0	task_switch	color	switch	poldrack-single-stim	s649	False
16.065	13.881	1.595	0.4204	900.0	True	Magnitude		twobytwo	71.0	orange	1.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
18.027	17.195	0.795	-0.13160000000000002	100.0	True	Color		twobytwo	71.0	#1F45FC	6.0	task_switch	color	switch	poldrack-single-stim	s649	False
21.335	19.436	1.595	0.13539999999999996	900.0	True	Color	stay	twobytwo	71.0	#1F45FC	8.0	cue_stay	color	stay	poldrack-single-stim	s649	False
23.962	22.477	1.595	-0.2786	900.0	True	Orange-Blue	switch	twobytwo	71.0	#1F45FC	2.0	cue_switch	color	stay	poldrack-single-stim	s649	False
27.132	25.382	1.595	-0.013600000000000024	900.0	True	Color	switch	twobytwo	89.0	orange	1.0	cue_switch	color	stay	poldrack-single-stim	s649	False
29.718	28.288	1.595	-0.3336	900.0	True	High-Low		twobytwo	71.0	#1F45FC	4.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
31.564	31.465	0.795	-0.8646	100.0	False	Orange-Blue		twobytwo	-1.0	orange	8.0	task_switch	color	switch	poldrack-single-stim	s649	True
36.281	33.979	1.595	0.5384	900.0	True	High-Low		twobytwo	71.0	#1F45FC	2.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
37.702	36.885	0.795	-0.14660000000000004	100.0	True	Magnitude	switch	twobytwo	89.0	#1F45FC	7.0	cue_switch	magnitude	stay	poldrack-single-stim	s649	False
41.336	39.127	1.595	0.44539999999999996	900.0	False	Orange-Blue		twobytwo	71.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	s649	True
43.278	42.033	0.795	0.2814	100.0	True	High-Low		twobytwo	71.0	orange	1.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
46.088	44.545	1.595	-0.22060000000000002	900.0	True	Magnitude	switch	twobytwo	89.0	#1F45FC	9.0	cue_switch	magnitude	stay	poldrack-single-stim	s649	False
50.605	47.722	1.595	1.1194000000000002	900.0	True	Color		twobytwo	71.0	#1F45FC	7.0	task_switch	color	switch	poldrack-single-stim	s649	False
52.129	50.626	0.795	0.5394	100.0	True	Orange-Blue	switch	twobytwo	71.0	#1F45FC	8.0	cue_switch	color	stay	poldrack-single-stim	s649	False
54.629	53.004	1.595	-0.13860000000000003	900.0	True	Magnitude		twobytwo	71.0	#1F45FC	4.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
58.003	55.909	1.595	0.33039999999999997	900.0	True	Color		twobytwo	89.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	s649	False
60.47	58.814	1.595	-0.10760000000000003	900.0	True	Color	stay	twobytwo	71.0	#1F45FC	9.0	cue_stay	color	stay	poldrack-single-stim	s649	False
63.198	61.991	0.795	0.24339999999999998	100.0	True	High-Low		twobytwo	89.0	#1F45FC	7.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
65.657	64.232	1.595	-0.3386	900.0	False	Color		twobytwo	71.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	s649	True
68.453	67.138	0.795	0.3514	100.0	True	Color	stay	twobytwo	71.0	#1F45FC	2.0	cue_stay	color	stay	poldrack-single-stim	s649	False
70.884	69.243	1.595	-0.12260000000000003	900.0	True	Magnitude		twobytwo	71.0	orange	3.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
73.78	72.149	1.595	-0.13260000000000002	900.0	True	High-Low	switch	twobytwo	89.0	#1F45FC	6.0	cue_switch	magnitude	stay	poldrack-single-stim	s649	False
76.482	75.054	0.795	0.4644	100.0	True	High-Low	stay	twobytwo	71.0	orange	3.0	cue_stay	magnitude	stay	poldrack-single-stim	s649	False
78.298	77.159	0.795	0.17539999999999997	100.0	False	Color		twobytwo	71.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	s649	True
80.628	79.4	0.795	0.26439999999999997	100.0	True	Color	stay	twobytwo	89.0	orange	6.0	cue_stay	color	stay	poldrack-single-stim	s649	False
83.552	81.506	1.595	0.2824	900.0	True	High-Low		twobytwo	71.0	orange	2.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
85.476	84.41	0.795	0.10239999999999998	100.0	True	Magnitude	switch	twobytwo	71.0	orange	2.0	cue_switch	magnitude	stay	poldrack-single-stim	s649	False
