,Unnamed: 0,Unnamed: 0.1,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
0,0,7,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",1392,,-89791,probe,0.0,poldrack-single-stim,s061
1,1,11,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",876,,-84279,probe,1.0,poldrack-single-stim,s061
2,2,15,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",1248,,-79769,probe,2.0,poldrack-single-stim,s061
3,3,19,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",508,,-74661,probe,3.0,poldrack-single-stim,s061
4,4,23,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",848,,-70152,probe,4.0,poldrack-single-stim,s061
5,5,27,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",612,,-65642,probe,5.0,poldrack-single-stim,s061
6,6,31,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",518,,-60336,probe,6.0,poldrack-single-stim,s061
7,7,35,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",856,,-55427,probe,7.0,poldrack-single-stim,s061
8,8,39,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",427,,-50720,probe,8.0,poldrack-single-stim,s061
9,9,43,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",884,,-46213,probe,9.0,poldrack-single-stim,s061
10,10,66,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",785,,7145,probe,0.0,poldrack-single-stim,s061
11,11,69,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",798,,11151,probe,1.0,poldrack-single-stim,s061
12,12,72,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",515,,15700,probe,2.0,poldrack-single-stim,s061
13,13,75,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",547,,19978,probe,3.0,poldrack-single-stim,s061
14,14,78,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",817,,24119,probe,4.0,poldrack-single-stim,s061
15,15,81,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",745,,28261,probe,5.0,poldrack-single-stim,s061
16,16,84,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",793,,32266,probe,6.0,poldrack-single-stim,s061
17,17,87,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",870,,36271,probe,7.0,poldrack-single-stim,s061
18,18,90,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",780,,40821,probe,8.0,poldrack-single-stim,s061
19,19,93,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",572,,45780,probe,9.0,poldrack-single-stim,s061
20,20,96,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",736,,50195,probe,10.0,poldrack-single-stim,s061
21,21,99,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",699,,54202,probe,11.0,poldrack-single-stim,s061
22,22,102,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",716,,58617,probe,12.0,poldrack-single-stim,s061
23,23,105,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",780,,63304,probe,13.0,poldrack-single-stim,s061
24,24,108,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",616,,67310,probe,14.0,poldrack-single-stim,s061
25,25,111,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",383,,71724,probe,15.0,poldrack-single-stim,s061
26,26,114,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",616,,76545,probe,16.0,poldrack-single-stim,s061
27,27,117,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",820,,81366,probe,17.0,poldrack-single-stim,s061
28,28,120,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",712,,85509,probe,18.0,poldrack-single-stim,s061
29,29,123,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",796,,89515,probe,19.0,poldrack-single-stim,s061
30,30,126,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",506,,93929,probe,20.0,poldrack-single-stim,s061
31,31,129,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",549,,97935,probe,21.0,poldrack-single-stim,s061
32,32,132,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",800,,102760,probe,22.0,poldrack-single-stim,s061
33,33,135,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",654,,106766,probe,23.0,poldrack-single-stim,s061
34,34,138,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",691,,111996,probe,24.0,poldrack-single-stim,s061
35,35,141,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",565,,116003,probe,25.0,poldrack-single-stim,s061
36,36,144,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",547,,120146,probe,26.0,poldrack-single-stim,s061
