,Unnamed: 0,Unnamed: 0.1,CTI,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_color,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
0,0,8,900.0,True,89.0,Magnitude,stay,practice,twobytwo,89.0,"89,71",1402.0,#1F45FC,8.0,magnitude,stay,,-156711,stim,0.0,poldrack-categorize,s061
1,1,13,100.0,False,89.0,Magnitude,stay,practice,twobytwo,71.0,"89,71",1469.0,orange,7.0,magnitude,stay,,-153094,stim,1.0,poldrack-categorize,s061
2,2,18,900.0,True,71.0,Color,,practice,twobytwo,71.0,"89,71",901.0,orange,3.0,color,switch,,-148679,stim,2.0,poldrack-categorize,s061
3,3,23,100.0,True,71.0,Orange-Blue,switch,practice,twobytwo,71.0,"89,71",1059.0,orange,2.0,color,stay,,-145060,stim,3.0,poldrack-categorize,s061
4,4,28,900.0,True,89.0,Color,switch,practice,twobytwo,89.0,"89,71",761.0,#1F45FC,8.0,color,stay,,-140646,stim,4.0,poldrack-categorize,s061
5,5,33,100.0,True,71.0,Magnitude,,practice,twobytwo,71.0,"89,71",1206.0,#1F45FC,2.0,magnitude,switch,,-137031,stim,5.0,poldrack-categorize,s061
6,6,38,100.0,True,71.0,Color,,practice,twobytwo,71.0,"89,71",953.0,orange,9.0,color,switch,,-133412,stim,6.0,poldrack-categorize,s061
7,7,43,900.0,True,71.0,High-Low,,practice,twobytwo,71.0,"89,71",1153.0,orange,3.0,magnitude,switch,,-128996,stim,7.0,poldrack-categorize,s061
8,8,48,900.0,True,89.0,High-Low,stay,practice,twobytwo,89.0,"89,71",1119.0,orange,8.0,magnitude,stay,,-124578,stim,8.0,poldrack-categorize,s061
9,9,53,100.0,True,89.0,Magnitude,switch,practice,twobytwo,89.0,"89,71",1076.0,orange,7.0,magnitude,stay,,-120960,stim,9.0,poldrack-categorize,s061
10,10,58,100.0,True,89.0,Color,,practice,twobytwo,89.0,"89,71",1264.0,#1F45FC,2.0,color,switch,,-117340,stim,10.0,poldrack-categorize,s061
11,11,63,100.0,True,71.0,High-Low,,practice,twobytwo,71.0,"89,71",1264.0,orange,1.0,magnitude,switch,,-113723,stim,11.0,poldrack-categorize,s061
12,12,68,900.0,True,71.0,Magnitude,switch,practice,twobytwo,71.0,"89,71",946.0,#1F45FC,2.0,magnitude,stay,,-109309,stim,12.0,poldrack-categorize,s061
13,13,73,900.0,True,89.0,Color,,practice,twobytwo,89.0,"89,71",711.0,#1F45FC,8.0,color,switch,,-104890,stim,13.0,poldrack-categorize,s061
14,14,78,900.0,True,89.0,Magnitude,,practice,twobytwo,89.0,"89,71",1016.0,#1F45FC,8.0,magnitude,switch,,-100476,stim,14.0,poldrack-categorize,s061
15,15,83,100.0,True,89.0,Magnitude,stay,practice,twobytwo,89.0,"89,71",1200.0,orange,7.0,magnitude,stay,,-96862,stim,15.0,poldrack-categorize,s061
16,16,107,100.0,True,89.0,Magnitude,stay,test,twobytwo,89.0,"89,71",1098.0,#1F45FC,8.0,magnitude,stay,,6842,stim,0.0,poldrack-single-stim,s061
17,17,110,100.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",1399.0,orange,7.0,color,switch,,9356,stim,1.0,poldrack-single-stim,s061
18,18,113,900.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",739.0,orange,3.0,magnitude,switch,,13079,stim,2.0,poldrack-single-stim,s061
19,19,116,100.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",882.0,orange,2.0,color,switch,,15596,stim,3.0,poldrack-single-stim,s061
20,20,119,900.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",1065.0,#1F45FC,8.0,magnitude,switch,,18641,stim,4.0,poldrack-single-stim,s061
