,action,block_duration,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,stim_duration,text,time_elapsed,total_cards,trial_id,trial_type,which_round,worker_id
23,draw_card,3974.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",12.0,3974.0,3974.0,,6989,,stim,poldrack-single-stim,1.0,s061
24,draw_card,1194.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,2.0,1.0,"89,71",24.0,1194.0,1194.0,,8188,,stim,poldrack-single-stim,1.0,s061
25,draw_card,1384.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,3.0,1.0,"89,71",36.0,1384.0,1384.0,,9576,,stim,poldrack-single-stim,1.0,s061
26,end_round,1131.0,0.0,test,columbia_card_task_fmri,12.0,71.0,-70.0,6.0,3.0,1.0,"89,71",36.0,1131.0,1131.0,,10711,3.0,stim,poldrack-single-stim,1.0,s061
28,draw_card,6097.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",14.0,6097.0,6097.0,,19270,,stim,poldrack-single-stim,2.0,s061
29,draw_card,1282.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,2.0,1.0,"89,71",28.0,1282.0,1282.0,,20557,,stim,poldrack-single-stim,2.0,s061
30,end_round,1956.0,0.0,test,columbia_card_task_fmri,14.0,71.0,-75.0,6.0,2.0,1.0,"89,71",28.0,1956.0,1956.0,,22516,2.0,stim,poldrack-single-stim,2.0,s061
32,draw_card,4270.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",15.0,4270.0,4270.0,,29247,,stim,poldrack-single-stim,3.0,s061
33,end_round,2451.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-70.0,6.0,1.0,1.0,"89,71",15.0,2451.0,2451.0,,31700,1.0,stim,poldrack-single-stim,3.0,s061
35,draw_card,3069.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",17.0,3069.0,3069.0,,37298,,stim,poldrack-single-stim,4.0,s061
36,draw_card,1139.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,2.0,1.0,"89,71",34.0,1139.0,1139.0,,38440,,stim,poldrack-single-stim,4.0,s061
