,SS_delay,SS_duration,SS_stimulus,SS_trial_type,correct,correct_response,exp_stage,experiment_exp_id,key_press,passed_check,possible_responses,rt,stopped,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
5,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",1103,False,,-75458,stim,0.0,poldrack-categorize,s130
6,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",918,False,,-72851,stim,1.0,poldrack-categorize,s130
7,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",785,False,,-70247,stim,2.0,poldrack-categorize,s130
8,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",578,False,,-67641,stim,3.0,poldrack-categorize,s130
9,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",599,False,,-65036,stim,4.0,poldrack-categorize,s130
10,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",486,False,,-62431,stim,5.0,poldrack-categorize,s130
11,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",519,False,,-59826,stim,6.0,poldrack-categorize,s130
12,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",546,False,,-57223,stim,7.0,poldrack-categorize,s130
13,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",546,False,,-54617,stim,8.0,poldrack-categorize,s130
14,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",510,False,,-52012,stim,9.0,poldrack-categorize,s130
15,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",591,False,,-49408,stim,10.0,poldrack-categorize,s130
16,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",587,False,,-46803,stim,11.0,poldrack-categorize,s130
36,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,1.0,71.0,test,stop_signal,71.0,True,"89,71",597,False,,6075,stim,0.0,stop-signal,s130
37,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,0.0,89.0,test,stop_signal,-1.0,True,"89,71",-1,True,,8328,stim,1.0,stop-signal,s130
38,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",571,False,,10717,stim,2.0,stop-signal,s130
39,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,0.0,71.0,test,stop_signal,-1.0,True,"89,71",-1,True,,13105,stim,3.0,stop-signal,s130
40,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,71.0,test,stop_signal,71.0,True,"89,71",553,False,,15629,stim,4.0,stop-signal,s130
41,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",768,False,,18018,stim,5.0,stop-signal,s130
42,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",581,False,,20407,stim,6.0,stop-signal,s130
43,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,0.0,89.0,test,stop_signal,-1.0,True,"89,71",-1,True,,23203,stim,7.0,stop-signal,s130
44,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",541,False,,25592,stim,8.0,stop-signal,s130
45,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,1.0,71.0,test,stop_signal,71.0,True,"89,71",531,False,,27846,stim,9.0,stop-signal,s130
46,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,0.0,71.0,test,stop_signal,-1.0,True,"89,71",-1,True,,30371,stim,10.0,stop-signal,s130
47,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,1.0,71.0,test,stop_signal,71.0,True,"89,71",630,False,,32759,stim,11.0,stop-signal,s130
48,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",613,False,,35149,stim,12.0,stop-signal,s130
49,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,0.0,71.0,test,stop_signal,-1.0,True,"89,71",-1,True,,37401,stim,13.0,stop-signal,s130
50,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",714,False,,39789,stim,14.0,stop-signal,s130
51,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,71.0,test,stop_signal,71.0,True,"89,71",855,False,,42042,stim,15.0,stop-signal,s130
52,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,0.0,71.0,test,stop_signal,-1.0,True,"89,71",-1,True,,44294,stim,16.0,stop-signal,s130
53,450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",567,False,,46547,stim,17.0,stop-signal,s130
54,450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,71.0,test,stop_signal,71.0,True,"89,71",760,False,,48936,stim,18.0,stop-signal,s130
