,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,text,time_elapsed,trial_id,trial_type,worker_id
4,,practice,discount_fixed,71,,,"89,71",1435,,,-43115,stim,poldrack-single-stim,s172
24,smaller_sooner,,discount_fixed,71,74.0,121.0,"89,71",1242,20.0,,7577,,poldrack-single-stim,s172
25,smaller_sooner,,discount_fixed,71,45.0,107.0,"89,71",990,20.0,,12352,,poldrack-single-stim,s172
26,larger_later,,discount_fixed,89,77.0,24.0,"89,71",860,20.0,,16990,,poldrack-single-stim,s172
27,smaller_sooner,,discount_fixed,71,39.0,161.0,"89,71",1284,20.0,,21560,,poldrack-single-stim,s172
28,larger_later,,discount_fixed,89,62.0,180.0,"89,71",788,20.0,,27013,,poldrack-single-stim,s172
29,smaller_sooner,,discount_fixed,71,24.0,139.0,"89,71",1322,20.0,,32400,,poldrack-single-stim,s172
30,smaller_sooner,,discount_fixed,71,58.0,72.0,"89,71",1836,20.0,,36970,,poldrack-single-stim,s172
31,smaller_sooner,,discount_fixed,71,56.0,93.0,"89,71",1339,20.0,,43241,,poldrack-single-stim,s172
32,larger_later,,discount_fixed,89,45.0,26.0,"89,71",1263,20.0,,48763,,poldrack-single-stim,s172
33,smaller_sooner,,discount_fixed,71,23.0,42.0,"89,71",1195,20.0,,53333,,poldrack-single-stim,s172
34,smaller_sooner,,discount_fixed,71,50.0,41.0,"89,71",1771,20.0,,57972,,poldrack-single-stim,s172
35,larger_later,,discount_fixed,89,25.0,176.0,"89,71",888,20.0,,62609,,poldrack-single-stim,s172
36,larger_later,,discount_fixed,89,54.0,22.0,"89,71",1702,20.0,,67723,,poldrack-single-stim,s172
37,smaller_sooner,,discount_fixed,71,29.0,44.0,"89,71",1096,20.0,,73041,,poldrack-single-stim,s172
38,smaller_sooner,,discount_fixed,71,24.0,89.0,"89,71",1226,20.0,,77612,,poldrack-single-stim,s172
39,smaller_sooner,,discount_fixed,71,23.0,77.0,"89,71",1288,20.0,,82182,,poldrack-single-stim,s172
40,smaller_sooner,,discount_fixed,71,27.0,130.0,"89,71",1225,20.0,,86752,,poldrack-single-stim,s172
41,smaller_sooner,,discount_fixed,71,23.0,134.0,"89,71",1186,20.0,,91595,,poldrack-single-stim,s172
42,smaller_sooner,,discount_fixed,71,55.0,107.0,"89,71",1652,20.0,,96097,,poldrack-single-stim,s172
43,smaller_sooner,,discount_fixed,71,44.0,143.0,"89,71",997,20.0,,101755,,poldrack-single-stim,s172
44,smaller_sooner,,discount_fixed,71,23.0,110.0,"89,71",1307,20.0,,106666,,poldrack-single-stim,s172
45,smaller_sooner,,discount_fixed,71,65.0,156.0,"89,71",1228,20.0,,111304,,poldrack-single-stim,s172
46,smaller_sooner,,discount_fixed,71,22.0,27.0,"89,71",1907,20.0,,115805,,poldrack-single-stim,s172
47,larger_later,,discount_fixed,89,50.0,59.0,"89,71",1547,20.0,,120307,,poldrack-single-stim,s172
48,smaller_sooner,,discount_fixed,71,85.0,129.0,"89,71",1054,20.0,,125421,,poldrack-single-stim,s172
