,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_color,stim_word,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
5,incongruent,1.0,89.0,practice,stroop,89,"89,71,82",622,red,blue,,-51350,stim,1.0,poldrack-categorize,s172
7,incongruent,1.0,71.0,practice,stroop,71,"89,71,82",394,blue,green,,-49094,stim,2.0,poldrack-categorize,s172
9,incongruent,1.0,82.0,practice,stroop,82,"89,71,82",475,green,red,,-46838,stim,3.0,poldrack-categorize,s172
11,congruent,1.0,71.0,practice,stroop,71,"89,71,82",580,blue,blue,,-44582,stim,4.0,poldrack-categorize,s172
13,incongruent,1.0,82.0,practice,stroop,82,"89,71,82",529,green,blue,,-42326,stim,5.0,poldrack-categorize,s172
15,congruent,1.0,82.0,practice,stroop,82,"89,71,82",631,green,green,,-40071,stim,6.0,poldrack-categorize,s172
17,incongruent,1.0,89.0,practice,stroop,89,"89,71,82",450,red,green,,-37815,stim,7.0,poldrack-categorize,s172
19,congruent,1.0,89.0,practice,stroop,89,"89,71,82",560,red,red,,-35560,stim,8.0,poldrack-categorize,s172
21,incongruent,1.0,71.0,practice,stroop,71,"89,71,82",457,blue,red,,-33304,stim,9.0,poldrack-categorize,s172
43,congruent,1.0,82.0,test,stroop,82,"89,71,82",563,green,green,,5782,stim,0.0,poldrack-single-stim,s172
44,incongruent,1.0,71.0,test,stroop,71,"89,71,82",408,blue,red,,7784,stim,1.0,poldrack-single-stim,s172
45,congruent,1.0,71.0,test,stroop,71,"89,71,82",473,blue,blue,,10193,stim,2.0,poldrack-single-stim,s172
46,congruent,1.0,82.0,test,stroop,82,"89,71,82",545,green,green,,12195,stim,3.0,poldrack-single-stim,s172
47,congruent,1.0,71.0,test,stroop,71,"89,71,82",516,blue,blue,,14333,stim,4.0,poldrack-single-stim,s172
48,congruent,1.0,82.0,test,stroop,82,"89,71,82",562,green,green,,16336,stim,5.0,poldrack-single-stim,s172
49,congruent,1.0,71.0,test,stroop,71,"89,71,82",466,blue,blue,,18337,stim,6.0,poldrack-single-stim,s172
50,incongruent,1.0,82.0,test,stroop,82,"89,71,82",570,green,blue,,20340,stim,7.0,poldrack-single-stim,s172
51,congruent,1.0,89.0,test,stroop,89,"89,71,82",384,red,red,,22615,stim,8.0,poldrack-single-stim,s172
52,incongruent,1.0,71.0,test,stroop,71,"89,71,82",446,blue,red,,24617,stim,9.0,poldrack-single-stim,s172
53,incongruent,1.0,82.0,test,stroop,82,"89,71,82",562,green,red,,26891,stim,10.0,poldrack-single-stim,s172
54,incongruent,1.0,82.0,test,stroop,82,"89,71,82",645,green,blue,,29166,stim,11.0,poldrack-single-stim,s172
55,incongruent,1.0,71.0,test,stroop,71,"89,71,82",657,blue,red,,31168,stim,12.0,poldrack-single-stim,s172
56,congruent,1.0,71.0,test,stroop,71,"89,71,82",514,blue,blue,,33850,stim,13.0,poldrack-single-stim,s172
57,incongruent,1.0,82.0,test,stroop,82,"89,71,82",631,green,red,,35853,stim,14.0,poldrack-single-stim,s172
58,congruent,1.0,82.0,test,stroop,82,"89,71,82",460,green,green,,38127,stim,15.0,poldrack-single-stim,s172
59,congruent,1.0,89.0,test,stroop,89,"89,71,82",425,red,red,,40129,stim,16.0,poldrack-single-stim,s172
60,congruent,1.0,71.0,test,stroop,71,"89,71,82",536,blue,blue,,42131,stim,17.0,poldrack-single-stim,s172
61,incongruent,1.0,89.0,test,stroop,89,"89,71,82",389,red,green,,44406,stim,18.0,poldrack-single-stim,s172
62,congruent,1.0,71.0,test,stroop,71,"89,71,82",402,blue,blue,,46544,stim,19.0,poldrack-single-stim,s172
63,congruent,1.0,82.0,test,stroop,82,"89,71,82",417,green,green,,49089,stim,20.0,poldrack-single-stim,s172
64,incongruent,1.0,89.0,test,stroop,89,"89,71,82",554,red,blue,,51500,stim,21.0,poldrack-single-stim,s172
65,incongruent,1.0,89.0,test,stroop,89,"89,71,82",435,red,green,,53501,stim,22.0,poldrack-single-stim,s172
66,incongruent,1.0,89.0,test,stroop,89,"89,71,82",689,red,green,,55503,stim,23.0,poldrack-single-stim,s172
