,coded_response,experiment_exp_id,item_coding,item_text,key_press,options,possible_responses,response,rt,survey,text,time_elapsed,trial_id,trial_type,worker_id
6,,survey_medley,,,32,,32,,23113,,,-35957,instruction,poldrack-single-stim,s172
25,5.0,survey_medley,forward,I refuse things that are bad for me.,77,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",5.0,3946,brief,,10141,,poldrack-single-stim,s172
26,3.0,survey_medley,reverse,I have a hard time breaking bad habits.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",3.0,1823,brief,,19756,,poldrack-single-stim,s172
27,4.0,survey_medley,reverse,I have trouble concentrating.,89,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",2.0,1924,brief,,29370,,poldrack-single-stim,s172
28,5.0,survey_medley,reverse,I say inappropriate things.,66,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",1.0,1763,brief,,39664,,poldrack-single-stim,s172
29,4.0,survey_medley,forward,I could do anything I want in the future.,82,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",4.0,3361,future_time,,49755,,poldrack-single-stim,s172
30,2.0,survey_medley,forward,"Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.",89,"<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","66,89,71,82",2.0,5492,upps,,58825,,poldrack-single-stim,s172
31,5.0,survey_medley,reverse,I have difficulty maintaining my focus on projects that take more than a few months to complete.,66,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",1.0,4407,grit,,68983,,poldrack-single-stim,s172
32,4.0,survey_medley,forward,I am a hard worker.,82,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",4.0,1364,grit,,78869,,poldrack-single-stim,s172
33,4.0,survey_medley,reverse,New ideas and projects sometimes distract me from previous ones.,89,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",2.0,2525,grit,,88551,,poldrack-single-stim,s172
