block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
4509.0,UA_with_intermeidate,,"1,0,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,1.0,"89,71",0.0,,4509,"1,0,0,2,3,0,0,0,0",4509.0,,7518,0.0,to_hand,poldrack-single-stim,s234
890.0,UA_with_intermeidate,,"1,0,0,2,3,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,1.0,"89,71,82",0.0,,890,"1,0,0,2,3,0,0,0,0",890.0,,8409,0.0,to_board,poldrack-single-stim,s234
477.0,UA_with_intermeidate,,"1,0,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,2.0,"89,71",0.0,,477,"1,0,0,2,3,0,0,0,0",477.0,,8889,0.0,to_hand,poldrack-single-stim,s234
633.0,UA_with_intermeidate,,"1,0,0,2,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",0.0,,633,"1,0,0,2,3,0,0,0,0",633.0,,9523,0.0,to_board,poldrack-single-stim,s234
717.0,UA_with_intermeidate,,"1,0,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,3.0,"89,71,82",0.0,,717,"1,0,0,2,3,0,0,0,0",717.0,,10241,0.0,to_hand,poldrack-single-stim,s234
918.0,UA_with_intermeidate,,"1,2,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",0.0,,918,"1,0,0,2,3,0,0,0,0",918.0,,11160,0.0,to_board,poldrack-single-stim,s234
776.0,UA_with_intermeidate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,4.0,"89,82",0.0,,776,"1,0,0,2,3,0,0,0,0",776.0,,11938,0.0,to_hand,poldrack-single-stim,s234
579.0,UA_with_intermeidate,,"1,2,3,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,4.0,"89,71,82",0.0,,579,"1,0,0,2,3,0,0,0,0",579.0,,12518,0.0,to_board,poldrack-single-stim,s234
2500.0,UA_with_intermeidate,True,,practice,ward_and_allport,,-1,3.0,4.0,none,0.0,12515.0,-1,,1000.0,,15021,0.0,feedback,poldrack-single-stim,s234
4713.0,UA_with_intermeidate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,1.0,"89,71",1.0,,4713,"1,2,0,3,0,0,0,0,0",4713.0,,19736,0.0,to_hand,poldrack-single-stim,s234
534.0,UA_with_intermeidate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",1.0,,534,"1,2,0,3,0,0,0,0,0",534.0,,20270,0.0,to_board,poldrack-single-stim,s234
742.0,UA_with_intermeidate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",71,3.0,2.0,"89,71,82",1.0,,742,"1,2,0,3,0,0,0,0,0",742.0,,21013,0.0,to_hand,poldrack-single-stim,s234
379.0,UA_with_intermeidate,,"1,3,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",1.0,,379,"1,2,0,3,0,0,0,0,0",379.0,,21393,0.0,to_board,poldrack-single-stim,s234
651.0,UA_with_intermeidate,,"1,3,0,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,3.0,"89,82",1.0,,651,"1,2,0,3,0,0,0,0,0",651.0,,22046,0.0,to_hand,poldrack-single-stim,s234
306.0,UA_with_intermeidate,,"1,3,2,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",1.0,,306,"1,2,0,3,0,0,0,0,0",306.0,,22352,0.0,to_board,poldrack-single-stim,s234
2100.0,UA_with_intermeidate,True,,practice,ward_and_allport,,-1,3.0,3.0,none,1.0,9434.0,-1,,1000.0,,24455,0.0,feedback,poldrack-single-stim,s234
2843.0,UA_without_intermeidate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,1.0,"71,82",2.0,,2843,"0,0,0,1,2,0,3,0,0",2843.0,,27299,0.0,to_hand,poldrack-single-stim,s234
348.0,UA_without_intermeidate,,"3,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,1.0,"89,71,82",2.0,,348,"0,0,0,1,2,0,3,0,0",348.0,,27648,0.0,to_board,poldrack-single-stim,s234
671.0,UA_without_intermeidate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,2.0,"89,71",2.0,,671,"0,0,0,1,2,0,3,0,0",671.0,,28323,0.0,to_hand,poldrack-single-stim,s234
353.0,UA_without_intermeidate,,"3,2,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",2.0,,353,"0,0,0,1,2,0,3,0,0",353.0,,28676,0.0,to_board,poldrack-single-stim,s234
641.0,UA_without_intermeidate,,"3,2,0,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,3.0,"89,71",2.0,,641,"0,0,0,1,2,0,3,0,0",641.0,,29319,0.0,to_hand,poldrack-single-stim,s234
299.0,UA_without_intermeidate,,"3,2,1,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",2.0,,299,"0,0,0,1,2,0,3,0,0",299.0,,29619,0.0,to_board,poldrack-single-stim,s234
2200.0,UA_without_intermeidate,True,,practice,ward_and_allport,,-1,3.0,3.0,none,2.0,7367.0,-1,,1000.0,,31822,0.0,feedback,poldrack-single-stim,s234
2142.0,UA_without_intermeidate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",71,3.0,1.0,"71,82",3.0,,2142,"0,0,0,1,2,0,3,0,0",2142.0,,33965,0.0,to_hand,poldrack-single-stim,s234
411.0,UA_without_intermeidate,,"2,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,1.0,"89,71,82",3.0,,411,"0,0,0,1,2,0,3,0,0",411.0,,34378,0.0,to_board,poldrack-single-stim,s234
868.0,UA_without_intermeidate,,"2,0,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",3.0,,868,"0,0,0,1,2,0,3,0,0",868.0,,35249,0.0,to_hand,poldrack-single-stim,s234
