,correct,correct_response,cue,exp_stage,experiment_exp_id,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
6,1.0,71.0,double,practice,attention_network_task,down,right,incongruent,71,"89,71",684,,-174083,stim,,poldrack-categorize,s251
9,1.0,71.0,spatial,practice,attention_network_task,down,right,congruent,71,"89,71",574,,-170373,stim,,poldrack-categorize,s251
12,1.0,89.0,spatial,practice,attention_network_task,down,left,incongruent,89,"89,71",719,,-166664,stim,,poldrack-categorize,s251
15,1.0,71.0,double,practice,attention_network_task,down,right,congruent,71,"89,71",580,,-162955,stim,,poldrack-categorize,s251
18,1.0,89.0,double,practice,attention_network_task,up,left,incongruent,89,"89,71",658,,-159246,stim,,poldrack-categorize,s251
21,1.0,71.0,double,practice,attention_network_task,up,right,incongruent,71,"89,71",670,,-155538,stim,,poldrack-categorize,s251
24,1.0,71.0,spatial,practice,attention_network_task,up,right,congruent,71,"89,71",730,,-151829,stim,,poldrack-categorize,s251
27,1.0,71.0,spatial,practice,attention_network_task,up,right,incongruent,71,"89,71",477,,-148120,stim,,poldrack-categorize,s251
30,1.0,89.0,spatial,practice,attention_network_task,down,left,congruent,89,"89,71",593,,-144412,stim,,poldrack-categorize,s251
33,1.0,89.0,spatial,practice,attention_network_task,up,left,incongruent,89,"89,71",522,,-140703,stim,,poldrack-categorize,s251
36,1.0,89.0,double,practice,attention_network_task,down,left,incongruent,89,"89,71",704,,-136994,stim,,poldrack-categorize,s251
39,1.0,89.0,spatial,practice,attention_network_task,up,left,congruent,89,"89,71",590,,-133284,stim,,poldrack-categorize,s251
61,1.0,71.0,spatial,test,attention_network_task,down,right,incongruent,71,"89,71",605,,5612,stim,0.0,poldrack-single-stim,s251
64,1.0,89.0,double,test,attention_network_task,up,left,incongruent,89,"89,71",602,,8218,stim,1.0,poldrack-single-stim,s251
67,1.0,71.0,double,test,attention_network_task,up,right,incongruent,71,"89,71",704,,10824,stim,2.0,poldrack-single-stim,s251
70,1.0,71.0,double,test,attention_network_task,up,right,incongruent,71,"89,71",849,,13431,stim,3.0,poldrack-single-stim,s251
73,1.0,89.0,double,test,attention_network_task,down,left,congruent,89,"89,71",574,,16037,stim,4.0,poldrack-single-stim,s251
76,1.0,89.0,spatial,test,attention_network_task,up,left,incongruent,89,"89,71",657,,18642,stim,5.0,poldrack-single-stim,s251
79,1.0,89.0,spatial,test,attention_network_task,up,left,congruent,89,"89,71",579,,21250,stim,6.0,poldrack-single-stim,s251
82,1.0,71.0,spatial,test,attention_network_task,up,right,congruent,71,"89,71",679,,23856,stim,7.0,poldrack-single-stim,s251
85,1.0,71.0,spatial,test,attention_network_task,up,right,incongruent,71,"89,71",568,,26462,stim,8.0,poldrack-single-stim,s251
88,1.0,89.0,double,test,attention_network_task,down,left,congruent,89,"89,71",524,,29070,stim,9.0,poldrack-single-stim,s251
91,1.0,89.0,spatial,test,attention_network_task,down,left,incongruent,89,"89,71",633,,31678,stim,10.0,poldrack-single-stim,s251
94,1.0,89.0,spatial,test,attention_network_task,up,left,congruent,89,"89,71",610,,34285,stim,11.0,poldrack-single-stim,s251
97,1.0,71.0,spatial,test,attention_network_task,up,right,congruent,71,"89,71",641,,36892,stim,12.0,poldrack-single-stim,s251
100,1.0,89.0,spatial,test,attention_network_task,down,left,congruent,89,"89,71",579,,39500,stim,13.0,poldrack-single-stim,s251
103,1.0,89.0,double,test,attention_network_task,up,left,incongruent,89,"89,71",569,,42107,stim,14.0,poldrack-single-stim,s251
106,1.0,89.0,double,test,attention_network_task,up,left,congruent,89,"89,71",695,,44713,stim,15.0,poldrack-single-stim,s251
109,1.0,89.0,spatial,test,attention_network_task,up,left,incongruent,89,"89,71",631,,47319,stim,16.0,poldrack-single-stim,s251
112,1.0,89.0,double,test,attention_network_task,up,left,congruent,89,"89,71",521,,49926,stim,17.0,poldrack-single-stim,s251
115,1.0,71.0,spatial,test,attention_network_task,down,right,incongruent,71,"89,71",494,,52532,stim,18.0,poldrack-single-stim,s251
118,1.0,71.0,double,test,attention_network_task,down,right,congruent,71,"89,71",591,,55137,stim,19.0,poldrack-single-stim,s251
121,1.0,71.0,double,test,attention_network_task,down,right,incongruent,71,"89,71",584,,57743,stim,20.0,poldrack-single-stim,s251
124,1.0,89.0,double,test,attention_network_task,up,left,incongruent,89,"89,71",558,,60352,stim,21.0,poldrack-single-stim,s251
127,1.0,71.0,spatial,test,attention_network_task,down,right,congruent,71,"89,71",419,,62959,stim,22.0,poldrack-single-stim,s251
130,1.0,89.0,spatial,test,attention_network_task,up,left,congruent,89,"89,71",545,,65567,stim,23.0,poldrack-single-stim,s251
133,1.0,71.0,double,test,attention_network_task,down,right,congruent,71,"89,71",476,,68177,stim,24.0,poldrack-single-stim,s251
136,1.0,89.0,double,test,attention_network_task,up,left,congruent,89,"89,71",417,,70782,stim,25.0,poldrack-single-stim,s251
139,1.0,89.0,spatial,test,attention_network_task,down,left,incongruent,89,"89,71",586,,73389,stim,26.0,poldrack-single-stim,s251
142,1.0,71.0,spatial,test,attention_network_task,up,right,congruent,71,"89,71",444,,75996,stim,27.0,poldrack-single-stim,s251
145,1.0,71.0,double,test,attention_network_task,up,right,incongruent,71,"89,71",806,,78602,stim,28.0,poldrack-single-stim,s251
148,1.0,71.0,spatial,test,attention_network_task,down,right,incongruent,71,"89,71",490,,81209,stim,29.0,poldrack-single-stim,s251
151,1.0,89.0,double,test,attention_network_task,up,left,incongruent,89,"89,71",525,,83817,stim,30.0,poldrack-single-stim,s251
154,1.0,71.0,spatial,test,attention_network_task,down,right,congruent,71,"89,71",473,,86423,stim,31.0,poldrack-single-stim,s251
157,1.0,89.0,double,test,attention_network_task,down,left,congruent,89,"89,71",800,,89029,stim,32.0,poldrack-single-stim,s251
160,1.0,71.0,double,test,attention_network_task,up,right,incongruent,71,"89,71",708,,91637,stim,33.0,poldrack-single-stim,s251
163,1.0,89.0,spatial,test,attention_network_task,down,left,congruent,89,"89,71",565,,94243,stim,34.0,poldrack-single-stim,s251
166,1.0,89.0,double,test,attention_network_task,up,left,congruent,89,"89,71",547,,96850,stim,35.0,poldrack-single-stim,s251
169,1.0,89.0,double,test,attention_network_task,up,left,congruent,89,"89,71",662,,99457,stim,36.0,poldrack-single-stim,s251
172,1.0,89.0,spatial,test,attention_network_task,down,left,incongruent,89,"89,71",450,,102064,stim,37.0,poldrack-single-stim,s251
175,1.0,71.0,spatial,test,attention_network_task,down,right,congruent,71,"89,71",496,,104669,stim,38.0,poldrack-single-stim,s251
178,1.0,71.0,double,test,attention_network_task,up,right,congruent,71,"89,71",557,,107276,stim,39.0,poldrack-single-stim,s251
181,1.0,71.0,spatial,test,attention_network_task,down,right,congruent,71,"89,71",425,,109883,stim,40.0,poldrack-single-stim,s251
184,1.0,71.0,spatial,test,attention_network_task,down,right,congruent,71,"89,71",550,,112489,stim,41.0,poldrack-single-stim,s251
187,1.0,71.0,spatial,test,attention_network_task,up,right,incongruent,71,"89,71",434,,115096,stim,42.0,poldrack-single-stim,s251
190,1.0,71.0,spatial,test,attention_network_task,down,right,incongruent,71,"89,71",463,,117702,stim,43.0,poldrack-single-stim,s251
193,1.0,71.0,spatial,test,attention_network_task,down,right,incongruent,71,"89,71",586,,120307,stim,44.0,poldrack-single-stim,s251
