,action,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,text,time_elapsed,total_cards,trial_id,trial_type,which_round,worker_id
23,draw_card,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",12.0,2917.0,,5926,,stim,poldrack-single-stim,1.0,s251
24,draw_card,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,2.0,1.0,"89,71",24.0,1598.0,,7527,,stim,poldrack-single-stim,1.0,s251
25,draw_card,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,3.0,1.0,"89,71",36.0,1323.0,,8852,,stim,poldrack-single-stim,1.0,s251
26,end_round,0.0,test,columbia_card_task_fmri,12.0,71.0,-70.0,6.0,3.0,1.0,"89,71",36.0,1375.0,,10229,3.0,stim,poldrack-single-stim,1.0,s251
28,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",14.0,2228.0,,14711,,stim,poldrack-single-stim,2.0,s251
29,draw_card,1.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,2.0,1.0,"89,71",-61.0,884.0,,15596,2.0,stim,poldrack-single-stim,2.0,s251
31,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",15.0,1885.0,,19873,,stim,poldrack-single-stim,3.0,s251
32,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,2.0,1.0,"89,71",30.0,593.0,,20468,,stim,poldrack-single-stim,3.0,s251
33,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,3.0,1.0,"89,71",45.0,918.0,,21387,,stim,poldrack-single-stim,3.0,s251
34,end_round,0.0,test,columbia_card_task_fmri,15.0,71.0,-70.0,6.0,3.0,1.0,"89,71",45.0,640.0,,22027,3.0,stim,poldrack-single-stim,3.0,s251
36,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",17.0,1935.0,,26556,,stim,poldrack-single-stim,4.0,s251
37,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,2.0,1.0,"89,71",34.0,735.0,,27293,,stim,poldrack-single-stim,4.0,s251
38,draw_card,1.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,3.0,1.0,"89,71",-41.0,611.0,,27904,3.0,stim,poldrack-single-stim,4.0,s251
40,draw_card,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,1.0,2.0,"89,71",24.0,3056.0,,33623,,stim,poldrack-single-stim,5.0,s251
41,draw_card,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,2.0,2.0,"89,71",48.0,814.0,,34438,,stim,poldrack-single-stim,5.0,s251
