,CTI,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_color,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
8,900.0,True,71.0,Orange-Blue,,practice,twobytwo,71.0,"89,71",676.0,orange,9.0,color,switch,,-101325,stim,0.0,poldrack-categorize,s251
13,900.0,True,89.0,Magnitude,,practice,twobytwo,89.0,"89,71",732.0,orange,1.0,magnitude,switch,,-96912,stim,1.0,poldrack-categorize,s251
18,900.0,True,71.0,Orange-Blue,,practice,twobytwo,71.0,"89,71",607.0,orange,1.0,color,switch,,-92498,stim,2.0,poldrack-categorize,s251
23,100.0,True,71.0,Magnitude,,practice,twobytwo,71.0,"89,71",763.0,orange,7.0,magnitude,switch,,-88886,stim,3.0,poldrack-categorize,s251
28,100.0,True,89.0,High-Low,switch,practice,twobytwo,89.0,"89,71",897.0,#1F45FC,4.0,magnitude,stay,,-85276,stim,4.0,poldrack-categorize,s251
33,900.0,True,71.0,Magnitude,switch,practice,twobytwo,71.0,"89,71",747.0,#1F45FC,8.0,magnitude,stay,,-80865,stim,5.0,poldrack-categorize,s251
38,900.0,True,71.0,High-Low,switch,practice,twobytwo,71.0,"89,71",581.0,#1F45FC,7.0,magnitude,stay,,-76454,stim,6.0,poldrack-categorize,s251
43,900.0,True,71.0,High-Low,stay,practice,twobytwo,71.0,"89,71",667.0,#1F45FC,9.0,magnitude,stay,,-72045,stim,7.0,poldrack-categorize,s251
48,100.0,False,71.0,Orange-Blue,,practice,twobytwo,89.0,"89,71",887.0,orange,4.0,color,switch,,-68433,stim,8.0,poldrack-categorize,s251
53,900.0,True,71.0,Magnitude,,practice,twobytwo,71.0,"89,71",535.0,#1F45FC,8.0,magnitude,switch,,-64020,stim,9.0,poldrack-categorize,s251
58,900.0,False,89.0,Magnitude,stay,practice,twobytwo,71.0,"89,71",794.0,#1F45FC,2.0,magnitude,stay,,-59607,stim,10.0,poldrack-categorize,s251
63,100.0,True,71.0,Magnitude,stay,practice,twobytwo,71.0,"89,71",655.0,orange,8.0,magnitude,stay,,-55996,stim,11.0,poldrack-categorize,s251
68,100.0,False,89.0,Color,,practice,twobytwo,71.0,"89,71",1044.0,#1F45FC,3.0,color,switch,,-52384,stim,12.0,poldrack-categorize,s251
73,100.0,True,71.0,High-Low,,practice,twobytwo,71.0,"89,71",617.0,orange,7.0,magnitude,switch,,-48772,stim,13.0,poldrack-categorize,s251
78,100.0,True,71.0,High-Low,stay,practice,twobytwo,71.0,"89,71",655.0,orange,9.0,magnitude,stay,,-45162,stim,14.0,poldrack-categorize,s251
83,100.0,True,71.0,Magnitude,switch,practice,twobytwo,71.0,"89,71",654.0,orange,8.0,magnitude,stay,,-41552,stim,15.0,poldrack-categorize,s251
107,900.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",519.0,orange,9.0,color,switch,,6548,stim,0.0,poldrack-single-stim,s251
110,100.0,True,71.0,Color,stay,test,twobytwo,71.0,"89,71",764.0,orange,1.0,color,stay,,9335,stim,1.0,poldrack-single-stim,s251
113,900.0,True,71.0,Orange-Blue,switch,test,twobytwo,71.0,"89,71",635.0,orange,1.0,color,stay,,12786,stim,2.0,poldrack-single-stim,s251
116,900.0,True,71.0,Color,switch,test,twobytwo,71.0,"89,71",523.0,orange,7.0,color,stay,,15963,stim,3.0,poldrack-single-stim,s251
119,900.0,True,89.0,Orange-Blue,switch,test,twobytwo,89.0,"89,71",526.0,#1F45FC,4.0,color,stay,,19139,stim,4.0,poldrack-single-stim,s251
122,900.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",711.0,#1F45FC,8.0,magnitude,switch,,22452,stim,5.0,poldrack-single-stim,s251
125,100.0,True,71.0,High-Low,stay,test,twobytwo,71.0,"89,71",702.0,#1F45FC,7.0,magnitude,stay,,24693,stim,6.0,poldrack-single-stim,s251
128,900.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",1168.0,#1F45FC,9.0,color,switch,,27868,stim,7.0,poldrack-single-stim,s251
131,100.0,True,71.0,Color,switch,test,twobytwo,71.0,"89,71",883.0,orange,4.0,color,stay,,29975,stim,8.0,poldrack-single-stim,s251
134,100.0,False,89.0,Orange-Blue,switch,test,twobytwo,71.0,"89,71",989.0,#1F45FC,8.0,color,stay,,32217,stim,9.0,poldrack-single-stim,s251
137,100.0,True,89.0,Orange-Blue,stay,test,twobytwo,89.0,"89,71",732.0,#1F45FC,2.0,color,stay,,34594,stim,10.0,poldrack-single-stim,s251
140,100.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",628.0,orange,8.0,magnitude,switch,,36701,stim,11.0,poldrack-single-stim,s251
143,900.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",619.0,#1F45FC,3.0,color,switch,,40286,stim,12.0,poldrack-single-stim,s251
146,900.0,True,71.0,Color,switch,test,twobytwo,71.0,"89,71",593.0,orange,7.0,color,stay,,43191,stim,13.0,poldrack-single-stim,s251
149,900.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",554.0,orange,9.0,magnitude,switch,,46096,stim,14.0,poldrack-single-stim,s251
152,900.0,True,71.0,Magnitude,stay,test,twobytwo,71.0,"89,71",556.0,orange,8.0,magnitude,stay,,49000,stim,15.0,poldrack-single-stim,s251
155,900.0,True,89.0,Color,,test,twobytwo,89.0,"89,71",696.0,#1F45FC,9.0,color,switch,,52176,stim,16.0,poldrack-single-stim,s251
158,100.0,True,89.0,Magnitude,,test,twobytwo,89.0,"89,71",808.0,#1F45FC,1.0,magnitude,switch,,54282,stim,17.0,poldrack-single-stim,s251
161,100.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",672.0,orange,7.0,color,switch,,56387,stim,18.0,poldrack-single-stim,s251
164,900.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",593.0,orange,8.0,magnitude,switch,,59297,stim,19.0,poldrack-single-stim,s251
167,900.0,True,89.0,Magnitude,stay,test,twobytwo,89.0,"89,71",628.0,#1F45FC,3.0,magnitude,stay,,62881,stim,20.0,poldrack-single-stim,s251
170,100.0,True,71.0,Magnitude,stay,test,twobytwo,71.0,"89,71",699.0,orange,6.0,magnitude,stay,,64986,stim,21.0,poldrack-single-stim,s251
173,900.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",396.0,orange,3.0,color,switch,,68028,stim,22.0,poldrack-single-stim,s251
176,100.0,True,89.0,Color,switch,test,twobytwo,89.0,"89,71",1011.0,#1F45FC,9.0,color,stay,,70541,stim,23.0,poldrack-single-stim,s251
179,100.0,True,71.0,Color,stay,test,twobytwo,71.0,"89,71",602.0,orange,9.0,color,stay,,72782,stim,24.0,poldrack-single-stim,s251
182,900.0,True,89.0,Color,stay,test,twobytwo,89.0,"89,71",622.0,#1F45FC,7.0,color,stay,,75687,stim,25.0,poldrack-single-stim,s251
185,100.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",1077.0,orange,2.0,magnitude,switch,,77791,stim,26.0,poldrack-single-stim,s251
188,100.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",752.0,orange,2.0,color,switch,,80442,stim,27.0,poldrack-single-stim,s251
191,900.0,True,71.0,Color,stay,test,twobytwo,71.0,"89,71",754.0,orange,2.0,color,stay,,83483,stim,28.0,poldrack-single-stim,s251
194,900.0,True,89.0,Color,stay,test,twobytwo,89.0,"89,71",407.0,#1F45FC,8.0,color,stay,,86932,stim,29.0,poldrack-single-stim,s251
197,100.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",686.0,#1F45FC,8.0,magnitude,switch,,89718,stim,30.0,poldrack-single-stim,s251
200,100.0,True,89.0,Magnitude,switch,test,twobytwo,89.0,"89,71",752.0,#1F45FC,2.0,magnitude,stay,,91822,stim,31.0,poldrack-single-stim,s251
203,100.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",593.0,orange,7.0,color,switch,,94199,stim,32.0,poldrack-single-stim,s251
206,900.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",536.0,#1F45FC,2.0,magnitude,switch,,98193,stim,33.0,poldrack-single-stim,s251
209,100.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",959.0,#1F45FC,6.0,color,switch,,100298,stim,34.0,poldrack-single-stim,s251
212,100.0,True,89.0,Orange-Blue,stay,test,twobytwo,89.0,"89,71",634.0,#1F45FC,8.0,color,stay,,102539,stim,35.0,poldrack-single-stim,s251
215,900.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",473.0,orange,8.0,magnitude,switch,,105581,stim,36.0,poldrack-single-stim,s251
218,100.0,True,89.0,Magnitude,stay,test,twobytwo,89.0,"89,71",810.0,#1F45FC,3.0,magnitude,stay,,107685,stim,37.0,poldrack-single-stim,s251
221,900.0,True,71.0,High-Low,switch,test,twobytwo,71.0,"89,71",568.0,#1F45FC,8.0,magnitude,stay,,110860,stim,38.0,poldrack-single-stim,s251
224,100.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",999.0,orange,3.0,color,switch,,112965,stim,39.0,poldrack-single-stim,s251
227,100.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",726.0,#1F45FC,4.0,magnitude,switch,,115207,stim,40.0,poldrack-single-stim,s251
230,900.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",900.0,#1F45FC,6.0,color,switch,,118247,stim,41.0,poldrack-single-stim,s251
233,900.0,True,71.0,Orange-Blue,stay,test,twobytwo,71.0,"89,71",427.0,orange,4.0,color,stay,,121696,stim,42.0,poldrack-single-stim,s251
236,900.0,True,89.0,Magnitude,,test,twobytwo,89.0,"89,71",585.0,orange,1.0,magnitude,switch,,124602,stim,43.0,poldrack-single-stim,s251
239,900.0,True,89.0,Magnitude,stay,test,twobytwo,89.0,"89,71",593.0,orange,2.0,magnitude,stay,,127644,stim,44.0,poldrack-single-stim,s251
242,900.0,True,89.0,Color,,test,twobytwo,89.0,"89,71",569.0,#1F45FC,8.0,color,switch,,130686,stim,45.0,poldrack-single-stim,s251
245,900.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",814.0,#1F45FC,2.0,magnitude,switch,,133725,stim,46.0,poldrack-single-stim,s251
248,900.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",636.0,#1F45FC,1.0,color,switch,,136630,stim,47.0,poldrack-single-stim,s251
251,100.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",823.0,#1F45FC,4.0,magnitude,switch,,138872,stim,48.0,poldrack-single-stim,s251
254,100.0,False,71.0,High-Low,stay,test,twobytwo,89.0,"89,71",997.0,#1F45FC,8.0,magnitude,stay,,140977,stim,49.0,poldrack-single-stim,s251
257,100.0,True,71.0,Magnitude,switch,test,twobytwo,71.0,"89,71",886.0,#1F45FC,9.0,magnitude,stay,,143220,stim,50.0,poldrack-single-stim,s251
260,100.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",807.0,orange,6.0,color,switch,,146140,stim,51.0,poldrack-single-stim,s251
263,100.0,True,89.0,Orange-Blue,stay,test,twobytwo,89.0,"89,71",682.0,#1F45FC,3.0,color,stay,,148382,stim,52.0,poldrack-single-stim,s251
266,100.0,True,71.0,Orange-Blue,stay,test,twobytwo,71.0,"89,71",801.0,orange,4.0,color,stay,,150487,stim,53.0,poldrack-single-stim,s251
269,900.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",492.0,orange,8.0,magnitude,switch,,153393,stim,54.0,poldrack-single-stim,s251
272,100.0,True,71.0,Magnitude,stay,test,twobytwo,71.0,"89,71",665.0,orange,8.0,magnitude,stay,,155770,stim,55.0,poldrack-single-stim,s251
