,SS_delay,SS_duration,SS_stimulus,SS_trial_type,block_duration,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,passed_check,possible_responses,rt,stim_duration,stopped,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
5,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",910,850.0,False,,-62415,stim,0.0,poldrack-categorize,s373
6,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",595,850.0,False,,-59809,stim,1.0,poldrack-categorize,s373
7,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",908,850.0,False,,-57201,stim,2.0,poldrack-categorize,s373
8,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",558,850.0,False,,-54593,stim,3.0,poldrack-categorize,s373
9,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",684,850.0,False,,-51982,stim,4.0,poldrack-categorize,s373
10,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",727,850.0,False,,-49377,stim,5.0,poldrack-categorize,s373
11,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",689,850.0,False,,-46763,stim,6.0,poldrack-categorize,s373
12,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",658,850.0,False,,-44160,stim,7.0,poldrack-categorize,s373
13,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",823,850.0,False,,-41552,stim,8.0,poldrack-categorize,s373
14,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",720,850.0,False,,-38939,stim,9.0,poldrack-categorize,s373
15,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",662,850.0,False,,-36330,stim,10.0,poldrack-categorize,s373
16,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",657,850.0,False,,-33728,stim,11.0,poldrack-categorize,s373
36,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",632,850.0,False,,5539,stim,0.0,stop-signal,s373
37,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",627,850.0,False,,7795,stim,1.0,stop-signal,s373
38,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,89.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,10051,stim,2.0,stop-signal,s373
39,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",548,850.0,False,,12307,stim,3.0,stop-signal,s373
40,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",702,850.0,False,,14561,stim,4.0,stop-signal,s373
41,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",629,850.0,False,,16952,stim,5.0,stop-signal,s373
42,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",756,850.0,False,,19208,stim,6.0,stop-signal,s373
43,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",640,850.0,False,,21465,stim,7.0,stop-signal,s373
44,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",817,850.0,False,,23721,stim,8.0,stop-signal,s373
45,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,25977,stim,9.0,stop-signal,s373
46,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2522.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",545,850.0,False,,28505,stim,10.0,stop-signal,s373
47,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",687,850.0,False,,30897,stim,11.0,stop-signal,s373
48,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",806,850.0,False,,33424,stim,12.0,stop-signal,s373
49,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,35679,stim,13.0,stop-signal,s373
50,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",665,850.0,False,,38068,stim,14.0,stop-signal,s373
51,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",666,850.0,False,,40457,stim,15.0,stop-signal,s373
52,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",903,850.0,False,,42712,stim,16.0,stop-signal,s373
53,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",632,850.0,False,,45103,stim,17.0,stop-signal,s373
54,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",444,850.0,False,,47492,stim,18.0,stop-signal,s373
55,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2386.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,49885,stim,19.0,stop-signal,s373
56,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2658.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",531,850.0,False,,52549,stim,20.0,stop-signal,s373
57,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",652,850.0,False,,55077,stim,21.0,stop-signal,s373
58,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,57333,stim,22.0,stop-signal,s373
59,450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2930.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",555,850.0,False,,60267,stim,23.0,stop-signal,s373
60,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",697,850.0,False,,62523,stim,24.0,stop-signal,s373
61,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",839,850.0,False,,65051,stim,25.0,stop-signal,s373
62,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,89.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,67307,stim,26.0,stop-signal,s373
63,450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",470,850.0,False,,69563,stim,27.0,stop-signal,s373
64,450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",636,850.0,False,,71819,stim,28.0,stop-signal,s373
