,CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
8,100.0,2000.0,True,89.0,Orange-Blue,stay,practice,twobytwo,500.0,89.0,"89,71",1624.0,#1F45FC,1000.0,9.0,color,stay,,-101349,stim,0.0,poldrack-categorize,s373
13,900.0,2000.0,True,71.0,Color,switch,practice,twobytwo,500.0,71.0,"89,71",498.0,orange,1000.0,4.0,color,stay,,-96931,stim,1.0,poldrack-categorize,s373
18,900.0,2000.0,True,89.0,High-Low,,practice,twobytwo,500.0,89.0,"89,71",478.0,orange,1000.0,1.0,magnitude,switch,,-92515,stim,2.0,poldrack-categorize,s373
23,900.0,2000.0,True,71.0,Orange-Blue,,practice,twobytwo,500.0,71.0,"89,71",668.0,orange,1000.0,3.0,color,switch,,-88099,stim,3.0,poldrack-categorize,s373
28,100.0,2000.0,True,89.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",722.0,orange,1000.0,1.0,magnitude,switch,,-84483,stim,4.0,poldrack-categorize,s373
33,900.0,2000.0,True,71.0,Color,,practice,twobytwo,500.0,71.0,"89,71",544.0,orange,1000.0,2.0,color,switch,,-80061,stim,5.0,poldrack-categorize,s373
38,100.0,2000.0,True,71.0,High-Low,,practice,twobytwo,500.0,71.0,"89,71",779.0,#1F45FC,1000.0,9.0,magnitude,switch,,-76445,stim,6.0,poldrack-categorize,s373
43,100.0,2000.0,True,71.0,Magnitude,switch,practice,twobytwo,500.0,71.0,"89,71",677.0,orange,1000.0,6.0,magnitude,stay,,-72829,stim,7.0,poldrack-categorize,s373
48,100.0,2000.0,True,89.0,Magnitude,stay,practice,twobytwo,500.0,89.0,"89,71",1018.0,orange,1000.0,4.0,magnitude,stay,,-69207,stim,8.0,poldrack-categorize,s373
53,900.0,2000.0,True,71.0,Color,,practice,twobytwo,500.0,71.0,"89,71",492.0,orange,1000.0,1.0,color,switch,,-64791,stim,9.0,poldrack-categorize,s373
